step,input_local_node,input_label,output_local_node,output_label,closure_delta_m,copen_m,cpress_pa,cnormf_x_n,cnormf_y_n,cnormf_z_n
BASE,0,0,1,9,0,-9.999999999999996e-05,9999.999999999998,2499.999999999999,1.734723475976808e-14,0
BASE,0,0,2,12,0,-9.999999999999996e-05,9999.999999999998,2499.999999999999,-1.734723475976806e-14,0
BASE,0,0,3,16,0,-9.999999999999998e-05,9999.999999999996,2499.999999999999,-5.20417042793042e-14,0
BASE,0,0,4,13,0,-9.999999999999998e-05,9999.999999999998,2500,5.204170427930422e-14,0
S1_PLUS,1,9,1,9,1e-06,-0.0001005625,10039.0625,2509.765624999999,1.739060284666749e-14,0
S1_PLUS,1,9,2,12,1e-06,-0.0001001875,10023.4375,2505.859374999999,-1.734723475976806e-14,0
S1_PLUS,1,9,3,16,1e-06,-0.0001000625,10014.0625,2503.515625,-5.20417042793042e-14,0
S1_PLUS,1,9,4,13,1e-06,-0.0001001875,10023.4375,2505.859375,5.217180854000247e-14,0
S1_MINUS,1,9,1,9,-1e-06,-9.943749999999997e-05,9960.937499999998,2490.234374999999,1.730386667286866e-14,0
S1_MINUS,1,9,2,12,-1e-06,-9.981249999999998e-05,9976.562499999998,2494.140624999999,-1.734723475976806e-14,0
S1_MINUS,1,9,3,16,-1e-06,-9.993749999999997e-05,9985.937499999998,2496.484375,-5.204170427930419e-14,0
S1_MINUS,1,9,4,13,-1e-06,-9.981249999999998e-05,9976.562499999998,2494.140625,5.191160001860596e-14,0
S2_PLUS,2,12,1,9,1e-06,-0.0001001875,10023.4375,2505.859374999999,1.734723475976807e-14,0
S2_PLUS,2,12,2,12,1e-06,-0.0001005625,10039.0625,2509.765624999999,-1.739060284666748e-14,0
S2_PLUS,2,12,3,16,1e-06,-0.0001001875,10023.4375,2505.859375,-5.217180854000246e-14,0
S2_PLUS,2,12,4,13,1e-06,-0.0001000625,10014.0625,2503.515625,5.204170427930421e-14,0
S2_MINUS,2,12,1,9,-1e-06,-9.981249999999998e-05,9976.562499999998,2494.140624999999,1.734723475976808e-14,0
S2_MINUS,2,12,2,12,-1e-06,-9.943749999999997e-05,9960.937499999998,2490.234374999999,-1.730386667286864e-14,0
S2_MINUS,2,12,3,16,-1e-06,-9.981249999999998e-05,9976.562499999996,2494.140624999999,-5.191160001860594e-14,0
S2_MINUS,2,12,4,13,-1e-06,-9.993749999999998e-05,9985.937499999998,2496.484375,5.204170427930422e-14,0
S3_PLUS,3,16,1,9,1e-06,-0.0001000625,10014.0625,2503.515624999999,1.734723475976808e-14,0
S3_PLUS,3,16,2,12,1e-06,-0.0001001875,10023.4375,2505.859374999999,-1.747733902046633e-14,0
S3_PLUS,3,16,3,16,1e-06,-0.0001005625,10039.0625,2509.765625,-5.243201706139899e-14,0
S3_PLUS,3,16,4,13,1e-06,-0.0001001875,10023.4375,2505.859375,5.204170427930421e-14,0
S3_MINUS,3,16,1,9,-1e-06,-9.993749999999997e-05,9985.937499999998,2496.484374999999,1.734723475976808e-14,0
S3_MINUS,3,16,2,12,-1e-06,-9.981249999999998e-05,9976.562499999998,2494.140624999999,-1.72171304990698e-14,0
S3_MINUS,3,16,3,16,-1e-06,-9.943749999999998e-05,9960.937499999998,2490.234375,-5.165139149720942e-14,0
S3_MINUS,3,16,4,13,-1e-06,-9.981249999999998e-05,9976.562499999998,2494.140625,5.204170427930422e-14,0
S4_PLUS,4,13,1,9,1e-06,-0.0001001875,10023.4375,2505.859374999999,1.747733902046634e-14,0
S4_PLUS,4,13,2,12,1e-06,-0.0001000625,10014.0625,2503.515624999999,-1.734723475976806e-14,0
S4_PLUS,4,13,3,16,1e-06,-0.0001001875,10023.4375,2505.859374999999,-5.20417042793042e-14,0
S4_PLUS,4,13,4,13,1e-06,-0.0001005625,10039.0625,2509.765625,5.2432017061399e-14,0
S4_MINUS,4,13,1,9,-1e-06,-9.981249999999998e-05,9976.562499999998,2494.140624999999,1.721713049906981e-14,0
S4_MINUS,4,13,2,12,-1e-06,-9.993749999999997e-05,9985.937499999998,2496.484374999999,-1.734723475976806e-14,0
S4_MINUS,4,13,3,16,-1e-06,-9.981249999999998e-05,9976.562499999996,2494.140624999999,-5.204170427930419e-14,0
S4_MINUS,4,13,4,13,-1e-06,-9.943749999999997e-05,9960.937499999996,2490.234374999999,5.165139149720943e-14,0
