contact_pressure,shear_1,shear_2,normal_force_x,normal_force_y,normal_force_z,shear_force_x,shear_force_y,shear_force_z,heat_flow,id,x,y,z,current_x,current_y,current_z,generated
48152.43867695605,90.11463969653697,0.001222446578888814,-0.002028868831587883,4.406852162160426e-06,-5.469561626672501e-06,1.093900182026024e-08,-6.778650657451017e-11,-4.057747234932304e-06,11758.96233751299,25,0.0041200000000000004,0,0,0.0041200000000000004,2.0902789722014248e-38,0.00059969892528517288,0
48152.41581587518,-0.002075131264351742,102.4335146156997,-0.001876116972988036,-0.0007723431524398118,-5.469562292150513e-06,1.013226251397378e-08,4.123547192065128e-09,-4.057747572715608e-06,11758.91343026461,26,0.0038063836739465019,0.00157665574134417,0,0.0038063836739465019,0.00157665574134417,0.00059969891807382743,0
48152.36413348516,-0.0008914243248339306,96.30472825899848,-0.001437743127069343,-0.001431510896586311,-5.469562413146582e-06,7.78297576027638e-09,7.687111197324614e-09,-4.057747525904445e-06,11758.85594695202,27,0.0029132799384885763,0.0029132799384885759,0,0.0029132799384885763,0.0029132799384885759,0.00059969891353304832,0
48152.41879157673,-0.0008936799543750416,96.30483757515563,-0.0007804859564838868,-0.001872744119792264,-5.469562296568589e-06,4.24880031625836e-09,1.008038098848622e-08,-4.057747585052836e-06,11758.91342993755,28,0.0015766557413441702,0.0038063836739465019,0,0.0015766557413441702,0.0038063836739465019,0.00059969891807215244,0
48152.43867696082,-0.0008914147918619186,96.30487734594985,-4.406852162159207e-06,-0.002028868831588048,-5.469561626672869e-06,6.778650657480781e-11,1.093900182026097e-08,-4.057747234932635e-06,11758.96233751208,29,2.522772406243548e-19,0.0041200000000000004,0,2.522772406243548e-19,0.0041200000000000004,0.00059969892528517277,0
48152.41581587483,-0.0008891584337031783,96.30483162380386,0.0007723431524398157,-0.001876116972988046,-5.46956229215035e-06,-4.123547192064051e-09,1.013226251397387e-08,-4.057747572715628e-06,11758.91343026461,48,-0.0015766557413441698,0.0038063836739465019,0,-0.0015766557413441698,0.0038063836739465019,0.00059969891807382721,0
48152.36413348676,-0.0008914243246716327,96.30472825900168,0.00143151089658633,-0.001437743127069362,-5.469562413146612e-06,-7.687111197323873e-09,7.782975760277192e-09,-4.057747525904497e-06,11758.85594695202,49,-0.0029132799384885759,0.0029132799384885763,0,-0.0029132799384885759,0.0029132799384885763,0.00059969891353304822,0
48152.41879158002,-0.002075131264351742,102.4335205670581,0.001872744119792468,-0.0007804859564839714,-5.469562296568499e-06,-1.008038098848601e-08,4.248800316258405e-09,-4.057747585053279e-06,11758.9134299371,50,-0.0038063836739465019,0.0015766557413441705,0,-0.0038063836739465019,0.0015766557413441705,0.00059969891807215233,0
48152.43867696157,90.11463963042723,0.001224131986523158,0.002028868831588171,-4.406852162161985e-06,-5.4695616266732e-06,-1.093900182026164e-08,6.778650657471693e-11,-4.05774723493288e-06,11758.96233751254,51,-0.0041200000000000004,5.0455448124870961e-19,0,-0.0041200000000000004,5.0455448124870961e-19,0.00059969892528517277,0
48152.4158158744,-0.002075131264351742,-102.4336785804859,0.001876116972988126,0.0007723431524398522,-5.469562292150653e-06,-1.013226251397422e-08,-4.123547192064797e-09,-4.057747572715803e-06,11758.91343026415,70,-0.0038063836739465019,-0.0015766557413441696,0,-0.0038063836739465019,-0.0015766557413441696,0.00059969891807382732,0
48152.36413348689,0.0008914243248475993,-96.30472825900192,0.001437743127069377,0.001431510896586343,-5.469562413147994e-06,-7.782975760278688e-09,-7.687111197326296e-09,-4.057747525904538e-06,11758.85594695156,71,-0.0029132799384885767,-0.0029132799384885754,0,-0.0029132799384885767,-0.0029132799384885754,0.00059969891353304832,0
48152.41879158566,0.0008936799543045096,-96.30483757517348,0.0007804859564840911,0.001872744119792749,-5.469562296573086e-06,-4.248800316261937e-09,-1.008038098849447e-08,-4.057747585053891e-06,11758.91342993801,72,-0.0015766557413441707,-0.0038063836739465019,0,-0.0015766557413441707,-0.0038063836739465019,0.00059969891807215233,0
48152.43867696161,0.0008914147918841128,-96.30487734595144,4.406852162161245e-06,0.002028868831588234,-5.469561626673446e-06,-6.778650657451118e-11,-1.093900182026213e-08,-4.057747234933006e-06,11758.96233751254,73,-7.5683172187306446e-19,-0.0041200000000000004,0,-7.5683172187306446e-19,-0.0041200000000000004,0.00059969892528517288,0
