node,x_m,y_m,z_m,opening_m,pressure_pa,slip1_m,slip2_m,shear_stress1_pa,shear_stress2_pa,normal_force1_n,normal_force2_n,normal_force3_n,shear_force1_n,shear_force2_n,shear_force3_n,contact_heat_flux_w
2,1,-2.731693485651497e-33,0,-0.009659258648753166,96411.8984375,0.0019558344502002,-1.233581147663292e-17,3934.396728515625,-6.107561938833994e-12,-12012.0244140625,-3218.6123046875,-9.809089250273719e-45,-143.5520782470703,486.9185485839844,7.880110951784258e-13,-9659.2578125
3,0.8660253882408142,0.5,0,-0.009587219916284084,95964.5234375,3.867260607843027e-17,-3.385810389346133e-17,673.0598754882812,-2.064483306529752e-11,-20776.328125,-11989.2197265625,-4.203895392974451e-45,-31.72214126586914,167.2137451171875,5.368846426462293e-12,-9587.2197265625
6,1,-2.731693485651497e-33,1,-0.009659258648753166,96411.8984375,0.0019558344502002,3.713865257200988e-17,3934.396728515625,-1.918149883720077e-12,-12012.0244140625,-3218.6123046875,-9.809089250273719e-45,-143.5520782470703,486.9185485839844,2.471915901136601e-13,-9659.2578125
7,0.8660253882408142,0.5,1,-0.009587219916284084,95964.5234375,3.022076574693905e-17,-1.307535767995993e-19,673.0598754882812,-7.039143573583928e-12,-20776.328125,-11989.2197265625,-4.203895392974451e-45,-31.72214126586914,167.2137451171875,1.8308603331324e-12,-9587.2197265625
9,0.5,0.8660253882408142,0,-0.009587219916284084,95964.5234375,1.015208361081436e-17,-1.532987194028802e-17,-673.0598754882812,-1.5209090931112e-11,-11989.2197265625,-20776.328125,0,167.2137451171875,-31.72214126586914,3.956614983563478e-12,-9587.2197265625
11,0.5,0.8660253882408142,1,-0.009587219916284084,95964.5234375,6.53240742473132e-17,-1.856909467543343e-17,-673.0598754882812,-5.185868227897128e-12,-11989.2197265625,-20776.328125,0,167.2137451171875,-31.72214126586914,1.349063222244595e-12,-9587.2197265625
13,6.123234262925839e-17,1,-0,-0.009659258648753166,96411.8984375,-0.0019558344502002,-6.146036323691476e-18,-3934.396728515625,4.734393866528963e-12,-3218.6123046875,-12012.0244140625,0,486.9185485839844,-143.5520782470703,-6.108912746320694e-13,-9659.2578125
15,6.123234262925839e-17,1,1,-0.009659258648753166,96411.8984375,-0.0019558344502002,-2.467162295326584e-17,-3934.396728515625,1.548996824904392e-12,-3218.6123046875,-12012.0244140625,0,486.9185485839844,-143.5520782470703,-1.995767239621957e-13,-9659.2578125
