id,x,y,z,cnormf_x,cnormf_y,cnormf_z,cshearf_x,cshearf_y,cshearf_z,cslip1,cslip2
89,1,0,0,-166.6533058586122,-46.71784339503642,-6.981919247519351e-14,0.1347800037144122,-0.1752936600084036,0.3753068782783556,-4.105223715560952e-07,-6.283664829282702e-09
92,0.9238795325112867,0.3826834323650898,0,-307.9567133562958,-134.5828893959749,6.307767190923317e-14,1.43790813466531,-0.2581101477455882,0.7002342064652555,1.775226146708683e-07,-6.191585860782704e-09
93,1,0,0.5,-333.3482360208091,-93.46441513390704,-2.320626232585213e-14,0.2695635704054641,-0.3540945465849227,1.167915908517912,-4.134798790353981e-07,-4.743107992303677e-08
96,0.9238795325112867,0.3826834323650898,0.5,-615.8977013774823,-269.1436617842963,-1.157742279147555e-13,2.850478585692186,-0.4562892457096246,1.966729579441888,1.787222926944203e-07,-4.153123058690371e-08
100,0.9807852804032304,0.1950903220161282,0,671.6723273392627,148.7351878876249,1.963045882264415e-13,-0.02124149686705911,-3.672317088262897,-0.9527111061776986,-6.997444810618581e-08,-1.164627971567646e-08
101,1,0,0.25,675.4703183904066,118.1574034476688,9.877332546271892e-14,0.4947201744409365,-7.330417899119308,-1.207326823235688,-3.007031935077977e-07,-2.415373317136947e-08
104,0.9238795325112867,0.3826834323650898,0.25,1256.764764386945,530.6587668026594,1.408179837203546e-13,-5.607014813193484,7.626893140670793,-2.258224408933107,1.464664117368704e-07,-2.262508778744229e-08
108,0.9807852804032304,0.1950903220161282,0.5,1344.264681167388,297.648957381028,1.762959490113509e-13,-0.04192316282484156,-7.388899135590586,-4.416058935438993,-6.997076510198034e-08,-4.497110080349073e-08
110,0.7071067811865476,0.7071067811865475,0,-237.1044757773507,-238.2402422620407,1.969151253881782e-14,3.451699772778537,-3.307095405099359,0.6202282859702127,2.41506545738877e-07,-5.749189852665431e-09
112,0.7071067811865476,0.7071067811865475,0.5,-474.0313336844015,-476.2835146646435,2.978890582296984e-14,6.836575202673738,-6.564291509132641,1.430771143797831,2.416705265933425e-07,-3.394235017940935e-08
115,0.8314696123025452,0.5555702330196022,0,573.4124598803601,384.0983641322656,2.68610393069157e-14,-5.734000641000919,8.21983252699415,-0.8629090294861523,2.316223720912762e-07,-1.145539621783101e-08
117,0.7071067811865476,0.7071067811865475,0.25,974.2202697904436,976.1465744540094,-1.023198494742419e-13,-15.04573171747579,14.84925531211947,-2.016775060087312,2.369095248512236e-07,-2.035280516630542e-08
