increment,time_s,allie_j,allse_j,allpd_j,allcd_j,allfd_j,allwk_j,boundary_heat_rate_w
1,0.01999999955296516,2.818819999694824,2.818808317184448,0,1.178703405457782e-05,0,2.656058073043823,12824.73479588421
2,0.03999999910593033,11.36695575714111,11.36665725708008,0,0.0002981344296131283,0,10.78683757781982,13149.97995804152
3,0.05999999865889549,25.84303665161133,25.84110069274902,0,0.001936202519573271,0,24.6871395111084,13475.74442801893
4,0.07999999821186066,46.47319793701172,46.46572113037109,0,0.007475913967937231,0,44.58992767333984,13802.03681663942
5,0.1000000014901161,73.47826385498047,73.45659637451172,0,0.0216625165194273,0,70.68314361572266,14128.8654046524
6,0.119999997317791,107.0620346069336,107.0098190307617,0,0.05221593007445335,0,103.1218338012695,14456.2381516813
7,0.1400000005960464,147.4087524414062,147.298095703125,0,0.1106572151184082,0,142.0370788574219,14784.16271261838
8,0.1599999964237213,195.0297546386719,194.3846282958984,0.4324188232421875,0.2127091586589813,0,187.8516845703125,15112.66780380325
9,0.1800000071525574,259.2982788085938,245.5777435302734,13.34995555877686,0.3705801069736481,1.820339918136597,249.5602874755859,15442.17851079241
10,0.2000000029802322,357.3260498046875,301.2264404296875,55.50371551513672,0.5959011912345886,1.820339918136597,342.1197509765625,15773.13852451998
