step,node,gap
BASE,7492,-9.9999999999976857e-05
BASE,7495,-9.9999999999973876e-05
BASE,7496,-0.00010000000000001036
BASE,7499,-9.9999999999971965e-05
BASE,7503,-9.9999999999959252e-05
BASE,7507,-9.9999999999959578e-05
BASE,7508,-9.9999999999962505e-05
BASE,7511,-9.9999999999972087e-05
PRIMARY_PLUS,7492,-9.9995256164722186e-05
PRIMARY_PLUS,7495,-9.9999999999973876e-05
PRIMARY_PLUS,7496,-0.00010000000000001036
PRIMARY_PLUS,7499,-9.9999999999971965e-05
PRIMARY_PLUS,7503,-9.9999505213588117e-05
PRIMARY_PLUS,7507,-9.9999999999959578e-05
PRIMARY_PLUS,7508,-9.9999295531031466e-05
PRIMARY_PLUS,7511,-9.9999999999972087e-05
PRIMARY_MINUS,7492,-0.00010000474383522871
PRIMARY_MINUS,7495,-9.9999999999973876e-05
PRIMARY_MINUS,7496,-0.00010000000000001036
PRIMARY_MINUS,7499,-9.9999999999971965e-05
PRIMARY_MINUS,7503,-0.00010000049478633006
PRIMARY_MINUS,7507,-9.9999999999959578e-05
PRIMARY_MINUS,7508,-0.00010000070446889311
PRIMARY_MINUS,7511,-9.9999999999972087e-05
