stage,time_s,internal_energy_j,plastic_dissipation_j,creep_dissipation_j,external_work_j
1,0.1,150568.203125,41562.00390625,8136.48876953125,150455.4375
2,0.2,251053.359375,124707.03125,24645.001953125,250940.296875
3,0.3,351900.1875,207941.234375,41425.13671875,351786.78125
4,0.4,453107.09375,291260.53125,58479.390625,452993.34375
5,0.5,554672.5,374660.875,75810.2578125,554558.3125
6,0.6000000000000001,656594.6875,458138.1875,93420.21875,656480.125
7,0.7000000000000001,758872.1875,541688.4375,111311.7578125,758757.1875
8,0.8,861503.3125,625307.625,129487.3359375,861387.8125
9,0.9,964486.4375,708991.6875,147949.421875,964370.4375
10,1,1067820,792736.5625,166700.46875,1067703.375
