id,x,y,z,gap,pressure,normal_x,normal_y,normal_z
70,1,0,0,-4.329148747225882e-07,35176.2705862334,-59.99063193594647,0.0001637424386589693,0.0002549939034269064
73,1,0.48,0,-3.482796574006108e-07,31744.78600105149,-147.7596477913839,-7.107782979236058e-06,0.001595655650198447
74,1,0,0.22,-2.450800179609884e-07,13941.64312811836,-56.38692104638522,0.0001861541385063286,0.002351957944609405
77,1,0.48,0.22,-1.230857957000896e-07,5301.562471362515,-261.0743904138282,4.678131067733345e-06,0.005605926818041332
81,1,0.24,0,-3.364371857945483e-07,33439.38492722567,712.7294734789152,-0.000281411238564278,-0.01661972809473095
82,1,0,0.11,-7.184380102211089e-08,23619.14733821706,496.5318338195008,0.0001958696740831938,-0.00974180897717538
85,1,0.48,0.11,-1.182215934479677e-07,18316.28329652765,1063.673843515595,3.82095545010727e-06,-0.02025264702259919
89,1,0.24,0.22,3.325737978302854e-07,9597.6788666418,461.3344608168576,-0.0001141074082088868,-0.007471938639135356
91,1,1,0,-4.255927713850306e-07,34912.34179287803,-66.95773697177322,-0.0001562387786325014,0.0003106101519555716
93,1,1,0.22,-2.354372349433358e-07,13345.27113200156,-67.24144373727023,-0.0001911623971360413,0.002587097581043603
96,1,0.74,0,-3.380090291932012e-07,33349.70726338153,775.2339696216716,0.0002870516645941317,-0.01799661746747392
98,1,1,0.11,-7.487260011090445e-08,23232.32617385266,540.6018560658065,-0.0001927089938968527,-0.01056268159100399
101,1,0.74,0.22,3.255557868938624e-07,9347.340734780679,497.9502748402136,0.0001162240818480132,-0.00807483551037644
102,1,0,0.63,1.117067530682129e-05,0,-20.47589048402263,2.434183305876808e-05,0.0003915504786164335
105,1,0.48,0.63,1.443013737177215e-05,0,-30.32372944993772,5.877829293009982e-07,0.0007146610917247745
106,1,0,0.425,2.868895866450554e-06,6635.309711035901,76.05264153599151,-0.0001115468071026724,-0.001468182456023491
109,1,0.48,0.425,3.955752866229051e-06,2588.924758693157,92.30699058243745,-2.438366593860307e-06,-0.002428207779371499
113,1,0.24,0.63,1.360652741148068e-05,0,12.62329832551485,-1.864937274623252e-05,-0.0002741384588289198
115,1,1,0.63,1.127983879249727e-05,0,-21.43518150001999,-2.350138949110944e-05,0.0004166819859015688
117,1,1,0.425,2.920524300302337e-06,6354.061875858179,79.32856761037355,0.0001081641001634173,-0.001554645786780727
120,1,0.74,0.63,1.370903949024775e-05,0,13.3170675770082,1.808057815150655e-05,-0.0002936132792264973
121,1,0,1,4.497363433617064e-05,0,0,0,0
124,1,0.48,1,4.951085393839866e-05,0,0,0,0
125,1,0,0.8149999999999999,2.78475851504213e-05,0,0,0,0
128,1,0.48,0.8149999999999999,3.066147195183822e-05,0,0,0,0
132,1,0.24,1,4.112863115040216e-05,0,0,0,0
134,1,1,1,4.511764155814342e-05,0,0,0,0
136,1,1,0.8149999999999999,2.799736479573883e-05,0,0,0,0
139,1,0.74,1,4.12782156884879e-05,0,0,0,0
