increment,time_s,allie_j,allse_j,allpd_j,allcd_j,allfd_j,allwk_j,boundary_heat_rate_w
1,0.009999999776482582,0.7028260231018066,0.702825665473938,0,3.666808652269538e-07,0,0.6525498032569885,12662.49895324197
2,0.01999999955296516,2.818537712097168,2.818528652191162,0,9.201044122164603e-06,0,2.633296966552734,12825.12233647819
3,0.02999999932944775,6.364917755126953,6.364858150482178,0,5.918663737247698e-05,0,5.986239433288574,12987.87133031555
4,0.03999999910593033,11.36575889587402,11.36553287506104,0,0.0002262730122311041,0,10.75013256072998,13150.74709567351
5,0.05000000074505806,17.84804153442383,17.84739112854004,0,0.0006493282271549106,0,16.95927047729492,13313.75077341841
6,0.05999999865889549,25.84011077880859,25.83856010437012,0,0.001550837652757764,0,24.64414978027344,13476.88348411678
7,0.07000000029802322,35.37054443359375,35.36728286743164,0,0.003258642507717013,0,33.83202362060547,13640.1463278876
8,0.07999999821186066,46.46742248535156,46.4611930847168,0,0.006228666752576828,0,44.5473747253418,13803.54038435047
9,0.09000000357627869,59.15792465209961,59.14685440063477,0,0.01106856390833855,0,56.81230545043945,13967.06671267462
10,0.1000000014901161,73.46808624267578,73.44952392578125,0,0.01856220699846745,0,70.64688873291016,14130.72635173616
11,0.1099999994039536,89.42272186279297,89.39302825927734,0,0.02969493716955185,0,86.06947326660156,14294.52032038886
12,0.119999997317791,107.0453720092773,106.9996948242188,0,0.04567950591444969,0,103.0969009399414,14458.44961785634
13,0.1299999952316284,126.3583602905273,126.2903747558594,0,0.06798263639211655,0,121.7447662353516,14622.51522423739
14,0.1400000005960464,147.3828430175781,147.2844848632812,0,0.09835211932659149,0,142.0276031494141,14786.71810113124
15,0.1500000059604645,170.138916015625,170.0000762939453,0,0.1388444602489471,0,163.9590301513672,14951.05919236716
16,0.1599999964237213,195.0059814453125,194.3673400878906,0.4470243453979492,0.1916140019893646,0,187.8731689453125,15115.56076339515
17,0.1700000017881393,222.9026947021484,219.5308532714844,3.113628149032593,0.258225679397583,1.260085582733154,215.0231323242188,15280.28609862062
18,0.1800000071525574,259.4388122558594,245.5532989501953,13.54611587524414,0.3394159376621246,1.809881448745728,249.7538299560547,15445.40699066021
19,0.1899999976158142,304.5580139160156,272.7417602539062,31.37950325012207,0.4367483556270599,1.825707793235779,292.3371887207031,15610.88801525217
20,0.2000000029802322,357.2733764648438,301.1975402832031,55.52375793457031,0.5520768761634827,1.825707793235779,342.1971740722656,15776.70236611872
21,0.2099999934434891,415.4927978515625,331.4023742675781,83.40133666992188,0.6890912055969238,1.825707793235779,397.4433898925781,15942.74698436779
22,0.2199999988079071,482.1775207519531,363.1175842285156,118.2080535888672,0.8518673777580261,1.825707793235779,460.9718322753906,16109.0627183179
23,0.2300000041723251,562.39501953125,396.3134460449219,165.0372161865234,1.044327974319458,1.825707793235779,537.6658325195312,16275.7073701891
24,0.239999994635582,661.6281127929688,430.7857360839844,229.5722808837891,1.270081996917725,1.825707793235779,633.0673828125,16442.8337756458
25,0.25,786.4592895507812,466.2648620605469,318.6593933105469,1.534998774528503,1.825707793235779,754.2311401367188,16610.48413117071
26,0.2599999904632568,968.4426879882812,500.67626953125,465.9244995117188,1.841915488243103,1.825707793235779,931.7752075195312,16779.05455468428
27,0.2700000107288361,1170.267578125,536.0133056640625,632.0597534179688,2.194599151611328,1.825707793235779,1129.15576171875,16948.17510379773
28,0.2800000011920929,1382.328002929688,573.0640258789062,806.6652221679688,2.598782539367676,1.825707793235779,1336.85693359375,17117.70285530101
29,0.2899999916553497,1604.231323242188,611.7924194335938,989.378173828125,3.060767650604248,1.825707793235779,1554.463989257812,17287.63820301206
30,0.300000011920929,1835.647827148438,652.1640014648438,1179.896606445312,3.587268590927124,1.825707793235779,1781.624755859375,17457.98144875517
31,0.3100000023841858,2076.29541015625,694.1464233398438,1377.963500976562,4.185425281524658,1.825707793235779,2018.035888671875,17628.73271710761
32,0.3199999928474426,2325.932373046875,737.709716796875,1583.359741210938,4.862818241119385,1.825707793235779,2263.436279296875,17799.89200688228
33,0.3300000131130219,2584.352294921875,782.82666015625,1795.898071289062,5.627484321594238,1.825707793235779,2517.6015625,17971.45927752603
34,0.3400000035762787,2851.382080078125,829.4730224609375,2015.421264648438,6.487931251525879,1.825707793235779,2780.3427734375,18143.43453625281
35,0.3499999940395355,3126.8779296875,877.6275024414062,2241.797119140625,7.453153133392334,1.825707793235779,3051.501220703125,18315.8178900741
36,0.3600000143051147,3410.720703125,927.2715454101562,2474.91650390625,8.532649993896484,1.825707793235779,3330.94677734375,18488.60957491973
37,0.3700000047683716,3702.813720703125,978.38916015625,2714.688232421875,9.736438751220703,1.825707793235779,3618.57177734375,18661.80996493954
38,0.3799999952316284,4003.078857421875,1030.966430664062,2961.037353515625,11.07507705688477,1.825707793235779,3914.2900390625,18835.41957111678
39,0.3899999856948853,4311.45263671875,1084.991577148438,3213.901123046875,12.55967044830322,1.825707793235779,4218.03125,19009.4390283088
40,0.4000000059604645,4627.8837890625,1140.454223632812,3473.2275390625,14.20189571380615,1.825707793235779,4529.73779296875,19183.86908349294
