case,stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,hfl_x_w_m2,hfl_y_w_m2,hfl_z_w_m2,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,e11,e22,e33,e12_engineering,e13_engineering,e23_engineering,ivol_m3
coarse,1,10000000,1,1,0.2113248654051851,-0.07886751345948151,0.05283121635129626,480,1.829476630135681e-13,10800.35152817107,5.516779335902464e-13,-112032146.2613059,-134064681.9288455,-150815036.5262355,24104737.56054338,-11712620.54214021,17342899.67135482,0.001756078577298394,0.001521064863511305,0.001342394414472479,0.0005142344012915922,-0.0002498692382323244,0.0003699818596555694,0.003125000000000001
coarse,1,10000000,1,2,0.7886751345948151,-0.07886751345948151,0.05283121635129626,480,1.878879115514818e-13,10800.35152817108,6.695338253142734e-13,-252221038.6457562,-41088825.83418743,-103602000.2364427,-32790426.30981454,-11712620.54214044,64724582.72406656,0.0002607303918642563,0.00251280732852099,0.001846000134896933,-0.0006995290946093768,-0.0002498692382323295,0.00138079109811342,0.003125000000000001
coarse,1,10000000,1,3,0.211324865405185,-0.0211324865405185,0.05283121635129626,344.9956058978615,1.462976109064785e-13,10800.35152817107,-9.773263138418656e-13,-110368621.6192977,-121022124.5127657,-165521118.5843234,35762974.98449878,-6974452.236868932,17342899.67135481,0.001773822840146481,0.001660185475949489,0.001185529539186207,0.000762943466335974,-0.0001487883143865372,0.0003699818596555693,0.003125000000000001
coarse,1,10000000,1,4,0.7886751345948151,-0.0211324865405185,0.05283121635129626,344.9956058978615,1.462976109064785e-13,10800.35152817107,-3.578167681826819e-13,-225287283.0423018,-2776037.456661604,-168848544.2174234,-21132188.88585914,-6974452.236869135,64724582.72406659,0.0005480237849677711,0.002921477071214599,0.001150036999099807,-0.000450820029564995,-0.0001487883143865416,0.001380791098113421,0.003125000000000001
coarse,1,10000000,1,5,0.211324865405185,-0.07886751345948151,0.1971687836487038,480,-2.689277516766767e-13,10800.35152817108,8.580955856400962e-13,-112032146.2613059,-134064681.9288454,-150815036.5262354,24104737.56054313,11712620.54214016,-17342899.67135483,0.001756078577298393,0.001521064863511306,0.001342394414472479,0.0005142344012915869,0.0002498692382323234,-0.0003699818596555697,0.003125000000000001
coarse,1,10000000,1,6,0.7886751345948151,-0.07886751345948151,0.1971687836487037,480,-2.689277516766767e-13,10800.35152817108,-1.072851165219121e-12,-252221038.6457564,-41088825.83418757,-103602000.2364428,-32790426.30981483,11712620.54213995,-64724582.7240667,0.0002607303918642558,0.002512807328520989,0.001846000134896933,-0.000699529094609383,0.0002498692382323189,-0.001380791098113423,0.003125
coarse,1,10000000,1,7,0.211324865405185,-0.0211324865405185,0.1971687836487038,344.9956058978615,9.600187962385215e-14,10800.35152817108,-3.840075184954086e-13,-110368621.6192979,-121022124.5127657,-165521118.5843234,35762974.98449855,6974452.236869067,-17342899.67135484,0.00177382284014648,0.00166018547594949,0.001185529539186207,0.0007629434663359692,0.0001487883143865401,-0.0003699818596555698,0.003125
coarse,1,10000000,1,8,0.7886751345948151,-0.0211324865405185,0.1971687836487038,344.9956058978615,9.600187962385215e-14,10800.35152817108,-1.039937794512378e-12,-225287283.0423019,-2776037.456661664,-168848544.2174234,-21132188.88585937,6974452.236868883,-64724582.7240667,0.0005480237849677704,0.002921477071214599,0.001150036999099807,-0.0004508200295649999,0.0001487883143865362,-0.001380791098113423,0.003125
coarse,1,10000000,2,1,1.211324865405185,-0.07886751345948151,0.05283121635129626,480,1.829476630135681e-13,10800.35152817107,2.452602815403965e-13,-211236810.2483336,39527747.55942991,-28001617.51421634,27001598.6184697,8698628.896150008,70794806.85688135,0.0002377593975724758,0.002912581347521953,0.002192268120069727,0.0005760341038606869,0.0001855707497845335,0.001510289212946802,0.003125000000000002
coarse,1,10000000,2,2,1.788675134594815,-0.07886751345948151,0.05283121635129626,480,1.637965597604525e-13,10800.35152817107,-8.65238483927543e-13,-107765324.6793422,-28237161.24015193,-63708194.28362702,-21412327.57472532,8698628.896149991,39997284.54835062,0.00134145524364172,0.002189755653659749,0.001811397967862682,-0.0004567963215941402,0.0001855707497845332,0.0008532754036981465,0.003125000000000001
