step,time,reaction_x,reaction_y,reaction_z
1,1,-9950.075130173869,747.4351424300215,0.1059257339346901
2,2,-9949.998012445178,1495.217717859896,0.1710925354780547
3,3,-9949.844256130893,2984.953028165557,0.3114315013994549
4,4,-9949.844261422633,2984.95327421949,0.3190177189572203
5,5,-9950.459086089511,-2985.136724409668,-0.2281346366856958
6,6,-9950.459104227057,-2985.137730542875,-0.2478960258114814
7,7,-9950.382389033473,-2238.222948059333,-0.1804261725452857
