time,node,gap,pressure,nx,ny,nz,tx,ty,tz,slipx,slipy,slipz,normalx,normaly,normalz,firstx,firsty,firstz
2.5000000372529030e-02,57,-3.4304764848694893e-06,3.0177284583497327e+05,-2.3187883507988558e+04,-4.5616744122771125e-01,1.6996786929722058e-01,-8.1507431265171029e-02,2.8582620306282088e+03,-1.0451618081740190e+02,2.9827579535811297e-10,-2.9947559795306655e-06,4.4251994006641899e-07,-9.9999999484207969e-01,-1.0107487357846961e-04,-9.9855120859290266e-06,-9.9851022966353181e-06,-4.0548179946517863e-06,9.9999999994192801e-01
2.5000000372529030e-02,60,-2.8942622583721664e-06,2.5003374310568115e+05,-4.1190159597833270e+04,-1.8913671744109195e+00,-1.1840795056518807e-01,-2.6720554662323349e-03,2.7025616350475852e+03,5.8004500250800646e+01,-7.2019297575673262e-12,3.9000556802951523e-06,-8.3078969927189759e-08,-9.9999999999017020e-01,-1.7599296259778528e-06,4.0696968568363339e-06,4.0696955062172569e-06,7.6743078913083518e-07,9.9999999999142430e-01
2.5000000372529030e-02,61,-3.3934661814420189e-06,2.9818609271670249e+05,-2.3292941448534872e+04,-4.7114678035425506e-01,-1.6206447149926775e-01,-7.9897777769235442e-02,2.8462012768540353e+03,1.3916686043331858e+01,3.0017055665613330e-10,-2.9707482889013676e-06,4.7056376183123648e-08,-9.9999999485813074e-01,-1.0087792803604615e-04,1.0362527913294844e-05,1.0361976042416641e-05,5.4712012574126398e-06,9.9999999993134769e-01
2.5000000372529030e-02,64,-2.9060268926710173e-06,2.5122392041845291e+05,-4.1140906312272455e+04,-1.8846736250338034e+00,1.3034826687478013e-01,-3.2844895647885057e-03,2.7095683776310561e+03,1.6758630732608445e+01,-7.2793582704323022e-12,3.8744017839973770e-06,-9.1852545158647444e-08,-9.9999999998955458e-01,-1.9765372639336114e-06,-4.1211839096194407e-06,-4.1211827190859723e-06,-6.0233661816797626e-07,9.9999999999132649e-01
2.5000000372529030e-02,68,-2.1723678195353926e-06,2.8126168271338352e+05,9.9808505873101065e+04,4.9625432457926042e+00,1.3243058891357160e-01,1.1123958568755764e-01,-6.6675369192085163e+03,-1.4736799591389166e+02,-1.7308538239675964e-10,3.5124128426125160e-06,1.1652286098967602e-07,-9.9999999878710666e-01,-4.9212762109438175e-05,-1.9725273757278398e-06,-1.9724774307215042e-06,-1.0149276680756907e-06,9.9999999999753963e-01
2.5000000372529030e-02,69,-2.8145476473173088e-06,2.9997946927583794e+05,1.0394047577475758e+05,7.5524370729234400e+00,-1.8742095012142117e-02,3.3091823808731491e-02,-3.1467536372362824e+03,-9.6549389581206725e+01,7.0089211961138213e-11,-8.5516377295016690e-07,1.0986950235059711e-08,-9.9999999664147199e-01,-8.1957400640600341e-05,2.0130907031450083e-07,2.0125734252546950e-07,6.3116282985053219e-07,9.9999999999978040e-01
2.5000000372529030e-02,72,-2.6806937818797261e-06,2.5062883176206701e+05,1.6629038351083995e+05,2.9664021699856487e+00,-7.4923978131474266e-03,1.6484336772552327e-01,-1.6325818173272874e+04,5.5599289994116589e+01,-4.4995832296154122e-11,3.9564666002302423e-06,-7.5535601168645250e-09,-9.9999999993533073e-01,-1.1372679237808819e-05,2.7369044338076759e-08,2.7367634899008933e-08,1.2393217182801387e-07,9.9999999999999190e-01
2.5000000372529030e-02,76,-2.1631733017053696e-06,2.8011367648142873e+05,9.9674912947745848e+04,4.9591268126842616e+00,-1.6558958694567136e-01,1.1107182648816913e-01,-6.6534881383644151e+03,7.6558129277098686e+01,-1.7261141605467225e-10,3.4945204149675059e-06,-1.2054371535715631e-07,-9.9999999878132906e-01,-4.9314711873073329e-05,2.3240402437445149e-06,2.3239449029122904e-06,1.9333714039549226e-06,9.9999999999543077e-01
2.5000000372529030e-02,78,-4.2678258165550366e-06,3.6054923496170854e+05,-1.4001819484023938e+04,-1.0737539477422778e-01,5.7403368417895305e-02,3.3506481841757300e-02,1.4636466388907318e+03,-9.0370782668935448e+01,-1.2863756536921499e-11,3.7268836631386669e-06,5.0545189483842323e-07,-9.9999999998698741e-01,-2.8805896300156221e-06,-4.2103593362183857e-06,-4.2103608055747927e-06,5.1008289096245005e-07,9.9999999999100631e-01
2.5000000372529030e-02,80,-4.2592931472761800e-06,3.5960911857511994e+05,-1.4018838798787263e+04,-1.0657698595529233e-01,-5.8235934415376486e-02,3.3872810610471947e-02,1.4680302265750756e+03,3.9765036743025121e+01,-1.1952498197574908e-11,3.7120967278746052e-06,-2.6079036304765020e-07,-9.9999999998689726e-01,-2.9247136429249564e-06,4.2013755444872518e-06,4.2013789854107699e-06,-1.1764941382435990e-06,9.9999999999048217e-01
