effective_creep_strain,effective_plastic_strain,id,vonmises_stress,x,y,z
4.029094665281807e-05,0.002710170831705993,641,55203416.63411985,0.0043751795783650372,0.00087821835354297761,-0.00078125000000000026
4.210886519292903e-05,0.002748864031367925,642,55977280.6273585,0.0037060592496129747,0.0024856767001764967,-0.00078125000000000026
4.209738075839405e-05,0.002748625990625265,643,55972519.81250529,0.0024727249956180931,0.0037147133019235414,-0.00078125000000000026
4.027475246363746e-05,0.002709819097819133,644,55196381.95638265,0.00086294077634826061,0.0043782184774126638,-0.00078125000000000026
4.029094665281798e-05,0.002710170831706,645,55203416.63411999,-0.0008782183535429775,0.0043751795783650372,-0.00078125000000000026
4.210886519292864e-05,0.002748864031367934,646,55977280.62735869,-0.0024856767001764967,0.0037060592496129747,-0.00078125000000000026
4.209738075839377e-05,0.002748625990625261,647,55972519.81250521,-0.0037147133019235414,0.0024727249956180935,-0.00078125000000000026
4.027475246363723e-05,0.002709819097819129,648,55196381.95638257,-0.0043782184774126638,0.00086294077634826093,-0.00078125000000000026
4.029094665281777e-05,0.002710170831705998,649,55203416.63411993,-0.004375179578365038,-0.0008782183535429762,-0.00078125000000000026
4.210886519292876e-05,0.00274886403136793,650,55977280.6273586,-0.0037060592496129755,-0.0024856767001764958,-0.00078125000000000026
4.209738075839405e-05,0.002748625990625267,651,55972519.81250533,-0.0024727249956180927,-0.0037147133019235423,-0.00078125000000000026
4.02747524636373e-05,0.002709819097819129,652,55196381.95638257,-0.00086294077634826007,-0.0043782184774126638,-0.00078125000000000026
4.029094665281795e-05,0.002710170831705997,653,55203416.63411994,0.00087821835354297772,-0.0043751795783650363,-0.00078125000000000026
4.210886519292916e-05,0.002748864031367934,654,55977280.62735867,0.0024856767001764967,-0.0037060592496129747,-0.00078125000000000026
4.209738075839419e-05,0.002748625990625258,655,55972519.81250517,0.0037147133019235414,-0.0024727249956180927,-0.00078125000000000026
4.027475246363734e-05,0.002709819097819124,656,55196381.95638248,0.0043782184774126638,-0.00086294077634825996,-0.00078125000000000026
1.603670623679881e-06,0.0009502540410323277,657,20005080.82064655,0.0041018435427266388,0.00082335232601593762,-0.00078125000000000026
1.531273871209712e-06,0.0009332406080468153,658,19664812.1609363,0.0034745260005231669,0.0023303859280068948,-0.00078125000000000026
1.531761330512896e-06,0.0009333519549153029,659,19667039.09830606,0.002318243371396671,0.0034826393974598437,-0.00078125000000000026
1.604139285208499e-06,0.0009503716778697751,660,20007433.5573955,0.00080902920390352477,0.0041046925888542866,-0.00078125000000000026
1.603670623679855e-06,0.0009502540410323253,661,20005080.82064651,-0.00082335232601593751,0.0041018435427266388,-0.00078125000000000026
1.5312738712097e-06,0.0009332406080468171,662,19664812.16093634,-0.0023303859280068943,0.0034745260005231669,-0.00078125000000000026
1.531761330512906e-06,0.0009333519549153005,663,19667039.09830601,-0.0034826393974598437,0.0023182433713966714,-0.00078125000000000026
1.604139285208515e-06,0.0009503716778697748,664,20007433.5573955,-0.0041046925888542866,0.00080902920390352499,-0.00078125000000000026
