normal_displacement,normal_x,normal_y,normal_z,id,x,y,z
0,1,0,0,0,0.9,0,0
-1.176305131808355e-06,1,0,0,1,1,0,0
-1.033451335549343e-06,0.9238795325112867,0.3826834323650898,0,2,0.9238795325112867,0.3826834323650898,0
0,0.9238795325112867,0.3826834323650898,0,3,0.831491579260158,0.3444150891285808,0
0,1,0,0,4,0.9,0,0.5
-1.175509038925965e-06,1,0,0,5,1,0,0.5
-1.033729586256022e-06,0.9238795325112867,0.3826834323650898,0,6,0.9238795325112867,0.3826834323650898,0.5
0,0.9238795325112867,0.3826834323650898,0,7,0.831491579260158,0.3444150891285808,0.5
-5.967420391966908e-07,1,0,0,8,0.95,0,0
-1.015284166718422e-06,0.9807852804032304,0.1950903220161282,0,9,0.9807852804032304,0.1950903220161282,0
-5.214723463680081e-07,0.9238795325112867,0.3826834323650898,0,10,0.8776855558857224,0.3635492607468353,0
0,0.9807852804032304,0.1950903220161282,0,11,0.8827067523629074,0.1755812898145154,0
0,1,0,0,12,0.9,0,0.25
-1.178226951390942e-06,1,0,0,13,1,0,0.25
-1.025982803557891e-06,0.9238795325112867,0.3826834323650898,0,14,0.9238795325112867,0.3826834323650898,0.25
0,0.9238795325112867,0.3826834323650898,0,15,0.831491579260158,0.3444150891285808,0.25
-5.959327298191771e-07,1,0,0,16,0.95,0,0.5
-1.01358047435548e-06,0.9807852804032304,0.1950903220161282,0,17,0.9807852804032304,0.1950903220161282,0.5
-5.215810978596283e-07,0.9238795325112867,0.3826834323650898,0,18,0.8776855558857224,0.3635492607468353,0.5
0,0.9807852804032304,0.1950903220161282,0,19,0.8827067523629074,0.1755812898145154,0.5
-1.017202358372043e-06,0.7071067811865476,0.7071067811865475,0,20,0.7071067811865476,0.7071067811865475,0
0,0.7071067811865476,0.7071067811865475,0,21,0.6363961030678928,0.6363961030678927,0
-1.017234064032786e-06,0.7071067811865476,0.7071067811865475,0,22,0.7071067811865476,0.7071067811865475,0.5
0,0.7071067811865476,0.7071067811865475,0,23,0.6363961030678928,0.6363961030678927,0.5
-1.012370197332333e-06,0.8314696123025452,0.5555702330196022,0,24,0.8314696123025452,0.5555702330196022,0
-5.243860384997702e-07,0.7071067811865476,0.7071067811865475,0,25,0.6717514421272202,0.67175144212722,0
0,0.8314696123025451,0.5555702330196022,0,26,0.7483226510722907,0.500013209717642,0
-1.017722561374155e-06,0.7071067811865476,0.7071067811865475,0,27,0.7071067811865476,0.7071067811865475,0.25
0,0.7071067811865476,0.7071067811865475,0,28,0.6363961030678928,0.6363961030678927,0.25
-1.013001623686715e-06,0.8314696123025452,0.5555702330196022,0,29,0.8314696123025452,0.5555702330196022,0.5
-5.246472229223333e-07,0.7071067811865476,0.7071067811865475,0,30,0.6717514421272202,0.67175144212722,0.5
0,0.8314696123025451,0.5555702330196022,0,31,0.7483226510722907,0.500013209717642,0.5
-1.033451368258251e-06,0.3826834323650898,0.9238795325112867,0,32,0.3826834323650898,0.9238795325112867,0
