increment,time_s,allie_j,allse_j,allpd_j,allcd_j,allfd_j,allwk_j,boundary_heat_rate_w,allae_j
1,1,0.001881130738183856,0.001737455721013248,0,0.0001353205880150199,0,-2.219361351353455e-36,-1.190045636067571,8.354535566468257e-06
2,2,0.00591315608471632,0.004439506214112043,0,0.001443499349988997,0,-8.788446765129335e-36,-1.348227188854631,3.015043876075651e-05
3,3,0.01138621009886265,0.006821823306381702,0.0001255998213309795,0.004374194424599409,0,-1.957335703870383e-35,-1.36488989522905,6.459277938120067e-05
4,4,0.01771358028054237,0.008511601947247982,0.0006747929728589952,0.0084145562723279,0,-3.463352462548604e-35,-1.375252359839174,0.0001126288989325985
5,5,0.02451862581074238,0.009746694937348366,0.001428517978638411,0.01316696312278509,0,-5.426472224254351e-35,-1.385263868272561,0.0001764490880304947
6,6,0.03162776306271553,0.01068856660276651,0.002221163595095277,0.0184603612869978,0,-7.872607091693412e-35,-1.39543867603825,0.0002576736442279071
7,7,0.03895337134599686,0.0114068454131484,0.003010252024978399,0.02417857013642788,0,-1.080175075117543e-34,-1.405719418031552,0.000357704411726445
8,8,0.04643983766436577,0.0119515061378479,0.003794985124841332,0.03021631576120853,0,-1.420699717338932e-34,-1.41606908744458,0.0004770307277794927
9,9,0.05405028909444809,0.0123754907399416,0.00456240912899375,0.03649647161364555,0,-1.807035234080663e-34,-1.42646877235891,0.0006159176700748503
10,10,0.06176109984517097,0.01271480694413185,0.005308635532855988,0.0429634302854538,0,-2.233834159195826e-34,-1.436330006341144,0.0007742262678220868
