time,element,point,sxx,syy,szz,sxy,syz,sxz
0.10000000149011612,1,1,4.0867368067608486e-33,-2.8371737001772355e-49,3.6365236294230134e-49,2.1060951737589285e-33,4.5445269384406143e-49,7.6847759219860937e-34
0.10000000149011612,1,2,2.2450974127208201e-33,-1.0320077051370025e-48,1.3850494714241401e-48,7.4078757623886687e-33,1.5787345450310837e-48,2.9301319590467926e-33
0.10000000149011612,1,3,5.8869421347599439e-33,1.0908168101895288e-49,6.6348020766744215e-49,-6.9955751474253463e-34,-2.5982532036365973e-49,1.3889415810893804e-33
0.10000000149011612,1,4,3.3832675686028526e-33,4.3393831050820756e-49,2.5785722451364658e-48,-3.0629626194911451e-33,-1.0931570976307596e-48,5.4116204027925382e-33
0.10000000149011612,1,5,4.2249263867381953e-33,-2.879584004159242e-49,-3.4942987248232056e-49,2.1717302503309352e-33,5.6985698225292517e-49,-7.3008453603816988e-34
0.10000000149011612,1,6,2.5652295548532054e-33,-1.0725146577110349e-48,-1.2762096611548762e-48,7.9845998287910865e-33,2.0839792364660351e-48,-2.662578041831487e-33
0.10000000149011612,1,7,5.9925929087129538e-33,1.1993548624898025e-49,-6.6923333584713195e-49,-8.540902625906551e-34,-1.0408508660411314e-49,-1.3949973605669982e-33
0.10000000149011612,1,8,4.1566068139127043e-33,4.4976605143072481e-49,-2.395182411194241e-48,-3.3079160600165472e-33,-4.3737660878199295e-49,-4.9781811726387237e-33
0.10000000149011612,2,1,7.2144107139228791e-33,-1.0496725193440317e-49,7.8660487342127155e-49,1.7992214354471229e-33,3.8943464452314473e-49,1.5680942680199119e-33
0.10000000149011612,2,2,4.6633896297015833e-33,-3.9194317692544279e-49,2.9979267872794738e-48,7.0786144373225877e-33,1.6125103707555505e-48,6.0891601525703294e-33
0.10000000149011612,2,3,6.6298361639157315e-33,3.5640191987960181e-49,7.9055220272065728e-49,-2.2985255733367038e-33,-5.6722781249594946e-49,1.3861407711874328e-33
0.10000000149011612,2,4,4.6114971588986589e-33,1.3299100133274246e-48,2.8284084536022753e-48,-8.2143855960222396e-33,-1.9461830910176344e-48,5.2686200624974492e-33
0.10000000149011612,2,5,7.4201967955193725e-33,-1.2578821375818727e-49,-7.5772857671304097e-49,2.0218017333618316e-33,6.3174244467344972e-49,-1.5392501753375704e-33
0.10000000149011612,2,6,5.5630212945675236e-33,-4.2317033027630504e-49,-2.7656041124490914e-48,7.6263346273456344e-33,2.3325654248145476e-48,-5.5076071866567705e-33
0.10000000149011612,2,7,6.8633739678117456e-33,3.6476921040182855e-49,-7.1230627610182101e-49,-2.4452867559315984e-33,-5.4173751323050819e-49,-1.3193871208451855e-33
0.10000000149011612,2,8,5.12459719558679e-33,1.4076149007159478e-48,-2.7803357459484704e-48,-9.0450665766037613e-33,-2.0353019662424096e-48,-4.8285474918631299e-33
0.10000000149011612,3,1,4.5639984291458317e-33,4.0962329382596205e-49,5.950291142869763e-49,4.9152755443468473e-34,3.7218892926270572e-49,1.0338011910482753e-33
0.10000000149011612,3,2,2.9612120369611497e-33,1.3040002007338473e-48,2.064312973154172e-48,2.2460089124577652e-33,1.372085533914892e-48,3.8891565515234553e-33
0.10000000149011612,3,3,2.9192002557618508e-33,-2.3064680488225316e-49,2.8674123965793694e-49,-1.7763403319812233e-33,-6.0503021179305887e-49,4.5119825475208897e-34
0.10000000149011612,3,4,1.9190426358490693e-33,-1.0855203382242182e-48,1.0040524662699897e-48,-6.217789264500354e-33,-2.2792325610465315e-48,1.6800768523895384e-33
0.10000000149011612,3,5,4.4140844659173992e-33,4.4062248479945855e-49,-6.7582094405832629e-49,3.9554646784319358e-34,2.1603165239351348e-49,-1.0947459930660131e-33
0.10000000149011612,3,6,2.9019493354742941e-33,1.4025443147837568e-48,-2.6785640133922121e-48,1.818250740257228e-33,8.7958414725311971e-49,-4.0546896858988365e-33
0.10000000149011612,3,7,2.7761076774629489e-33,-2.5705162066069101e-49,-3.9172499747174147e-49,-1.6617228751842787e-33,-5.7518708662641108e-49,-5.0282487166710169e-34
0.10000000149011612,3,8,1.7647702987518086e-33,-1.2012108939305999e-48,-1.5280180019181827e-48,-5.8595829727752436e-33,-2.0775709970859428e-48,-1.8803859270026324e-33
0.10000000149011612,4,1,7.2163213840936572e-34,-4.3505440728753389e-50,1.8785809635456788e-49,-1.075591741873429e-34,-8.586017473072321e-51,2.0967131480855824e-34
0.10000000149011612,4,2,1.0623929936246262e-34,-5.430343190039107e-50,6.7512880219546176e-49,-9.5038553297456839e-35,9.2205043364071755e-50,7.6948474672555507e-34
0.10000000149011612,4,3,2.7875638752007711e-34,-1.0359045870377497e-49,5.2197053309452919e-50,-2.7674511474928281e-34,-1.0656921633355245e-49,5.7274820577006905e-35
0.10000000149011612,4,4,1.1193170648996361e-34,-2.7854377176152907e-49,1.8814083145065294e-49,-7.264490794009546e-34,-2.7462062268173804e-49,2.1037082380478677e-34
0.10000000149011612,4,5,7.3061553470940087e-34,-4.3973899225517187e-50,-1.7636329021556284e-49,-1.0543472240265275e-34,-8.7499553453159619e-50,-2.0382940552686339e-34
0.10000000149011612,4,6,7.7099676884971761e-35,-6.0641301250091447e-50,-6.8416391768764472e-49,-6.7834918405231986e-35,-1.829983478144359e-49,-7.7372095053258807e-34
0.10000000149011612,4,7,2.8584935769715575e-34,-1.0189223172979927e-49,-4.5875256730710297e-50,-2.840343067498458e-34,-1.3548609683914638e-49,-5.4015281403248758e-35
0.10000000149011612,4,8,1.0912232324483199e-34,-2.7679546085043328e-49,-1.778700124349337e-49,-7.3437764139964947e-34,-3.6323395541954958e-49,-2.0496949116505578e-34
0.10000000149011612,5,1,6.4948017754100738e-33,6.4060335895700399e-49,-3.6307609365573411e-48,-6.624027376484879e-33,-1.3483143292464639e-48,-7.3777763396471572e-33
0.10000000149011612,5,2,1.0786730073392224e-32,2.1370329274761769e-49,-9.8382784812927659e-49,-1.6693874840783116e-33,-2.9676461791686118e-49,-1.9543414755199444e-33
0.10000000149011612,5,3,8.0323101362484352e-33,-9.4101979043557535e-49,-3.7801911074906988e-48,5.9496479133504748e-33,1.6357684099731222e-48,-7.6503772982508454e-33
0.10000000149011612,5,4,1.0940527236026521e-32,-2.1009135286251156e-49,-1.1193122049169075e-48,1.699718655724189e-33,5.0831076621350106e-49,-2.0617401818778877e-33
0.10000000149011612,5,5,7.5117975397104261e-33,6.9127130116984582e-49,3.1760276163649766e-48,-7.4668298101814006e-33,-2.2010131507866777e-48,6.2182305264482146e-33
0.10000000149011612,5,6,1.1557538153526369e-32,2.364344336318591e-49,8.4004564767481772e-49,-1.9238452986030576e-33,-5.6501318818830836e-49,1.6886975845382587e-33
0.10000000149011612,5,7,8.6990119896189426e-33,-1.0258535631298496e-48,3.6816621195253851e-48,6.8992974055397697e-33,1.3682880636976175e-48,6.6190479552432302e-33
0.10000000149011612,5,8,1.173648528741959e-32,-2.2366778706064941e-49,8.8008534130080824e-49,1.9255468872121512e-33,3.9687101379006718e-49,1.7617407912520657e-33
