stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,e11,e22,e33,e12_engineering,e13_engineering,e23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,0.1,1,1,0.5,0.5,0.5,600,300000000.0000001,5.21540641784668e-08,4.842877388000488e-08,-3.648757311249294e-09,5.156375716776492e-09,5.260625925669304e-09,0.001770000000000002,-0.0005850000000000007,-0.0005850000000000008,-4.743384504624082e-20,1.355252715606881e-20,8.809142651444724e-20,0.0015,-0.00045,-0.00045,-4.743384504624082e-20,6.703288431809442e-20,6.838813703370095e-20,0.0002700000000000013,-0.0001350000000000007,-0.0001350000000000007,0,-5.348035716202562e-20,1.970328948074628e-20,0.0002700000000000014,1
2,0.2,1,1,0.5,0.5,0.5,600,300000000.0000001,2.980232238769531e-08,4.470348358154297e-08,-3.933440573995114e-09,2.000431966973863e-09,6.774289609581982e-09,0.002040000000000003,-0.0007200000000000013,-0.0007200000000000015,-6.098637220230962e-20,-1.355252715606881e-20,1.219727444046192e-19,0.0015,-0.0004500000000000001,-0.0004500000000000001,-5.113472746193649e-20,2.600561557066022e-20,8.806576492456578e-20,0.0005400000000000025,-0.0002700000000000013,-0.0002700000000000014,-9.851644740373136e-21,-3.955814272672902e-20,3.390697948005346e-20,0.0005400000000000025,1
3,0.3,1,1,0.5,0.5,0.5,600,300000000.0000001,2.235174179077148e-08,3.725290298461914e-08,-3.637746268475694e-09,4.712463902156705e-09,5.367321767591872e-09,0.002310000000000004,-0.000855000000000002,-0.0008550000000000021,-6.776263578034403e-20,2.710505431213761e-20,1.219727444046192e-19,0.0015,-0.0004500000000000001,-0.0004500000000000001,-4.729070149018403e-20,6.126203072803717e-20,6.977518297869434e-20,0.0008100000000000039,-0.0004050000000000019,-0.000405000000000002,-2.047193429016e-20,-3.415697641589956e-20,5.219756142592491e-20,0.0008100000000000039,1
4,0.4,1,1,0.5,0.5,0.5,600,300000000,0,-1.490116119384766e-08,-2.882214351176893e-09,1.648717221544339e-09,1.646315101232631e-09,0.002580000000000005,-0.0009900000000000026,-0.0009900000000000026,-6.776263578034403e-20,0,8.809142651444724e-20,0.0015,-0.0004500000000000001,-0.0004500000000000001,-3.746878656529961e-20,2.14333238800764e-20,2.14020963160242e-20,0.001080000000000005,-0.0005400000000000025,-0.0005400000000000026,-3.029384921504442e-20,-2.14333238800764e-20,6.668933019842304e-20,0.001080000000000005,1
5,0.5,1,1,0.5,0.5,0.5,600,300000000,0,-1.490116119384766e-08,-4.889855823637999e-09,-7.787128407869955e-10,3.389392296525668e-09,0.002850000000000006,-0.001125000000000003,-0.001125000000000003,-1.01643953670516e-19,-2.710505431213761e-20,1.151964808265848e-19,0.0015,-0.0004500000000000001,-0.0004500000000000001,-6.356812570729398e-20,-1.012326693023094e-20,4.406209985483369e-20,0.001350000000000006,-0.0006750000000000031,-0.0006750000000000032,-3.807582796322206e-20,-1.698178738190667e-20,7.113438097175116e-20,0.001350000000000006,1
6,0.6000000000000001,1,1,0.5,0.5,0.5,600,300000000,0,-1.490116119384766e-08,-2.831768294415579e-09,4.255219150740585e-10,1.121688455393165e-09,0.003120000000000007,-0.001260000000000004,-0.001260000000000004,-8.809142651444724e-20,-1.355252715606881e-20,9.486769009248164e-20,0.0015,-0.0004500000000000001,-0.0004500000000000001,-3.681298782740252e-20,5.531784895962761e-21,1.458194992011114e-20,0.001620000000000007,-0.0008100000000000036,-0.0008100000000000038,-5.127843868704472e-20,-1.908431205203157e-20,8.028574017237051e-20,0.001620000000000007,1
7,0.7000000000000001,1,1,0.5,0.5,0.5,600,300000000,0,-1.490116119384766e-08,-3.286133891426864e-09,2.943399508879601e-09,3.494977613901661e-09,0.003390000000000008,-0.001395000000000004,-0.001395000000000004,-1.01643953670516e-19,2.032879073410321e-20,1.287490079826537e-19,0.0015,-0.0004500000000000001,-0.0004500000000000001,-4.271974058854923e-20,3.826419361543481e-20,4.54347089807216e-20,0.001890000000000008,-0.0009450000000000042,-0.0009450000000000043,-5.892421308196682e-20,-1.793540288133161e-20,8.331429900193207e-20,0.001890000000000008,1
8,0.8,1,1,0.5,0.5,0.5,600,300000000,0,-1.490116119384766e-08,-1.039876026737958e-09,-2.880432372221859e-09,4.332850781330021e-09,0.00366000000000001,-0.001530000000000005,-0.001530000000000005,-8.131516293641283e-20,-4.743384504624082e-20,1.490777987167569e-19,0.0015,-0.0004500000000000001,-0.0004500000000000001,-1.351838834759345e-20,-3.744562083888418e-20,5.632706015729028e-20,0.00216000000000001,-0.001080000000000005,-0.001080000000000005,-6.779677458881939e-20,-9.988224207356649e-21,9.275073855946659e-20,0.00216000000000001,1
9,0.9,1,1,0.5,0.5,0.5,600,300000000,0,-1.490116119384766e-08,-1.345152819495027e-09,-2.282188725683471e-09,4.475453092597536e-09,0.003930000000000011,-0.001665000000000005,-0.001665000000000005,-8.809142651444724e-20,-4.743384504624082e-20,1.626303258728257e-19,0.0015,-0.0004500000000000001,-0.0004500000000000001,-1.748698665343535e-20,-2.966845343388512e-20,5.818089020376798e-20,0.002430000000000011,-0.001215000000000005,-0.001215000000000006,-7.060443986101189e-20,-1.77653916123557e-20,1.044494356690577e-19,0.002430000000000011,1
10,1,1,1,0.5,0.5,0.5,600,300000000,0,-1.490116119384766e-08,-2.108277015143659e-09,-4.93570194944201e-09,4.184296450421661e-10,0.004200000000000012,-0.001800000000000006,-0.001800000000000006,-1.01643953670516e-19,-8.809142651444724e-20,1.219727444046192e-19,0.0015,-0.0004500000000000001,-0.0004500000000000001,-2.740760119686757e-20,-6.416412534274614e-20,5.439585385548156e-21,0.002700000000000012,-0.001350000000000006,-0.001350000000000006,-7.423635247364848e-20,-2.39273011717011e-20,1.165331590190711e-19,0.002700000000000012,1
