time_s,node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
1,1,300,1.875956185959753e-31,3.977003759294427e-32,3.976999874481631e-32,-250000.3337762415,-4187827.008991031,-1191525.953460224,-1191525.751912595
1,2,300.333283324012,0.0001420943563136099,-4.102713215644188e-30,-4.102712940081783e-30,0,0,1924628.209970694,1924628.037986596
1,3,360,0.0005705220042157705,1.811955084830726e-30,1.811954903686537e-30,46892064.16620564,0,479874.9853853989,479874.9558177108
1,4,300,5.062153952591295e-34,-8.138554717762097e-05,9.120649705082331e-32,-249900.3338213873,-17920.71814920564,0,-2232277.372359004
1,5,300.3331478452344,-1.928770321874535e-05,0.0001641489275435807,-3.824211748046902e-30,0,0,0,717230.8664975143
1,6,360,0.000382585457071296,0.0005331933596584822,1.825152955027451e-30,46892464.16615126,0,0,302069.9207070261
1,7,300,5.061271923799351e-34,9.120652945488935e-32,-8.138555039094065e-05,-250500.333554211,-17921.2016308129,-2232277.583081699,0
1,8,300.3339496187164,-1.928770245449928e-05,-3.824211520519814e-30,0.0001641489286319472,0,0,717231.0356369442,0
1,9,360,0.0003825854813673338,1.825153129868753e-30,0.0005331933673978288,46891564.16647317,0,302069.9622765318,0
1,10,300,-1.895522726055673e-31,-9.661190037693356e-05,-9.66119045345668e-05,-250400.3335993582,4223668.862557109,0,0
1,11,300.3338141356497,-0.0001851567558909533,0.0001562931929248632,0.0001562931957596515,0,0,0,0
1,12,360,0.0001905164331913961,0.0005337617983919212,0.0005337617923316626,46891964.16641877,0,0,0
2,1,300,-3.931030282040807e-38,7.957187739890943e-38,7.93639162388008e-38,-500001.0021072315,-8751935.680087226,-2459589.17963298,-2459587.815448393
2,2,300.9994862172247,0.0003005478186203425,-8.745033146292193e-30,-8.745030921780175e-30,0,0,3982474.83132336,3982473.672618126
2,3,420,0.001201121983076618,1.509750002408255e-36,1.509673350331283e-36,48568136.99775244,0,1029405.037404526,1029404.831925195
2,4,300,-1.606216953307455e-37,-0.0001685567021697412,1.124739104009516e-37,-499901.0021988821,-37308.73660093467,0,-4645239.033547294
2,5,300.9992110131116,-3.840604815564072e-05,0.0003450216182416025,-8.254542505049292e-30,0,0,0,1437935.606599902
2,6,420,0.0008045785189167984,0.00112316722055714,1.510069664862314e-36,48568836.99762318,0,0,655012.7342670677
2,7,300,-1.607081029868502e-37,1.128044747819004e-37,-0.0001685567233412391,-501251.0013311836,-37312.02587047495,-4645240.471007379,0
2,8,301.0018164937373,-3.840604243318965e-05,-8.254541076603877e-30,0.0003450216251537876,0,0,1437936.761914035,0
2,9,420,0.0008045786885885208,1.509942421706884e-36,0.00112316727583381,48566886.99884679,0,655013.0164131473,0
2,10,300,-2.95759622809189e-37,-0.0002005029264374441,-0.0002005029548471645,-501151.0014228407,8826556.442967432,0,0
2,11,301.0015412704744,-0.0003867439623995367,0.0003284399354629683,0.0003284399547051417,0,0,0,0
2,12,420,0.0003993526973596336,0.001124268949416433,0.001124268906749405,48567586.99871752,0,0,0
3,1,300,2.246570775580692e-37,-2.330810601849098e-37,-4.085684326612367e-38,-1.003216644447564,-8751945.011917409,-2459592.216900581,-2459589.90757189
3,2,300.9995768089733,0.00030055327515187,-8.745043301376595e-30,-8.745039784121051e-30,0,0,3982479.60406871,3982477.642581286
3,3,420,0.001201133716428642,-3.769453048592072e-36,-3.676748001861248e-36,136.9965388074383,0,1029405.886824041,1029405.538982732
3,4,300,5.380668814613891e-37,-0.0001685517778227358,-8.748180449006143e-38,98.99664512234057,-37307.41641439969,0,-4645243.700156565
3,5,300.9991617277755,-3.840101939255633e-05,0.0003450271848211724,-8.254551285329844e-30,0,0,0,1437937.144556329
3,6,420,0.0008045897386685928,0.001123173755759791,-3.67284037811041e-36,836.9963438722618,0,0,655013.2816295968
3,7,300,6.299009770416836e-37,-3.904986353918272e-37,-0.0001685518136624138,-1251.001886016952,-37312.9845805455,-4645246.133527679,0
3,8,301.003572351415,-3.840100970538956e-05,-8.254548728099743e-30,0.0003450271965222985,0,0,1437939.100303055,0
3,9,420,0.0008045900258934869,-3.579186540594519e-36,0.001123173849333659,-1113.001584764637,0,655013.7592537932,0
3,10,300,9.462961691078501e-37,-0.0002004980375910653,-0.0002004980856838186,-1151.00202426587,8826565.412909092,0,0
3,11,301.0031572254923,-0.0003867393750434098,0.0003284454677679245,0.0003284455003416137,0,0,0,0
3,12,420,0.000399363500926238,0.001124275531904291,0.001124275459676383,-413.0017797199923,0,0,0
4,1,300,3.645416649647242e-31,6.374071758297736e-32,6.374065288334435e-32,-1.003142674959937,-2049559.693475535,-586674.2962149773,-586673.7353246623
4,2,300.9995962098955,7.437431417957498e-05,-1.865493053576604e-30,-1.865492237925034e-30,0,0,946471.0868847475,946470.6071550676
4,3,330,0.0002887368294318586,3.656240274640897e-30,3.656240304341059e-30,-69146969.87820144,0,231769.0597965186,231768.9786358941
4,4,300,1.304320021247597e-33,-3.4765372498883e-05,1.681445560744659e-31,98.99667250934621,-8785.529066140421,0,-1094820.113553714
4,5,300.9990412526915,-4.425262304207291e-06,8.536217328209854e-05,-1.654456745627833e-30,0,0,0,358171.8592385631
4,6,330,0.0001971764842144286,0.0002652159373233911,3.687754934480607e-30,-69146719.87840521,0,0,145082.3878970907
4,7,300,1.304611413371462e-33,1.68144645896262e-31,-3.476538155510944e-05,-1.001812050245864,-8786.870932527738,-1094820.697798016,0
4,8,301.0035917433851,-4.42526030201116e-06,-1.654456357930087e-30,8.536217640160867e-05,0,0,358172.3279117253,0
4,9,330,0.0001971765508050623,3.687754945065834e-30,0.0002652159582947985,-69146969.87673435,0,145082.5034682269,0
4,10,300,-3.671512920081835e-31,-4.220364775511318e-05,-4.220365927511263e-05,98.99800310936865,2067132.09461624,0,0
4,11,301.0030367153067,-8.542015582179265e-05,8.153564029935584e-05,8.153564818245599e-05,0,0,0,0
4,12,330,0.0001035988225965977,0.0002655036646321415,0.0002655036480898401,-69146719.87693815,0,0,0
