step,element,local_node,temperature_k,reaction_heat_flux_w
BODY,1,1,300,-13.12234374999997
BODY,1,2,300,-13.12234374999998
BODY,1,3,300,-13.12234374999997
BODY,1,4,300,-13.12234374999998
BODY,1,5,300,-13.12234374999997
BODY,1,6,300,-13.12234375
BODY,1,7,300,-13.12234375000006
BODY,1,8,300,-13.12234375000008
BODY,2,1,300,8.10224167976798e-14
BODY,2,2,300,6.361114677754345e-14
BODY,2,3,300,1.588613518714419e-14
BODY,2,4,300,-6.92031696852477e-15
BODY,2,5,300,-1.31986009589546e-14
BODY,2,6,300,-3.560870420084903e-14
BODY,2,7,300,-4.349222885006407e-14
BODY,2,8,300,-6.129984778397495e-14
BODY,3,1,300,-7.86474066987224e-15
BODY,3,2,300,-3.831551018304378e-14
BODY,3,3,300,3.968489580555274e-15
BODY,3,4,300,-4.522593425586488e-15
BODY,3,5,300,-6.175731045981906e-15
BODY,3,6,300,6.36791212498407e-15
BODY,3,7,300,4.901383465461217e-14
BODY,3,8,300,-2.4716610356671e-15
SURFACE,1,1,300,3.405267034529986e-14
SURFACE,1,2,300,2.378205223171396e-14
SURFACE,1,3,300,3.250272276090531e-14
SURFACE,1,4,300,2.335236055305607e-14
SURFACE,1,5,300,2.989045250676347e-14
SURFACE,1,6,300,-5.728995325484842e-15
SURFACE,1,7,300,-5.604720936913577e-14
SURFACE,1,8,300,-8.180405370311802e-14
SURFACE,2,1,300,8.10224167976798e-14
SURFACE,2,2,300,6.361114677754345e-14
SURFACE,2,3,300,1.588613518714419e-14
SURFACE,2,4,300,-6.92031696852477e-15
SURFACE,2,5,300,-14.33150243498107
SURFACE,2,6,300,-14.77842291212661
SURFACE,2,7,300,-14.81203841204348
SURFACE,2,8,300,-14.3554443615443
SURFACE,3,1,300,-7.86474066987224e-15
SURFACE,3,2,300,-3.831551018304378e-14
SURFACE,3,3,300,3.968489580555274e-15
SURFACE,3,4,300,-4.522593425586488e-15
SURFACE,3,5,300,-6.175731045981906e-15
SURFACE,3,6,300,6.36791212498407e-15
SURFACE,3,7,300,4.901383465461217e-14
SURFACE,3,8,300,-2.4716610356671e-15
FILM_BASE,1,1,300,-129.5649819522526
FILM_BASE,1,2,300,-120.2034729517695
FILM_BASE,1,3,300,-121.3590715163681
FILM_BASE,1,4,300,-133.142207212456
FILM_BASE,1,5,360,55.59019357867852
FILM_BASE,1,6,410,145.692446602051
FILM_BASE,1,7,445,220.8966560425327
FILM_BASE,1,8,385,82.09043740958403
FILM_BASE,2,1,300,-129.5649819522526
FILM_BASE,2,2,300,-120.2034729517695
FILM_BASE,2,3,300,-121.3590715163681
FILM_BASE,2,4,300,-133.1422072124559
FILM_BASE,2,5,360,55.59019357867847
FILM_BASE,2,6,410,145.6924466020509
FILM_BASE,2,7,445,220.8966560425326
FILM_BASE,2,8,385,82.09043740958398
FILM_BASE,3,1,300,-129.5649819522526
FILM_BASE,3,2,300,-120.2034729517696
FILM_BASE,3,3,300,-121.359071516368
FILM_BASE,3,4,300,-133.142207212456
FILM_BASE,3,5,360,55.59019357867844
FILM_BASE,3,6,410,145.692446602051
FILM_BASE,3,7,445,220.8966560425327
FILM_BASE,3,8,385,82.09043740958403
FILM_ACTIVE,1,1,300,-129.5649819522526
FILM_ACTIVE,1,2,300,-120.2034729517695
FILM_ACTIVE,1,3,300,-121.3590715163681
FILM_ACTIVE,1,4,300,-133.142207212456
FILM_ACTIVE,1,5,360,55.59019357867852
FILM_ACTIVE,1,6,410,145.692446602051
FILM_ACTIVE,1,7,445,220.8966560425327
FILM_ACTIVE,1,8,385,82.09043740958403
FILM_ACTIVE,2,1,300,-129.5649819522526
FILM_ACTIVE,2,2,300,-120.2034729517695
FILM_ACTIVE,2,3,300,-121.3590715163681
FILM_ACTIVE,2,4,300,-133.1422072124559
FILM_ACTIVE,2,5,360,55.59019357867847
FILM_ACTIVE,2,6,410,145.6924466020509
FILM_ACTIVE,2,7,445,220.8966560425326
FILM_ACTIVE,2,8,385,82.09043740958398
FILM_ACTIVE,3,1,300,-129.5649819522526
FILM_ACTIVE,3,2,300,-120.2034729517696
FILM_ACTIVE,3,3,300,-121.359071516368
FILM_ACTIVE,3,4,300,-133.142207212456
FILM_ACTIVE,3,5,360,449.7065105406572
FILM_ACTIVE,3,6,410,736.8293630871135
FILM_ACTIVE,3,7,445,942.9835286296502
FILM_ACTIVE,3,8,385,566.5866846117019
