stage,time_s,internal_energy_j,plastic_dissipation_j,creep_dissipation_j,external_work_j
1,0.001,136266.09375,18718.46875,8.064794540405273,136184.421875
2,0.002,412386.03125,285946.5,24.90837478637695,412286.46875
3,0.003,694334.25,562047.8125,42.7082633972168,694225.375
4,0.004,980167.5,843304.875,61.47610473632812,980052.625
5,0.005,1269503.375,1128577.625,81.245361328125,1269383.875
6,0.006,1562260.375,1417467,102.0541229248047,1562136.75
7,0.007,1858412.875,1709812.625,123.9417877197266,1858285.25
8,0.008,2157946,2005541.125,146.9486083984375,2157814.5
9,0.009000000000000001,2460846.75,2304614.5,171.1156616210938,2460711.5
10,0.01,2767103,2607009,196.48486328125,2766963.75
11,0.011,3076702,2912707.5,223.0990447998047,3076558.75
12,0.012,3389632,3221695.75,251.001953125,3389484.75
13,0.013,3705880.25,3533960.5,280.2381896972656,3705729
14,0.014,4025435,3849489.5,310.8533630371094,4025279.75
15,0.015,4348284,4168270,342.8939514160156,4348124.5
16,0.016,4674415.5,4490290.5,376.4073791503906,4674252
17,0.017,5003817,4815539,411.4420776367188,5003649.5
18,0.018,5336477.5,5144004,448.0473022460938,5336305.5
19,0.019,5672384,5475673,486.2734069824219,5672207.5
20,0.02,6011525,5810534.5,526.171630859375,6011344.5
21,0.021,6353889.5,6148577,567.7941284179688,6353704.5
22,0.022,6699465,6489788.5,611.1941528320312,6699275.5
23,0.023,7048239.5,6834158,656.42578125,7048046
24,0.024,7400202.5,7181673.5,703.5442504882812,7400004.5
25,0.025,7755342,7532324,752.6055297851562,7755139
26,0.026,8777778,8605979,787.8157348632812,8771298
27,0.027,10887191,10700665,858.662841796875,10879981
28,0.028,13128406,12922706,945.7569580078125,13121210
29,0.029,15481102,15255092,1051.066528320312,15474022
30,0.03,17944552,17697252,1177.263061523438,17937608
31,0.031,20518740,20249170,1327.30322265625,20511940
32,0.032,23203662,22910846,1504.414184570312,23197014
33,0.033,25999320,25682278,1712.10302734375,25992834
34,0.034,28905712,28563456,1954.167602539062,28899396
35,0.035,31922838,31554378,2234.70751953125,31916700
36,0.036,35050692,34655036,2558.136474609375,35044744
37,0.037,38289280,37865428,2929.193115234375,38283524
38,0.038,41638592,41185544,3352.952392578125,41633044
39,0.039,45098636,44615376,3834.837646484375,45093300
40,0.04,48669400,48154916,4380.63232421875,48664292
41,0.041,52350888,51804160,4996.490234375,52346012
42,0.042,56143096,55563096,5688.94921875,56138464
43,0.043,60046020,59431720,6464.939453125,60041644
44,0.044,64059664,63410012,7331.798828125,64055548
45,0.045,68184016,67497976,8297.28125,68180184
46,0.046,72419088,71695584,9369.568359375,72415528
47,0.047,76764864,76002848,10557.2841796875,76761600
48,0.048,81221344,80419736,11869.50390625,81218392
49,0.049,85788528,84946240,13315.763671875,85785888
50,0.05,90466408,89582352,14906.0771484375,90464104
51,0.051,95254992,94328056,16650.94140625,95253024
52,0.052,100154264,99183336,18561.3515625,100152648
53,0.053,105164232,104148184,20648.8125,105162976
54,0.054,110284880,109222584,22925.349609375,110284000
55,0.055,115516216,114406512,25403.517578125,115515720
56,0.056,120858232,119699952,28096.416015625,120858136
57,0.057,126310920,125102896,31017.69921875,126311232
58,0.058,131874280,130615312,34181.5859375,131875016
59,0.059,137548304,136237200,37602.87109375,137549488
60,0.06,143333008,141968512,41296.94140625,143334624
61,0.061,149228352,147809264,45279.78125,149230432
62,0.062,155234352,153759408,49567.984375,155236912
63,0.063,161351008,159818928,54178.76953125,161354048
64,0.064,167578304,165987808,59129.98828125,167581840
65,0.065,173916240,172266016,64440.13671875,173920288
66,0.066,180364800,178653536,70128.3671875,180369376
67,0.067,186924000,185150336,76214.5,186929104
68,0.068,193593808,191756384,82719.03125,193599488
69,0.06900000000000001,200374240,198471680,89663.1484375,200380480
70,0.07000000000000001,207265280,205296160,97068.75,207272112
71,0.07100000000000001,214266928,212229824,104958.421875,214274352
72,0.07200000000000001,221379168,219272640,113355.5,221387200
73,0.073,228602000,226424544,122284.0390625,228610656
74,0.074,235935424,233685552,131768.84375,235944720
75,0.075,243379408,241055600,141835.46875,243389376
76,0.076,250933984,248534672,152510.234375,250944608
77,0.077,258599104,256122720,163820.265625,258610416
78,0.078,266374784,263819712,175793.453125,266386800
79,0.079,274260992,271625632,188458.484375,274273728
80,0.08,282257760,279540416,201844.875,282271232
81,0.081,290365056,287564032,215982.953125,290379296
82,0.082,298582880,295696448,230903.875,298597856
83,0.083,306911200,303937600,246639.65625,306926976
84,0.08400000000000001,315350048,312287488,263223.15625,315366624
85,0.08500000000000001,323899392,320746048,280688.09375,323916768
86,0.08600000000000001,332559200,329313216,299069.0625,332577408
87,0.08700000000000001,341329472,337988992,318401.59375,341348544
88,0.08799999999999999,350210240,346773280,338722.03125,350230176
89,0.089,359201472,355666080,360067.6875,359222272
90,0.09,368303104,364667328,382476.8125,368324832
91,0.091,377515200,373776960,405988.5,377537824
92,0.092,386837728,382994912,430642.84375,386861280
93,0.093,396270656,392321184,456480.9375,396295168
94,0.094,405814016,401755680,483544.6875,405839488
95,0.095,415467744,411298368,511877.15625,415494208
96,0.096,425231840,420949216,541522.1875,425259328
97,0.097,435106304,430708096,572524.875,435134816
98,0.098,445091136,440575008,604931,445120704
99,0.099,455186304,450549856,638787.6875,455216928
100,0.1,465391808,460632608,674142.75,465423520
