increment,time_s,allie_j,allse_j,allpd_j,allcd_j,allfd_j,allwk_j,boundary_heat_rate_w
1,0.01999999955296516,2.774513959884644,2.774501323699951,0,1.24598636830342e-05,0,2.547905206680298,25351.83140769789
2,0.03999999910593033,11.20075607299805,11.20044136047363,0,0.0003145858645439148,0,10.45493602752686,25704.33766791352
3,0.05999999865889549,25.5160961151123,25.51405906677246,0,0.002037003170698881,0,24.2028751373291,26057.5025769738
4,0.07999999821186066,45.99245071411133,45.9846076965332,0,0.007841462269425392,0.09833496809005737,44.18476104736328,26411.28759507416
5,0.1000000014901161,72.05081176757812,72.02827453613281,0,0.0225334707647562,3.249167919158936,70.29718017578125,26764.96900857996
6,0.119999997317791,103.928108215332,103.874382019043,0,0.05372850224375725,7.403081893920898,102.2905807495117,27119.02288298057
7,0.1400000005960464,141.7074584960938,141.5948791503906,0,0.1125683709979057,12.28954601287842,140.1688232421875,27473.50224302003
8,0.1599999964237213,185.4309234619141,185.2165069580078,0,0.2144162654876709,17.90151214599609,183.9637298583984,27828.39456051001
9,0.1800000071525574,235.1458282470703,234.7662658691406,0,0.3795677721500397,24.23187637329102,233.712890625,28183.68903932299
10,0.2000000029802322,308.0671997070312,289.3572998046875,18.09004211425781,0.6198580861091614,30.55556106567383,305.99365234375,28540.07501474302
11,0.2199999988079071,416.5595703125,350.060791015625,65.54772186279297,0.9510601758956909,37.47189331054688,413.9601135253906,28897.78359658181
12,0.239999994635582,648.986083984375,417.8128662109375,229.7546234130859,1.418595314025879,41.42238998413086,642.4955444335938,29258.09226409893
13,0.2599999904632568,1062.63623046875,488.3477172851562,572.2288818359375,2.059680700302124,45.93346786499023,1052.024291992188,29620.72612978138
14,0.2800000011920929,1520.977172851562,564.0880737304688,953.973876953125,2.915222883224487,51.9606819152832,1507.233032226562,29984.28750975972
15,0.300000011920929,2013.199340820312,645.3494873046875,1363.813354492188,4.036567687988281,59.37320327758789,1997.068969726562,30348.7566023481
16,0.3199999928474426,2539.28369140625,732.156005859375,1801.644653320312,5.483068466186523,67.99166107177734,2521.36376953125,30714.20222996744
17,0.3400000035762787,3099.290283203125,824.53173828125,2267.43603515625,7.322454929351807,77.69608306884766,3080.065185546875,31080.67302247769
18,0.3600000143051147,3693.2900390625,922.500244140625,2761.158447265625,9.631400108337402,88.38783264160156,3673.15673828125,31448.20921607376
19,0.3799999952316284,4321.337890625,1026.0791015625,3282.7626953125,12.49606609344482,99.99055480957031,4300.6298828125,31816.84375522317
20,0.4000000059604645,4983.474609375,1135.279541015625,3832.1826171875,16.01263236999512,112.4469909667969,4962.482421875,32186.60389071052
