stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ivol_m3
1,0.1,1,1,0.50025,0.4999250243670811,0.4999250243670811,600,99975006.24864876,0.000351443886756897,0.000351443886756897,5.411174954097747e-23,5.21251044464239e-10,-5.212510444641848e-10,0.0004998750416509929,-0.0001499625096528156,-0.0001499625096528156,0,0,0,0.0004998750312421896,-0.0001499625093717431,-0.0001499625093717431,7.034527440327072e-34,6.776263578035107e-21,-6.776263578034403e-21,0,0,0,0,0,0,0,1.000199970013683
2,0.2,1,1,0.501,0.4996016462867315,0.4996016462867315,600,201976242.3216636,0.0007428526878356934,0.0007429122924804688,-1.459022517638157e-23,-7.351431461639789e-10,-2.448355775885282e-10,0.001998002662673058,-0.0007970249665675435,-0.0007970249665675435,0,0,0,0.001009881211606089,-0.0003029643634798955,-0.0003029643634798951,-1.896729272929604e-34,-9.556860900131724e-21,-3.182862508650867e-21,0.0009881211604600708,-0.0004940605802300358,-0.0004940605802300356,-2.141377134309613e-34,-1.078954371580429e-20,-3.593401069383536e-21,0.0009881211604602928,1.000404034329429
3,0.3,1,1,0.502,0.4991057578882735,0.4991057578882735,600,205924792.7167328,0.007400095462799072,0.007400065660476685,-3.343044775839716e-23,1.070933633512727e-09,1.221855923026978e-09,0.003992021269537457,-0.001790085470850297,-0.001790085470850297,0,0,0,0.001029623963561464,-0.0003088871890491989,-0.0003088871890491991,-4.34595820859163e-34,1.392213723566546e-20,1.588412699935072e-20,0.002962396354666212,-0.001481198177333106,-0.001481198177333107,-1.173877791298187e-33,2.009308550706858e-20,3.15497180468901e-20,0.002962396354666434,1.000411935149827
4,0.4,1,1,0.501,0.4994044149689944,0.4994044149689944,600,-192878796.4667915,0.08869802579283714,0.08869802951812744,9.462270825483442e-22,1.070933633513707e-09,-8.631482548297609e-10,0.001998002662673058,-0.00119188006895152,-0.00119188006895152,0,0,0,-0.0009643939826000517,0.0002893181950106304,0.0002893181950106304,1.230095207312847e-32,1.392213723567819e-20,-1.122092731278689e-20,0.002962396354666212,-0.001481198177333106,-0.001481198177333107,-1.23054771067514e-33,2.009308550706853e-20,3.15497180468901e-20,0.002962396354666434,0.9996143169196186
5,0.5,1,1,0.5,0.4998951348688704,0.4998951348688704,600,-209752064.023444,0.00681757926940918,0.00681757926940918,-9.200146220079355e-24,3.448637295760769e-10,-2.779523557975308e-10,0,-0.0002097522587262907,-0.0002097522587262907,0,0,0,-0.001048760320137673,0.0003146280960590276,0.0003146280960590276,-1.196019008610318e-34,4.483228484489001e-21,-3.6133806253679e-21,0.001048760694201835,-0.0005243803471009174,-0.0005243803471009183,-1.426113984765481e-33,2.95319942582451e-20,2.394217135947111e-20,0.00487603201513081,0.9995805834622644
6,0.6000000000000001,1,1,0.499,0.5003937972271152,0.5003937972271152,600,-213716424.4226903,0.007578134536743164,0.007578253746032715,-5.731846509201799e-24,1.098172586835209e-10,1.239373363731028e-09,-0.002002002670673079,0.0007872844644716759,0.0007872844644716759,0,0,0,-0.001068582122136187,0.0003205746366605592,0.0003205746366605599,-7.45140046196234e-35,1.427624362885772e-21,1.611185372850336e-20,-0.0009334195058016538,0.0004667097529008263,0.0004667097529008265,-1.585735965893988e-33,3.258759837984822e-20,5.842704562987509e-20,0.006858212215134299,0.9995726575950582
7,0.7000000000000001,1,1,0.498,0.5008939588419625,0.5008939588419625,600,-217688737.4011691,0.00763934850692749,0.007639378309249878,-2.089161626785543e-24,-1.305553788625089e-09,3.99089697192872e-10,-0.004008021397538822,0.001786321261667292,0.001786321261667292,0,0,0,-0.001088443687028763,0.0003265331061284911,0.0003265331061284914,-2.715910114821206e-35,-1.697219925212615e-20,5.188166063507337e-21,-0.002919575995071565,0.001459787997535782,0.001459787997535782,-1.642577928868038e-33,-3.07147913142228e-21,6.935073329487112e-20,0.00884436870440421,0.9995647158894246
8,0.8,1,1,0.4995,0.5003599215071138,0.5003599215071138,600,219333552.1089444,0.001290127635002136,0.00129014253616333,5.546934539427932e-23,-6.999214055947985e-10,2.449542530805133e-09,-0.001000500333583534,0.000719584051512655,0.000719584051512655,0,0,0,0.001096667760540851,-0.000329000328158901,-0.0003290003281589008,7.211014901256313e-34,-9.098978272732382e-21,3.184405290046672e-20,-0.002097168645648698,0.001048584322824348,0.001048584322824348,-1.01261766942288e-33,-1.094470011081467e-20,9.690495508218695e-20,0.009666776053827078,1.000438763998218
9,0.9,1,1,0.5014999999999999,0.4993651505134791,0.4993651505134791,600,227246431.4260781,0.1188814640045166,0.1188814640045166,-8.352804754261845e-23,-1.394884619422049e-10,3.812363939795623e-09,0.002995508979798149,-0.001270505723742366,-0.001270505723742366,0,0,0,0.001136232156773746,-0.0003408696467230321,-0.0003408696467230316,-1.08586461805404e-33,-1.813350005248664e-21,4.956073121734312e-20,0.001859270954122403,-0.0009296354770612033,-0.0009296354770612016,-5.394809911762831e-33,-1.823032837830458e-20,2.960287112624114e-19,0.01362321565359818,1.000454600831966
10,1,1,1,0.5,0.4998856746274272,0.4998856746274272,600,-228678198.4875813,0.0009663701057434082,0.0009663701057434082,2.29815309222042e-22,-8.098354776843997e-11,-2.076394938865945e-10,0,-0.0002286768897125735,-0.0002286768897125735,0,0,0,-0.001143390992440806,0.0003430172977347543,0.0003430172977347543,2.987599019886546e-33,-1.05278612098972e-21,-2.699313420525727e-21,0.00114338736344679,-0.0005716936817233968,-0.0005716936817233948,-3.253887938139471e-33,-1.899089226255731e-20,2.940786472760051e-19,0.01433909924427379,0.9995427507908722
