increment,time_s,node,temperature_k,u1_m,u2_m,u3_m,reaction_heat_flux_w,rf1_n,rf2_n,rf3_n
1,0.01999999955296516,1,300,1.092989472982083e-41,1.308051976748051e-41,2.388805717719452e-42,-0.00202564979808332,2086.086832251194,404.3374137211081,201.5746109483595
1,0.01999999955296516,2,300.0009785996967,-0.0001187054444913838,-1.886587295639779e-05,-2.007100369168872e-05,0,0,0,0
1,0.01999999955296516,3,300,-1.910723911355828e-33,-2.646805209270369e-34,-2.531620965110919e-34,-0.003654457282511185,3861.532361072741,-11.78257227196968,435.5674261740249
1,0.01999999955296516,4,300.0010362141041,-0.0001297839607472491,1.761485692637345e-05,-2.302993199985268e-05,0,0,0,0
1,0.01999999955296516,5,300,-5.183625109710634e-42,3.002961483975196e-42,6.952745779331726e-43,-0.001983439670116576,2567.907146545801,-509.5174978033916,218.7438304467993
1,0.01999999955296516,6,300.0010124843039,-0.0001460533623157258,5.815930896704871e-05,-2.312465849632806e-05,0,0,0,0
1,0.01999999955296516,7,300,5.076653636823101e-42,4.154221342046389e-42,3.401019608275725e-42,-0.002019832030822323,2197.028677412151,368.852710938868,-236.6841744362475
1,0.01999999955296516,8,300.0009874423694,-0.0001393330748300291,-1.315967016835255e-05,4.720640906612418e-05,0,0,0,0
1,0.01999999955296516,9,300,-2.034063194832373e-33,-2.338411775839483e-34,2.761096738399805e-34,-0.003644915700471597,4108.183560718527,-11.06631958247382,-479.8661054277919
1,0.01999999955296516,10,300.0010445112146,-0.0001513701681730236,1.766983762572582e-05,4.774248274017245e-05,0,0,0,0
1,0.01999999955296516,11,300,-1.118970383416252e-41,8.395693025900919e-42,-4.279237598443292e-43,-0.001977543429445605,2679.261421998461,-473.0913563893811,-252.1842095098355
1,0.01999999955296516,12,300.0010213909091,-0.0001667957257963778,5.255275715805067e-05,5.036274951308363e-05,0,0,0,0
1,0.01999999955296516,13,300.039060089836,-0.0001279442166111471,0.0008624931824620448,0.0003816512376673728,0,0,0,0
1,0.01999999955296516,14,310,-0.0002235671089860722,0.001,0.0005,3168.985258088128,0,704.3007738399901,477.5770284210092
1,0.01999999955296516,15,300.0390094165562,-0.000152114352226686,0.0009574798369520936,0.0003821881490745214,0,0,0,0
1,0.01999999955296516,16,310,-0.0002739545476486867,0.001,0.0005,6337.961604812419,0,70.54850268452742,936.5370254015074
1,0.01999999955296516,17,300.0390353379975,-0.0001586495863528275,0.001054350248757026,0.0003803088054478037,0,0,0,0
1,0.01999999955296516,18,310,-0.0002648536902869213,0.001,0.0005,3168.976439097001,0,-657.5573279157759,481.9788972026745
