case	field	relative_l2	relative_absolute_peak	maximum_pointwise_relative	zero_reference_count	maximum_zero_reference_absolute_difference
b80_rz_small_friction	rz_bottom_axial_reaction	1.794400897809e-11	4.374464554791e-13	6.917909818060e-11	0	0.000000000000e+00
b80_rz_small_friction	rz_creep_tensor	undefined	undefined	undefined	320	0.000000000000e+00
b80_rz_small_friction	rz_displacement	1.779955513940e-12	5.944901848009e-12	7.117343227243e-11	70	0.000000000000e+00
b80_rz_small_friction	rz_elastic_tensor	6.352462078290e-12	2.320540802409e-11	7.233985718346e-10	0	0.000000000000e+00
b80_rz_small_friction	rz_equivalent_creep_strain	undefined	undefined	undefined	320	0.000000000000e+00
b80_rz_small_friction	rz_equivalent_plastic_strain	undefined	undefined	undefined	320	0.000000000000e+00
b80_rz_small_friction	rz_free_node_reaction	undefined	undefined	undefined	200	5.123318436162e-10
b80_rz_small_friction	rz_plastic_tensor	undefined	undefined	undefined	320	0.000000000000e+00
b80_rz_small_friction	rz_sliding_gap	1.678991769142e-10	0.000000000000e+00	6.980218543169e-10	0	0.000000000000e+00
b80_rz_small_friction	rz_sliding_normal_force	1.650516324796e-10	3.704201697059e-13	6.981138479278e-10	0	0.000000000000e+00
b80_rz_small_friction	rz_sliding_normal_force_vector	1.650516283462e-10	5.089943607284e-10	6.981137890214e-10	0	0.000000000000e+00
b80_rz_small_friction	rz_sliding_pressure	1.681635965035e-10	7.351221776842e-13	6.980884909879e-10	0	0.000000000000e+00
b80_rz_small_friction	rz_sliding_shear	6.613677866724e-11	7.351454233893e-13	4.173038248675e-09	0	0.000000000000e+00
b80_rz_small_friction	rz_sliding_slip	1.614607305911e-12	2.734739383697e-15	4.685536006821e-09	0	0.000000000000e+00
b80_rz_small_friction	rz_sliding_tangent_force	4.072253747491e-11	3.701747499821e-13	4.173052154575e-09	0	0.000000000000e+00
b80_rz_small_friction	rz_sliding_tangent_force_vector	4.072251959806e-11	6.101386205383e-11	4.173052190040e-09	0	0.000000000000e+00
b80_rz_small_friction	rz_stress_tensor	1.131668601231e-11	4.572710630596e-11	3.392097159302e-10	0	0.000000000000e+00
b80_rz_small_friction	rz_support_reaction	1.028416349510e-11	2.509806401893e-11	8.980121520823e-11	0	0.000000000000e+00
b80_rz_small_friction	rz_temperature	1.104837469720e-16	0.000000000000e+00	1.894780628694e-16	0	0.000000000000e+00
b81_rz_finite_sliding	rz_bottom_axial_reaction	2.926798195019e-10	1.197093066878e-11	6.751712482520e-10	0	0.000000000000e+00
b81_rz_finite_sliding	rz_creep_tensor	undefined	undefined	undefined	320	0.000000000000e+00
b81_rz_finite_sliding	rz_displacement	8.135212940649e-14	1.491499050531e-13	1.112212780440e-09	70	0.000000000000e+00
b81_rz_finite_sliding	rz_elastic_tensor	3.351954138664e-11	8.842442160324e-11	7.380290937045e-09	0	0.000000000000e+00
b81_rz_finite_sliding	rz_equivalent_creep_strain	undefined	undefined	undefined	320	0.000000000000e+00
b81_rz_finite_sliding	rz_equivalent_plastic_strain	undefined	undefined	undefined	320	0.000000000000e+00
b81_rz_finite_sliding	rz_free_node_reaction	undefined	undefined	undefined	200	5.044693551781e-10
b81_rz_finite_sliding	rz_plastic_tensor	undefined	undefined	undefined	320	0.000000000000e+00
b81_rz_finite_sliding	rz_sliding_gap	4.478579052215e-10	1.723701670806e-11	1.444397875154e-09	0	0.000000000000e+00
b81_rz_finite_sliding	rz_sliding_normal_force	3.503974761853e-10	7.579248215219e-12	1.444687293762e-09	0	0.000000000000e+00
b81_rz_finite_sliding	rz_sliding_normal_force_vector	3.503975673481e-10	9.220116592331e-10	1.444687392284e-09	0	0.000000000000e+00
b81_rz_finite_sliding	rz_sliding_pressure	4.477947232903e-10	1.807298019398e-11	1.444696545745e-09	0	0.000000000000e+00
b81_rz_finite_sliding	rz_sliding_shear	4.147729883281e-10	1.807316527504e-11	1.386891830489e-08	0	0.000000000000e+00
b81_rz_finite_sliding	rz_sliding_slip	7.046974815724e-14	3.906430829898e-15	1.400185476944e-08	0	0.000000000000e+00
b81_rz_finite_sliding	rz_sliding_tangent_force	3.541135995006e-10	7.579207487594e-12	1.386893096304e-08	0	0.000000000000e+00
b81_rz_finite_sliding	rz_sliding_tangent_force_vector	3.541135742715e-10	8.962799339422e-10	1.386893090952e-08	0	0.000000000000e+00
b81_rz_finite_sliding	rz_stress_tensor	4.926505170811e-11	1.249870774121e-10	4.468793844254e-09	0	0.000000000000e+00
b81_rz_finite_sliding	rz_support_reaction	5.132198664514e-11	1.020068620525e-10	4.178807230601e-09	0	0.000000000000e+00
b81_rz_finite_sliding	rz_temperature	1.198364490608e-16	0.000000000000e+00	3.789561257387e-16	0	0.000000000000e+00
