node,x_m,y_m,z_m,temperature_k,ux_m,uy_m,uz_m,rfl_w,rf_x_n,rf_y_n,rf_z_n
1,3.009999999999997e-27,2.672222222222222e-27,2.732962962962964e-27,600,3.009999999999997e-27,2.672222222222222e-27,2.732962962962964e-27,-9.075179349595282e-15,-3093142079.522315,-2791666375.128064,-2837412190.466585
2,1.024,-0.004,0.006,600,0.024,-0.004,0.006,2.657515935172756e-14,2882536981.456622,-2748023165.933429,-2895338359.635608
3,1.034,1.018,-0.008,600,0.034,0.018,-0.008,5.838653343010716e-15,3409008162.778383,2686807704.624816,-2855236990.437468
4,-0.008,1.022,0.004,600,-0.008,0.022,0.004,-5.729928675471969e-15,-3312090660.779549,2690327627.230018,-2819826939.136959
5,0.006,-0.01,1.028,600,0.006,-0.01,0.02799999999999999,-1.926623240677239e-14,-3142745405.019753,-3042691921.47318,2884156731.32876
6,1.02,0.008,1.02,600,0.02,0.008,0.02,3.665080049155109e-16,2741835308.918316,-2354430256.76242,2708761600.522388
7,1.046,1.032,1.036,600,0.04600000000000001,0.032,0.036,-1.091789074088783e-14,3796077801.290816,3091757170.665246,3134790905.465484
8,-0.016,1.014,1.022,600,-0.016,0.014,0.022,1.22089104730737e-14,-3281480109.122523,2467919216.777013,2680105242.359985
