time,element,point,heat_r,heat_z
0.10000000149011612,1,1,-103.94353289658719,-27.480266084339213
0.10000000149011612,1,2,-127.08716727527543,178.64870878978977
0.10000000149011612,1,3,113.37822476566843,-1.7003352409186401
0.10000000149011612,1,4,75.892487896389838,212.30109497296485
0.20000000298023224,1,1,-103.94353289658719,-27.480266084339213
0.20000000298023224,1,2,-127.08716727527543,178.64870878978977
0.20000000298023224,1,3,113.37822476566843,-1.7003352409186401
0.20000000298023224,1,4,75.892487896389838,212.30109497296485
0.30000000447034836,1,1,-103.94353289658719,-27.480266084339213
0.30000000447034836,1,2,-127.08716727527543,178.64870878978977
0.30000000447034836,1,3,113.37822476566843,-1.7003352409186401
0.30000000447034836,1,4,75.892487896389838,212.30109497296485
