field	count	relative_l2_percent	relative_absolute_peak_percent	maximum_pointwise_relative_percent	zero_reference_count	maximum_zero_reference_absolute_difference	maximum_absolute_component_difference	maximum_pointwise_actual_norm	maximum_pointwise_reference_norm
temperature	40	0.00616942147989454	0.0	0.015666910379981448	0	0.0	0.049655695175090386	316.89665963281993	316.946315327995
displacement_vector	112	0.028237129964456917	0.020547356141719056	0.13389435955713566	8	0.0	2.522538833914581e-06	0.0004659101190107085	0.0004663822346634897
equivalent_stress	216	0.02115918982888706	0.04051015524350739	0.22868806824862398	0	0.0	113.43474160807091	49488.9526836718	49602.38742527987
equivalent_plastic_strain	216	0.03870192900426262	0.08890830317642175	0.15970793113214235	108	0.0	7.441791303880452e-06	0.00015797887126871142	0.0001582315796509697
equivalent_creep_strain	216	0.036747374907680264	0.001752360521756133	0.08821329234878701	108	0.0	7.3458905071018335e-09	8.334764935311458e-06	8.327419044804356e-06
