element,integration_point,x_m,y_m,z_m,temperature_k,hfl_x_w_m2,hfl_y_w_m2,hfl_z_w_m2,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,e11,e22,e33,e12_engineering,e13_engineering,e23_engineering,ivol_m3
1,1,0.2113248705863953,0.2113248705863953,0.2113248705863953,300,-2.668222188949585,0.0001164647983387113,-0.001408827374689281,27441566,577287.1875,577287.1875,2297041.75,2297041.75,-732408.625,0.0001397695887135342,-2.813214814523235e-05,-2.813214814523235e-05,2.871302058338188e-05,2.871302058338188e-05,-9.155108273262158e-06,0.125
1,2,0.7886751294136047,0.2113248705863953,0.2113248705863953,300.6667175292969,-2.668222188949585,0.0004346525529399514,-0.00525781512260437,3236184.5,12679978,12679978,-9581360,-9581360,-502799.1875,-1.151404012489365e-05,4.750966763822362e-05,4.750966763822362e-05,-0.0001197669917019084,-0.0001197669917019084,-6.284989922278328e-06,0.125
1,3,0.2113248705863953,0.7886751294136047,0.2113248705863953,300,-2.667903900146484,0.0001164647983387113,-0.001408821903169155,12270690,9163214,7162236,20451078,2342175,-1732897.5,4.495161920203827e-05,2.552989280957263e-05,1.302378223044798e-05,0.0002556384715717286,2.927718924183864e-05,-2.166121885238681e-05,0.125
1,4,0.7886751294136047,0.7886751294136047,0.2113248705863953,300.6665954589844,-2.667903900146484,0.0004346525529399514,-0.005257795099169016,-12143793,21056802,19683130,8572676,-9726572,-1189635.625,-0.0001076389016816393,9.986482473323122e-05,9.127936937147751e-05,0.0001071584556484595,-0.0001215821466757916,-1.487044573877938e-05,0.125
1,5,0.2113248705863953,0.2113248705863953,0.7886751294136047,300,-2.672071218490601,0.0001164702262030914,-0.001408827374689281,12270690,7162236,9163214,2342175,20451078,-1732897.5,4.495161920203827e-05,1.302378223044798e-05,2.552989280957263e-05,2.927718924183864e-05,0.0002556384715717286,-2.166121885238681e-05,0.125
1,6,0.7886751294136047,0.2113248705863953,0.7886751294136047,300.6683959960938,-2.672071218490601,0.0004346727801021188,-0.00525781512260437,-12143793,19683130,21056802,-9726572,8572676,-1189635.625,-0.0001076389016816393,9.127936937147751e-05,9.986482473323122e-05,-0.0001215821466757916,0.0001071584556484595,-1.487044573877938e-05,0.125
1,7,0.2113248705863953,0.7886751294136047,0.7886751294136047,300,-2.6717529296875,0.0001164702262030914,-0.001408821903169155,-3153980,15875060,15875060,20809864,20809864,-2733386.25,-5.145256727701053e-05,6.747893348801881e-05,6.747893348801881e-05,0.0002601232845336199,0.0002601232845336199,-3.416732943151146e-05,0.125
1,8,0.7886751294136047,0.7886751294136047,0.7886751294136047,300.6682739257812,-2.6717529296875,0.0004346727801021188,-0.005257795099169016,-27777564,28186852,28186852,8741116,8741116,-1876472.125,-0.0002053499774774536,0.0001444276276743039,0.0001444276276743039,0.0001092639577109367,0.0001092639577109367,-2.345590110053308e-05,0.125
2,1,1.21132481098175,0.2113248705863953,0.2113248705863953,300.6667175292969,-397.331787109375,0.0004346525529399514,-0.00525781512260437,20340146,-24468142,-24468142,-11366553,-11366553,-323337.28125,0.0007668760372325778,0.000486824254039675,0.000486824254039675,-0.0001420819171471521,-0.0001420819171471521,-4.04171578338719e-06,0.125
2,2,1.78867518901825,0.2113248705863953,0.2113248705863953,400,-397.331787109375,0.0001164647983387113,-0.001408827374689281,-15700809,-6447665.5,-6447665.5,-13242071,-13242071,-62647.6484375,0.0005416200729086995,0.0005994522362016141,0.0005994522362016141,-0.0001655258820392191,-0.0001655258820392191,-7.830956292309565e-07,0.125
2,3,1.21132481098175,0.7886751294136047,0.2113248705863953,300.6665954589844,-397.3320922851562,0.0004346525529399514,-0.005257795099169016,18133912,-22923340,-23806714,15664163,-11560112,-765024.1875,0.0007530871080234647,0.0004964792751707137,0.0004909582203254104,0.0001958020438905805,-0.0001445014058845118,-9.562802006257698e-06,0.125
2,4,1.78867518901825,0.7886751294136047,0.2113248705863953,400,-397.3320922851562,0.0001164647983387113,-0.001408821903169155,-18144448,-5140268,-5311424.5,13788645,-13419827,-148225.9375,0.0005263473722152412,0.0006076234858483076,0.0006065537454560399,0.0001723580644465983,-0.0001677478430792689,-1.852824198067538e-06,0.125
2,5,1.21132481098175,0.2113248705863953,0.7886751294136047,300.6683959960938,-397.3279418945312,0.0004346727801021188,-0.00525781512260437,18133912,-23806714,-22923340,-11560112,15664163,-765024.1875,0.0007530871080234647,0.0004909582203254104,0.0004964792751707137,-0.0001445014058845118,0.0001958020438905805,-9.562802006257698e-06,0.125
2,6,1.78867518901825,0.2113248705863953,0.7886751294136047,400,-397.3279418945312,0.0001164702262030914,-0.001408827374689281,-18144448,-5311424.5,-5140268,-13419827,13788645,-148225.9375,0.0005263473722152412,0.0006065537454560399,0.0006076234858483076,-0.0001677478430792689,0.0001723580644465983,-1.852824198067538e-06,0.125
2,7,1.21132481098175,0.7886751294136047,0.7886751294136047,300.6682739257812,-397.3282470703125,0.0004346727801021188,-0.005257795099169016,15948750,-22272446,-22272446,15826712,15826712,-1206711.125,0.0007394298445433378,0.000500547350384295,0.000500547350384295,0.0001978338987100869,0.0001978338987100869,-1.508388868387556e-05,0.125
2,8,1.78867518901825,0.7886751294136047,0.7886751294136047,400,-397.3282470703125,0.0001164702262030914,-0.001408821903169155,-20567016,-4014562.25,-4014562.25,13966997,13966997,-233804.21875,0.0005112063372507691,0.0006146591622382402,0.0006146591622382402,0.0001745874615153298,0.0001745874615153298,-2.922552766904118e-06,0.125
