step,contact_area_m2,normal_force_x_n,normal_force_y_n,normal_force_z_n,normal_moment_x_nm,normal_moment_y_nm,normal_moment_z_nm,center_x_m,center_y_m,center_z_m
BASE,1.200000047683716,-12000,1.001975520782683e-12,-1.065250752191327e-12,-1.390682816300448e-12,-6000,11400,0.9998999834060669,0.949999988079071,0.5
SHIFT,1.200000047683716,-12000,1.001975520782683e-12,-1.065250752191327e-12,-1.497207848151494e-12,-6000,12600,0.9998999834060669,1.049999952316284,0.5
OPEN,0,0,0,0,0,0,0,0,0,0
RECLOSE,1.200000047683716,-12000,1.001975520782683e-12,-1.065250752191327e-12,-1.497207848151494e-12,-6000,12600,0.9998999834060669,1.049999952316284,0.5
RETURN,1.200000047683716,-12000,1.001975520782683e-12,-1.065250752191327e-12,-1.390682816300448e-12,-6000,11400,0.9998999834060669,0.949999988079071,0.5
