id,x,y,z,ux,uy,uz
0,0.800000011920929,0,0,0,0,0
1,1,0,0,0,0,0
2,0.8660253882408142,0.5,0,0,0,0
3,0.6928203105926514,0.4000000059604645,0,0,0,0
4,0.800000011920929,0,1,0,0,0
5,1,0,1,0,0,0
6,0.8660253882408142,0.5,1,0,0,0
7,0.6928203105926514,0.4000000059604645,1,0,0,0
8,0.5,0.8660253882408142,0,0,0,0
9,0.4000000059604645,0.6928203105926514,0,0,0,0
10,0.5,0.8660253882408142,1,0,0,0
11,0.4000000059604645,0.6928203105926514,1,0,0,0
12,6.123234262925839e-17,1,0,0,0,0
13,4.898587079468426e-17,0.800000011920929,0,0,0,0
14,6.123234262925839e-17,1,1,0,0,0
15,4.898587079468426e-17,0.800000011920929,1,0,0,0
16,1.004999995231628,0,0,-0.015,0,0
17,1.200000047683716,0,0,-0.015,0,0
18,1.039230465888977,0.6000000238418579,0,-0.01299038105676658,-0.007499999999999998,0
19,0.8703555464744568,0.5024999976158142,0,-0.01299038105676658,-0.007499999999999998,0
20,1.004999995231628,0,1,-0.015,0,0
21,1.200000047683716,0,1,-0.015,0,0
22,1.039230465888977,0.6000000238418579,1,-0.01299038105676658,-0.007499999999999998,0
23,0.8703555464744568,0.5024999976158142,1,-0.01299038105676658,-0.007499999999999998,0
24,0.6000000238418579,1.039230465888977,0,-0.007500000000000001,-0.01299038105676658,0
25,0.5024999976158142,0.8703555464744568,0,-0.007500000000000001,-0.01299038105676658,0
26,0.6000000238418579,1.039230465888977,1,-0.007500000000000001,-0.01299038105676658,0
27,0.5024999976158142,0.8703555464744568,1,-0.007500000000000001,-0.01299038105676658,0
28,7.347881115511007e-17,1.200000047683716,0,0,-0.015,0
29,6.153849871757652e-17,1.004999995231628,0,0,-0.015,0
30,7.347881115511007e-17,1.200000047683716,1,0,-0.015,0
31,6.153849871757652e-17,1.004999995231628,1,0,-0.015,0
