node,temperature_k,reaction_heat_flux_w
1,400,47.61904907226562
2,352.3809509277344,0
3,352.3809509277344,0
4,400,47.61904907226562
5,400,47.61904907226562
6,352.3809509277344,0
7,352.3809509277344,0
8,400,47.61904907226562
9,347.6190490722656,0
10,300,-47.61904907226562
11,300,-47.61904907226562
12,347.6190490722656,0
13,347.6190490722656,0
14,300,-47.61904907226562
15,300,-47.61904907226562
16,347.6190490722656,0
