diagnostic_only_geometry_replay
node,fuelsim_gap,replayed_gap,abaqus_gap,fuelsim_pressure,replayed_pressure,abaqus_pressure,direct_nodal_gap,direct_projected
57,-3.425437921833e-06,-3.433053680659e-06,-3.430476523129e-06,3.015488687838e+05,3.022778689418e+05,3.017728501494e+05,9.384855199760e-06,1
60,-2.893322301310e-06,-2.894951276301e-06,-2.894262259260e-06,2.499941383175e+05,2.501740885653e+05,2.500337433305e+05,nan,0
61,-3.388945035187e-06,-3.395982693729e-06,-3.393466219649e-06,2.980118859241e+05,2.986834135030e+05,2.981860970283e+05,nan,0
64,-2.904863576593e-06,-2.906764563117e-06,-2.906026893642e-06,2.511606862495e+05,2.513679087457e+05,2.512239206369e+05,2.431264036432e-06,1
68,-2.174466805903e-06,-2.179767350038e-06,-2.172367844363e-06,2.811470487204e+05,2.816188552534e+05,2.812616850146e+05,nan,0
69,-2.814908986848e-06,-2.820677632239e-06,-2.814547698614e-06,2.997803773539e+05,3.004806412224e+05,2.999794735889e+05,1.848631234762e-05,1
72,-2.679048105059e-06,-2.681783756526e-06,-2.680693786770e-06,2.505774122835e+05,2.507709986555e+05,2.506288319837e+05,-6.016755761002e-08,1
76,-2.165360174371e-06,-2.170517797609e-06,-2.163173326351e-06,2.800117739572e+05,2.804686135020e+05,2.801136787772e+05,nan,0
78,-4.267414206722e-06,-4.267824922302e-06,-4.267825821842e-06,3.605585523106e+05,3.605390012324e+05,3.605492354129e+05,4.164052173717e-06,1
80,-4.258933693483e-06,-4.259292081263e-06,-4.259293152597e-06,3.596230359891e+05,3.595980568719e+05,3.596091190390e+05,4.173097717944e-06,1
83,-1.715940045757e-06,-1.715068783950e-06,-1.715069778741e-06,2.999008001443e+05,2.999636683989e+05,2.999331010970e+05,nan,0
85,-3.560318529954e-06,-3.560383370605e-06,-3.560386069309e-06,3.600907941499e+05,3.600685290522e+05,3.600791772260e+05,1.052952116313e-05,1
88,-1.714846476848e-06,-1.714079199140e-06,-1.714080277542e-06,2.999663732488e+05,3.000400304312e+05,3.000078498933e+05,nan,0
