step,input_local_node,input_label,side,output_local_node,output_label,closure_delta_m,copen_m,cpress_pa,cnormf_x_n,cnormf_y_n,cnormf_z_n
BASE,0,0,primary,21,49,0,,9701.299998152859,-1656.615508971719,-1.352154237367063e-13,6.580670958099244e-14
BASE,0,0,primary,22,52,0,,10000,-1665.136432290662,7.390219033457557e-15,4.382499705331137e-14
BASE,0,0,primary,23,54,0,,9701.29999815287,-1656.615508971721,7.120399300931831e-15,1.735280775730615e-13
S01_PLUS,1,57,secondary,1,57,1e-06,-0.0001004051580465416,10026.17851903337,-998.0283237001449,2.099866803470405e-13,-1.549778822816546e-13
S01_PLUS,1,57,secondary,2,60,1e-06,-9.99476755397904e-05,9990.658877411195,-1665.782837809227,1.986896939830676e-14,1.043379222834682e-13
S01_PLUS,1,57,secondary,3,64,1e-06,-9.998246458543321e-05,9996.893834233757,-1665.550326032018,1.432278834867999e-13,-3.708699269409677e-14
S01_PLUS,1,57,secondary,4,61,1e-06,-9.991279256687242e-05,9983.033893010394,-999.3034984835232,-8.584061273332407e-14,-2.202662565459606e-13
S01_PLUS,1,57,secondary,5,68,1e-06,-9.991293940452879e-05,10006.65624614766,3997.296885715935,-6.850556234498001e-14,6.384836763682256e-13
S01_PLUS,1,57,secondary,6,72,1e-06,-9.992014530776676e-05,9993.776355822476,6662.326768110056,1.162988586126801e-13,5.634873141299646e-13
S01_PLUS,1,57,secondary,7,76,1e-06,-9.98669088458339e-05,9989.869346390286,3996.10535152797,-2.024116453759473e-13,5.110324619281525e-13
S01_PLUS,1,57,secondary,8,69,1e-06,-9.991293940475083e-05,10004.60620602188,3997.094700215821,-1.386157345884283e-13,3.561503619989798e-13
S01_PLUS,1,57,secondary,9,78,1e-06,-0.0001,10000.91371940956,-666.4726155597933,-4.845454934795226e-14,4.978365752365166e-14
S01_PLUS,1,57,secondary,10,80,1e-06,-0.0001,10000.33390198218,-666.4793393247535,-2.025999884706298e-13,-4.271920709402173e-14
S01_PLUS,1,57,secondary,11,83,1e-06,-9.999999999999999e-05,9997.548750484999,2666.184816618356,2.623692344302921e-13,-7.191141063849955e-14
S01_PLUS,1,57,secondary,12,85,1e-06,-0.0001,10000.62381069587,2666.387002119769,7.573000466559019e-14,-9.380089722761515e-14
S01_PLUS,1,57,secondary,13,88,1e-06,-9.999999999999999e-05,9998.70838533976,2666.221416580274,1.609552100274061e-13,-2.144777995672396e-13
S01_PLUS,1,57,primary,1,2,1e-06,,10040.51580465416,426.5340251883832,-1.097416416330548e-13,3.323776538216142e-14
S01_PLUS,1,57,primary,2,3,1e-06,,4278.471597691992,857.7960773218522,-2.669263941118844e-14,7.276923400364788e-14
S01_PLUS,1,57,primary,3,7,1e-06,,4280.704536386629,857.9319480460832,-3.205828144810089e-14,7.596826948685846e-14
S01_PLUS,1,57,primary,4,6,1e-06,,10040.51580465416,427.2049644432285,5.272910894334555e-14,7.409724493461881e-14
S01_PLUS,1,57,primary,5,10,1e-06,,7560.911934699434,-1687.26898374932,-9.771402431588612e-14,-1.503702575595188e-13
S01_PLUS,1,57,primary,6,15,1e-06,,4279.588067039311,-3317.345690490326,1.656462077338409e-13,-4.094084857350495e-13
S01_PLUS,1,57,primary,7,18,1e-06,,7541.862165595159,-1685.949416273338,1.780550205194907e-13,-7.242758425298324e-14
S01_PLUS,1,57,primary,8,14,1e-06,,10040.51580465416,-1676.326509019199,3.13969172048632e-14,-5.821992128584288e-14
S01_PLUS,1,57,primary,9,21,1e-06,,10040.51580465416,844.7283471855749,-5.321329348166338e-15,1.273154133076341e-14
S01_PLUS,1,57,primary,10,23,1e-06,,10040.51580465416,844.7277326143278,-3.96443500705635e-14,7.965494642117313e-14
S01_PLUS,1,57,primary,11,25,1e-06,,7544.654660444797,-1692.763329918314,9.075611597701585e-14,-3.047920179583367e-13
S01_PLUS,1,57,primary,12,28,1e-06,,10040.51580465416,-3323.70451864089,3.702695528926158e-15,-4.630406156899929e-13
S01_PLUS,1,57,primary,13,30,1e-06,,7545.37758375519,-1692.55941058072,6.645741497284119e-14,-2.704318765389714e-13
S01_PLUS,1,57,primary,14,33,1e-06,,9301.80951515834,825.397170062855,1.511514430257845e-14,4.630099356039783e-14
S01_PLUS,1,57,primary,15,35,1e-06,,9301.635505312155,825.3870600115994,6.207089986981248e-15,6.221187382615434e-14
S01_PLUS,1,57,primary,16,37,1e-06,,9697.025652782226,-1664.517306395618,-1.283511350351418e-13,-2.966042051222737e-13
S01_PLUS,1,57,primary,17,40,1e-06,,9301.722510235248,-3343.349485009815,-2.615469185054013e-13,6.100522312464432e-14
S01_PLUS,1,57,primary,18,42,1e-06,,9698.410791422415,-1664.632249080239,-1.882455445770603e-13,-1.479395835757902e-13
S01_PLUS,1,57,primary,19,45,1e-06,,10040.51580465416,413.4276103299065,2.190351403799455e-14,-4.479922174981545e-14
S01_PLUS,1,57,primary,20,47,1e-06,,10040.51580465416,413.4277107106902,1.36051689287801e-13,2.885326871537535e-14
S01_PLUS,1,57,primary,21,49,1e-06,,9700.741280404614,-1656.531535290446,-1.35218777056859e-13,6.58102048577828e-14
S01_PLUS,1,57,primary,22,52,1e-06,,10040.51580465416,-1665.082267285415,7.387969347929933e-15,4.382702068491155e-14
S01_PLUS,1,57,primary,23,54,1e-06,,9700.744805719482,-1656.531944159582,7.117005450959996e-15,1.735312349567309e-13
S01_MINUS,1,57,secondary,1,57,-1e-06,-9.959484195345839e-05,9973.82148096385,-1001.971676295578,2.089968894555475e-13,-1.553493075601487e-13
S01_MINUS,1,57,secondary,2,60,-1e-06,-0.0001000523244595435,10009.34112254255,-1667.550495522111,2.031424426120097e-14,1.04258832403249e-13
S01_MINUS,1,57,secondary,3,64,-1e-06,-0.0001000175354141226,10003.10616573108,-1667.78300729892,1.43505629996652e-13,-3.737476935882177e-14
S01_MINUS,1,57,secondary,4,61,-1e-06,-0.0001000872074331276,10013.3091153278,-1000.696501512775,-8.565803458050771e-14,-2.206599485135674e-13
S01_MINUS,1,57,secondary,5,68,-1e-06,-0.0001000870605950271,9993.343753825506,4002.703114271497,-6.990551462930927e-14,6.395622155186772e-13
S01_MINUS,1,57,secondary,6,72,-1e-06,-0.0001000798546922332,10006.22364413681,6671.006565209534,1.158113648431639e-13,5.646608869555034e-13
S01_MINUS,1,57,secondary,7,76,-1e-06,-0.000100133091153278,10010.13065357548,4003.894648455284,-2.030825843975069e-13,5.121619188173452e-13
S01_MINUS,1,57,secondary,8,69,-1e-06,-0.0001000870605952491,9995.39379396609,4002.905299773509,-1.401351489935606e-13,3.568665996364806e-13
S01_MINUS,1,57,secondary,9,78,-1e-06,-0.0001,9999.086280596912,-666.8607177733036,-4.844666021887244e-14,4.975029617329217e-14
S01_MINUS,1,57,secondary,10,80,-1e-06,-0.0001,9999.666098020594,-666.8539940083858,-2.025907663332418e-13,-4.274145528504623e-14
S01_MINUS,1,57,secondary,11,83,-1e-06,-9.999999999999999e-05,10002.45124949742,2667.148516714121,2.623594137493351e-13,-7.179989603118656e-14
S01_MINUS,1,57,secondary,12,85,-1e-06,-0.0001,9999.376189308754,2666.946331213409,7.571194597116165e-14,-9.377037464049416e-14
S01_MINUS,1,57,secondary,13,88,-1e-06,-9.999999999999999e-05,10001.29161465006,2667.111916752438,1.609381332847636e-13,-2.144267780334994e-13
S01_MINUS,1,57,primary,1,2,-1e-06,,10013.3091153278,428.2670753719916,-1.093170635569255e-13,3.33434174223044e-14
S01_MINUS,1,57,primary,2,3,-1e-06,,4290.374674380191,859.2434562540245,-2.69439199205831e-14,7.294099561828813e-14
S01_MINUS,1,57,primary,3,7,-1e-06,,4288.141735679552,859.1075855310614,-3.231042222589608e-14,7.608632243437274e-14
S01_MINUS,1,57,primary,4,6,-1e-06,,10013.3091153278,427.5961361171526,5.250579992450532e-14,7.423538906165766e-14
S01_MINUS,1,57,primary,5,10,-1e-06,,7540.022181896942,-1687.653694604969,-9.600095835436438e-14,-1.505887062122978e-13
S01_MINUS,1,57,primary,6,15,-1e-06,,4289.258205029871,-3323.320024544546,1.663278002243205e-13,-4.102780056696322e-13
S01_MINUS,1,57,primary,7,18,-1e-06,,7559.071950998115,-1688.973262079531,1.786382187048679e-13,-7.264502152796689e-14
S01_MINUS,1,57,primary,8,14,-1e-06,,10013.3091153278,-1677.968256014301,3.248623358658021e-14,-5.832381004046669e-14
S01_MINUS,1,57,primary,9,21,-1e-06,,10013.3091153278,846.0701047601279,-5.40270406800013e-15,1.283897659808129e-14
S01_MINUS,1,57,primary,10,23,-1e-06,,10013.3091153278,846.0707193315667,-3.971229070419898e-14,7.983957266073769e-14
S01_MINUS,1,57,primary,11,25,-1e-06,,7556.279456129419,-1695.815671681778,9.093740692496228e-14,-3.053401385175409e-13
S01_MINUS,1,57,primary,12,28,-1e-06,,10013.3091153278,-3329.019287396753,3.908741556549402e-15,-4.638162908408611e-13
S01_MINUS,1,57,primary,13,30,-1e-06,,7555.55653282208,-1696.019591017332,6.664854215189355e-14,-2.7102941902735e-13
S01_MINUS,1,57,primary,14,33,-1e-06,,9304.257142889435,826.0169773697701,1.510359671910194e-14,4.636226696966386e-14
S01_MINUS,1,57,primary,15,35,-1e-06,,9304.43115273448,826.0270874209521,6.196992646038408e-15,6.228668659785737e-14
S01_MINUS,1,57,primary,16,37,-1e-06,,9705.574343497006,-1666.399360537024,-1.283831607566787e-13,-2.969859027047106e-13
S01_MINUS,1,57,primary,17,40,-1e-06,,9304.344147811957,-3345.360030944941,-2.615034059071993e-13,6.083802117775867e-14
S01_MINUS,1,57,primary,18,42,-1e-06,,9704.18920486557,-1666.284417853092,-1.88251667778401e-13,-1.481134785872676e-13
S01_MINUS,1,57,primary,19,45,-1e-06,,10013.3091153278,413.5018543262225,2.190050081113875e-14,-4.479626398187374e-14
S01_MINUS,1,57,primary,20,47,-1e-06,,10013.3091153278,413.5017539454387,1.360486561601277e-13,2.88560605721565e-14
S01_MINUS,1,57,primary,21,49,-1e-06,,9701.858715901102,-1656.699482652993,-1.352120704165536e-13,6.580321430420209e-14
S01_MINUS,1,57,primary,22,52,-1e-06,,10013.3091153278,-1665.19059729591,7.392468718985128e-15,4.382297342171122e-14
S01_MINUS,1,57,primary,23,54,-1e-06,,9701.855190586266,-1656.69907378386,7.123793150903617e-15,1.735249201893921e-13
S02_PLUS,2,60,secondary,1,57,1e-06,-9.991279256687242e-05,9983.256494340174,-999.1161711414193,2.092691474698469e-13,-1.55124049980792e-13
S02_PLUS,2,60,secondary,2,60,1e-06,-0.0001004051580462085,10026.78766528251,-1663.057120991549,2.039711436833165e-14,1.052954687902981e-13
S02_PLUS,2,60,secondary,3,64,1e-06,-9.991279256665035e-05,9983.256494323985,-1665.193618571398,1.432042307174757e-13,-3.739090505081495e-14
S02_PLUS,2,60,secondary,4,61,1e-06,-9.997077430942548e-05,9994.760045589068,-998.8836593646984,-8.575552892006134e-14,-2.20326611665645e-13
S02_PLUS,2,60,secondary,5,68,1e-06,-9.991293940452879e-05,10005.02207981019,3996.815035668053,-6.896200383529635e-14,6.389730778830028e-13
S02_PLUS,2,60,secondary,6,72,1e-06,-9.991293940475083e-05,10005.02207980325,6661.358392783687,1.162009031164586e-13,5.644618594817816e-13
S02_PLUS,2,60,secondary,7,76,1e-06,-9.986690884583389e-05,9989.00826995352,3995.660101441887,-2.025481948216506e-13,5.110309405628657e-13
S02_PLUS,2,60,secondary,8,69,1e-06,-9.986690884627794e-05,9989.008269964621,3995.660101444925,-1.392426105059135e-13,3.561589507174136e-13
S02_PLUS,2,60,secondary,9,78,1e-06,-9.991279256687243e-05,9983.256494344801,-666.0774474289203,-4.840120804687342e-14,4.962689032787699e-14
S02_PLUS,2,60,secondary,10,80,1e-06,-9.99707743094255e-05,9994.760045601095,-665.9224395776025,-2.024904769773165e-13,-4.276919940905599e-14
S02_PLUS,2,60,secondary,11,83,1e-06,-9.991293940475083e-05,10005.02207981481,2664.543357115796,2.622107104269653e-13,-7.142058053075359e-14
S02_PLUS,2,60,secondary,12,85,1e-06,-9.986690884627796e-05,9989.008269972948,2663.773400966762,7.556119312555153e-14,-9.370306907674948e-14
S02_PLUS,2,60,secondary,13,88,1e-06,-9.986690884627795e-05,9989.008269965547,2663.773400966529,1.606714702086225e-13,-2.141832041434231e-13
S02_PLUS,2,60,primary,1,2,1e-06,,10040.51580462086,426.8917726594692,-1.094404113699024e-13,3.324447543592461e-14
S02_PLUS,2,60,primary,2,3,1e-06,,4276.995436382975,857.576410571578,-2.677995357854936e-14,7.279474787846632e-14
S02_PLUS,2,60,primary,3,7,1e-06,,4279.976741745451,857.6694699689241,-3.215598158308828e-14,7.597098917180625e-14
S02_PLUS,2,60,primary,4,6,1e-06,,10040.51580462086,426.8134825164194,5.260418378713853e-14,7.410611928604327e-14
S02_PLUS,2,60,primary,5,10,1e-06,,7542.474410529385,-1685.615576944961,-9.677705164158388e-14,-1.50328637354309e-13
S02_PLUS,2,60,primary,6,15,1e-06,,4278.486089064213,-3316.660816709453,1.658124895301236e-13,-4.094151831574901e-13
S02_PLUS,2,60,primary,7,18,1e-06,,7544.358457825648,-1685.606614619947,1.782465319381416e-13,-7.238217810494866e-14
S02_PLUS,2,60,primary,8,14,1e-06,,10040.51580462086,-1675.247393225195,3.193772731280214e-14,-5.817900437750224e-14
S02_PLUS,2,60,primary,9,21,1e-06,,10040.51580462086,844.0549871436856,-5.442561789963848e-15,1.245895870337349e-14
S02_PLUS,2,60,primary,10,23,1e-06,,10040.51580462086,844.9635872615351,-3.957441208312414e-14,7.992436706362911e-14
S02_PLUS,2,60,primary,11,25,1e-06,,7558.554596625243,-1692.979747212292,9.069417841906689e-14,-3.049947311634765e-13
S02_PLUS,2,60,primary,12,28,1e-06,,10040.51580462086,-3324.203537813693,3.596387861823777e-15,-4.636493501570188e-13
S02_PLUS,2,60,primary,13,30,1e-06,,7541.103453172795,-1692.434680875846,6.646687299522482e-14,-2.704342982980172e-13
S02_PLUS,2,60,primary,14,33,1e-06,,9294.075778674167,824.9660798413832,1.510405415194061e-14,4.640333261180254e-14
S02_PLUS,2,60,primary,15,35,1e-06,,9292.314953389181,825.2148533648012,6.238739225385853e-15,6.234007916151933e-14
S02_PLUS,2,60,primary,16,37,1e-06,,9711.260405688601,-1666.138800190108,-1.286560153371576e-13,-2.979286254067084e-13
S02_PLUS,2,60,primary,17,40,1e-06,,9293.195366031674,-3341.434735577077,-2.613321565279048e-13,6.048548925601229e-14
S02_PLUS,2,60,primary,18,42,1e-06,,9689.758608206936,-1664.234713475939,-1.88134403337781e-13,-1.48138713970637e-13
S02_PLUS,2,60,primary,19,45,1e-06,,10040.51580462086,412.9792134475643,2.185619501238224e-14,-4.476412233885463e-14
S02_PLUS,2,60,primary,20,47,1e-06,,10040.51580462086,412.9108748142484,1.359750265656437e-13,2.885860219158308e-14
S02_PLUS,2,60,primary,21,49,1e-06,,9692.004266868084,-1654.841992538279,-1.350721942492073e-13,6.576379514414928e-14
S02_PLUS,2,60,primary,22,52,1e-06,,10040.51580462086,-1663.245411869958,7.466066087059677e-15,4.384030731355275e-14
S02_PLUS,2,60,primary,23,54,1e-06,,9692.324176113165,-1654.730043848913,7.251942285388893e-15,1.73394013205095e-13
S02_MINUS,2,60,secondary,1,57,-1e-06,-0.0001000872074331276,10013.30911537221,-1000.883828854303,2.097144223327411e-13,-1.552031398610113e-13
S02_MINUS,2,60,secondary,2,60,-1e-06,-9.959484195312535e-05,9973.212334671231,-1670.276212339788,1.978609929117608e-14,1.033012858964192e-13
S02_MINUS,2,60,secondary,3,64,-1e-06,-0.0001000872074329055,10013.30911537221,-1668.139714759539,1.435292827659761e-13,-3.707085700210359e-14
S02_MINUS,2,60,secondary,4,61,-1e-06,-0.0001000292256905745,10005.23995438965,-1001.1163406316,-8.57431183937704e-14,-2.20599593393883e-13
S02_MINUS,2,60,secondary,5,68,-1e-06,-0.0001000870605950271,9994.977920162981,4003.18496431938,-6.944907313899296e-14,6.390728140039002e-13
S02_MINUS,2,60,secondary,6,72,-1e-06,-0.0001000870605952491,9994.977920156043,6671.9749405359,1.159093203393854e-13,5.636863416036864e-13
S02_MINUS,2,60,secondary,7,76,-1e-06,-0.000100133091153278,10010.99173001225,4004.339898541366,-2.029460349518036e-13,5.12163440182632e-13
S02_MINUS,2,60,secondary,8,69,-1e-06,-0.000100133091153722,10010.99173002335,4004.339898544404,-1.395082730760753e-13,3.568580109180467e-13
S02_MINUS,2,60,secondary,9,78,-1e-06,-0.0001000872074331276,10013.30911537221,-667.2558859041765,-4.850000151995129e-14,4.990706336906682e-14
S02_MINUS,2,60,secondary,10,80,-1e-06,-0.0001000292256905745,10005.23995440168,-667.4108937555368,-2.02700277826555e-13,-4.269146297001193e-14
S02_MINUS,2,60,secondary,11,83,-1e-06,-0.0001000870605952491,9994.977920167608,2668.789976216681,2.625179377526619e-13,-7.229072613893254e-14
S02_MINUS,2,60,secondary,12,85,-1e-06,-0.000100133091153722,10010.99173003168,2669.559932366415,7.588075751120034e-14,-9.386820279135986e-14
S02_MINUS,2,60,secondary,13,88,-1e-06,-0.000100133091153722,10010.99173002428,2669.559932366182,1.612218731035472e-13,-2.147213734573161e-13
S02_MINUS,2,60,primary,1,2,-1e-06,,10013.30911537221,427.9093279009056,-1.096182938200779e-13,3.33367073685412e-14
S02_MINUS,2,60,primary,2,3,-1e-06,,4291.850835689208,859.4631230042986,-2.685660575322217e-14,7.291548174346968e-14
S02_MINUS,2,60,primary,3,7,-1e-06,,4288.869530320728,859.3700636082208,-3.221272209090869e-14,7.608360274942496e-14
S02_MINUS,2,60,primary,4,6,-1e-06,,10013.30911537221,427.9876180439618,5.263072508071232e-14,7.422651471023318e-14
S02_MINUS,2,60,primary,5,10,-1e-06,,7558.459706066991,-1689.307101409328,-9.693793102866664e-14,-1.506303264175075e-13
S02_MINUS,2,60,primary,6,15,-1e-06,,4290.360183004968,-3324.004898325419,1.661615184280378e-13,-4.102713082471918e-13
S02_MINUS,2,60,primary,7,18,-1e-06,,7556.575658767623,-1689.316063732921,1.78446707286217e-13,-7.269042767600149e-14
S02_MINUS,2,60,primary,8,14,-1e-06,,10013.30911537221,-1679.047371808306,3.194542347864128e-14,-5.836472694880734e-14
S02_MINUS,2,60,primary,9,21,-1e-06,,10013.30911537221,846.743464802017,-5.281471626202628e-15,1.31115592254712e-14
S02_MINUS,2,60,primary,10,23,-1e-06,,10013.30911537221,845.8348646843594,-3.978222869163833e-14,7.957015201828173e-14
S02_MINUS,2,60,primary,11,25,-1e-06,,7542.379519948974,-1695.599254387801,9.099934448291125e-14,-3.051374253124012e-13
S02_MINUS,2,60,primary,12,28,-1e-06,,10013.30911537221,-3328.520268223949,4.015049223651809e-15,-4.632075563738352e-13
S02_MINUS,2,60,primary,13,30,-1e-06,,7559.830663404475,-1696.144320722205,6.663908412950992e-14,-2.710269972683042e-13
S02_MINUS,2,60,primary,14,33,-1e-06,,9311.990879373607,826.4480675912421,1.511468686973978e-14,4.625992791825913e-14
S02_MINUS,2,60,primary,15,35,-1e-06,,9313.751704657456,826.1992940677502,6.165343407633798e-15,6.215848126249241e-14
S02_MINUS,2,60,primary,16,37,-1e-06,,9691.339590590631,-1664.777866742533,-1.28078280454663e-13,-2.956614824202759e-13
S02_MINUS,2,60,primary,17,40,-1e-06,,9312.871292015532,-3347.274780377678,-2.617181678846957e-13,6.135775504639079e-14
S02_MINUS,2,60,primary,18,42,-1e-06,,9712.841388081046,-1666.681953457391,-1.883628090176803e-13,-1.479143481924208e-13
S02_MINUS,2,60,primary,19,45,-1e-06,,10013.30911537221,413.9502512085647,2.194781983675107e-14,-4.483136339283457e-14
S02_MINUS,2,60,primary,20,47,-1e-06,,10013.30911537221,414.0185898418806,1.36125318882285e-13,2.885072709594877e-14
S02_MINUS,2,60,primary,21,49,-1e-06,,9710.595729437628,-1658.389025405158,-1.353586532242052e-13,6.584962401783564e-14
S02_MINUS,2,60,primary,22,52,-1e-06,,10013.30911537221,-1667.027452711367,7.314371979855365e-15,4.380968679307006e-14
S02_MINUS,2,60,primary,23,54,-1e-06,,9710.275820192577,-1658.500974094529,6.988856316474719e-15,1.73662141941028e-13
S03_PLUS,3,64,secondary,1,57,1e-06,-9.997077430942548e-05,9994.760045598319,-998.8836593644107,2.093529116463679e-13,-1.550197065885392e-13
S03_PLUS,3,64,secondary,2,60,1e-06,-9.991279256653936e-05,9983.256494318435,-1665.193618571598,1.992908080550368e-14,1.041383533190029e-13
S03_PLUS,3,64,secondary,3,64,1e-06,-0.0001004051580463195,10026.78766528806,-1663.057120991349,1.438370394416247e-13,-3.673201533609354e-14
S03_PLUS,3,64,secondary,4,61,1e-06,-9.991279256687242e-05,9983.256494330923,-999.1161711417071,-8.578585025636368e-14,-2.202903387596041e-13
S03_PLUS,3,64,secondary,5,68,1e-06,-9.986690884605592e-05,9989.008269957221,3995.660101443977,-6.896314604810564e-14,6.383236965891094e-13
S03_PLUS,3,64,secondary,6,72,1e-06,-9.991293940475083e-05,10005.02207980325,6661.358392783687,1.164773900257399e-13,5.638963491333177e-13
S03_PLUS,3,64,secondary,7,76,1e-06,-9.991293940430679e-05,10005.02207980649,3996.815035665963,-2.02214080493898e-13,5.113263484178227e-13
S03_PLUS,3,64,secondary,8,69,1e-06,-9.986690884627794e-05,9989.008269964621,3995.660101444926,-1.390917459616226e-13,3.561439985194037e-13
S03_PLUS,3,64,secondary,9,78,1e-06,-9.997077430942549e-05,9994.760045602947,-665.9224395775813,-4.8415382406765e-14,4.97149631254593e-14
S03_PLUS,3,64,secondary,10,80,1e-06,-9.991279256687244e-05,9983.256494342953,-666.0774474289416,-2.024478213942552e-13,-4.273935885336775e-14
S03_PLUS,3,64,secondary,11,83,1e-06,-9.986690884627796e-05,9989.008269961847,2663.773400966412,2.620578312658044e-13,-7.172570736709927e-14
S03_PLUS,3,64,secondary,12,85,1e-06,-9.986690884627799e-05,9989.00826997295,2663.773400966762,7.562661721037852e-14,-9.370378087379382e-14
S03_PLUS,3,64,secondary,13,88,1e-06,-9.991293940475085e-05,10005.02207981851,2664.543357115913,1.609846539908515e-13,-2.141185260033172e-13
S03_PLUS,3,64,primary,1,2,1e-06,,10040.51580463195,426.8134825164163,-1.094627399511836e-13,3.324926325868723e-14
S03_PLUS,3,64,primary,2,3,1e-06,,4279.976741748454,857.6694699682901,-2.677214303039799e-14,7.27984038591104e-14
S03_PLUS,3,64,primary,3,7,1e-06,,4276.995436379973,857.5764105722121,-3.210869000539541e-14,7.594485203995381e-14
S03_PLUS,3,64,primary,4,6,1e-06,,10040.51580463195,426.8917726594724,5.259752501616429e-14,7.409144819705606e-14
S03_PLUS,3,64,primary,5,10,1e-06,,7544.3584578272,-1685.606614620658,-9.691270679800449e-14,-1.503005625741358e-13
S03_PLUS,3,64,primary,6,15,1e-06,,4278.486089064214,-3316.660816709453,1.657615442942183e-13,-4.094030980714857e-13
S03_PLUS,3,64,primary,7,18,1e-06,,7542.474410527833,-1685.615576944251,1.781603186222644e-13,-7.245814710783253e-14
S03_PLUS,3,64,primary,8,14,1e-06,,10040.51580463195,-1675.247393225195,3.183189600238624e-14,-5.820301701238354e-14
S03_PLUS,3,64,primary,9,21,1e-06,,10040.51580463195,844.963587261439,-5.221512848995238e-15,1.287312304582977e-14
S03_PLUS,3,64,primary,10,23,1e-06,,10040.51580463195,844.0549871437817,-3.980897103843805e-14,7.953676444816885e-14
S03_PLUS,3,64,primary,11,25,1e-06,,7541.103453171267,-1692.434680876867,9.072577327446646e-14,-3.047227797926111e-13
S03_PLUS,3,64,primary,12,28,1e-06,,10040.51580463195,-3324.203537813694,3.409385110601034e-15,-4.63247196435877e-13
