step,input_local_node,input_label,side,output_local_node,output_label,closure_delta_m,copen_m,cpress_pa,cnormf_x_n,cnormf_y_n,cnormf_z_n
BASE,0,0,secondary,1,57,0,-9.999999999999999e-05,9999.99999999861,-999.9999999978613,2.09491784901294e-13,-1.551635949209016e-13
BASE,0,0,secondary,2,60,0,-9.999999999966694e-05,9999.99999997687,-1666.666666665668,2.009160682975387e-14,1.042983773433586e-13
BASE,0,0,secondary,3,64,0,-9.999999999977791e-05,9999.999999982414,-1666.666666665469,1.433667567417259e-13,-3.723088102645929e-14
BASE,0,0,secondary,4,61,0,-9.999999999999999e-05,9999.999999989361,-999.999999998149,-8.574932365691589e-14,-2.20463102529764e-13
BASE,0,0,secondary,5,68,0,-9.999999999977795e-05,9999.999999986583,3999.999999993716,-6.920553848714465e-14,6.390229459434515e-13
BASE,0,0,secondary,6,72,0,-9.999999999999999e-05,9999.999999979642,6666.666666659793,1.160551117279219e-13,5.640741005427339e-13
BASE,0,0,secondary,7,76,0,-9.999999999955593e-05,9999.999999982881,3999.999999991627,-2.027471148867271e-13,5.115971903727488e-13
BASE,0,0,secondary,8,69,0,-9.999999999999998e-05,9999.999999993986,3999.999999994664,-1.393754417909945e-13,3.565084808177301e-13
BASE,0,0,secondary,9,78,0,-0.0001,10000,-666.6666666665483,-4.845060478341232e-14,4.976697684847191e-14
BASE,0,0,secondary,10,80,0,-0.0001,10000,-666.6666666665694,-2.025953774019358e-13,-4.273033118953399e-14
BASE,0,0,secondary,11,83,0,-9.999999999999995e-05,9999.999999991209,2666.666666666239,2.623643240898136e-13,-7.185565333484303e-14
BASE,0,0,secondary,12,85,0,-9.999999999999999e-05,10000,2666.666666666589,7.572097531837584e-14,-9.378563593405465e-14
BASE,0,0,secondary,13,88,0,-9.999999999999999e-05,9999.999999994907,2666.666666666355,1.609466716560847e-13,-2.144522888003695e-13
BASE,0,0,primary,1,2,0,,10000,427.4005502801874,-1.095293525949901e-13,3.32905914022329e-14
BASE,0,0,primary,2,3,0,,4284.423136036091,858.5197667879384,-2.681827966588576e-14,7.285511481096801e-14
BASE,0,0,primary,3,7,0,,4284.42313603309,858.5197667885724,-3.218435183699849e-14,7.602729596061558e-14
BASE,0,0,primary,4,6,0,,10000,427.4005502801905,5.261745443392544e-14,7.416631699813823e-14
BASE,0,0,primary,5,10,0,,7550.467058298186,-1687.461339177144,-9.685749133512523e-14,-1.504794818859083e-13
BASE,0,0,primary,6,15,0,,4284.42313603459,-3320.332857517436,1.659870039790807e-13,-4.098432457023409e-13
BASE,0,0,primary,7,18,0,,7550.467058296636,-1687.461339176434,1.783466196121793e-13,-7.253630289047505e-14
BASE,0,0,primary,8,14,0,,10000,-1677.14738251675,3.19415753957217e-14,-5.827186566315478e-14
BASE,0,0,primary,9,21,0,,10000,845.3992259728514,-5.362016708083248e-15,1.278525896442239e-14
BASE,0,0,primary,10,23,0,,10000,845.3992259729473,-3.967832038738124e-14,7.974725954095542e-14
BASE,0,0,primary,11,25,0,,7550.467058287107,-1694.289500800046,9.084676145098906e-14,-3.050660782379388e-13
BASE,0,0,primary,12,28,0,,10000,-3326.361903018822,3.805718542737844e-15,-4.634284532654269e-13
BASE,0,0,primary,13,30,0,,7550.467058288633,-1694.289500799026,6.655297856236736e-14,-2.707306477831607e-13
BASE,0,0,primary,14,33,0,,9303.033329023889,825.7070737163123,1.510937051084018e-14,4.633163026503083e-14
BASE,0,0,primary,15,35,0,,9303.033329023314,825.7070737162759,6.202041316509817e-15,6.224928021200584e-14
BASE,0,0,primary,16,37,0,,9701.299998139615,-1665.45833346632,-1.283671478959102e-13,-2.96795053913492e-13
BASE,0,0,primary,17,40,0,,9303.033329023601,-3344.354757977378,-2.615251622063002e-13,6.092162215120149e-14
BASE,0,0,primary,18,42,0,,9701.299998143988,-1665.458333466665,-1.882486061777306e-13,-1.480265310815288e-13
BASE,0,0,primary,19,45,0,,10000,413.4647323280644,2.190200742456664e-14,-4.479774286584458e-14
BASE,0,0,primary,20,47,0,,10000,413.4647323280644,1.360501727239644e-13,2.885466464376594e-14
