input_local_node,output_local_node,node,temperature_k,reaction_heat_flux_w
1,1,1,301,1371384.75
1,2,2,300,0.618593692779541
1,3,3,300,-0.1408408433198929
1,4,4,300,0.06570244580507278
1,5,5,300,-0.8336650133132935
1,6,6,300,-0.5353976488113403
1,7,7,300,-0.4477216601371765
1,8,8,300,-0.6888593435287476
2,1,9,300,0.618593692779541
2,2,10,301,1416101.5
2,3,11,300,0.163621574640274
2,4,12,300,-0.122350811958313
2,5,13,300,-0.7112128138542175
2,6,14,300,-0.8624706268310547
2,7,15,300,-0.7089197039604187
2,8,16,300,-0.4478344321250916
3,1,17,300,-0.1408408433198929
3,2,18,300,0.163621574640274
3,3,19,301,1217432.875
3,4,20,300,0.822253942489624
3,5,21,300,-0.6213117837905884
3,6,22,300,-1.02075731754303
3,7,23,300,-1.053766131401062
3,8,24,300,-0.6178542375564575
4,1,25,300,0.06570244580507278
4,2,26,300,-0.122350811958313
4,3,27,300,0.822253942489624
4,4,28,301,1420423.5
4,5,29,300,-0.9730714559555054
4,6,30,300,-0.5722692012786865
4,7,31,300,-0.6953586935997009
4,8,32,300,-0.8002751469612122
5,1,33,300,-0.8336650133132935
5,2,34,300,-0.7112128138542175
5,3,35,300,-0.6213117837905884
5,4,36,300,-0.9730714559555054
5,5,37,301,1600588.75
5,6,38,300,0.6407096982002258
5,7,39,300,-0.06595046073198318
5,8,40,300,0.2981520593166351
6,1,41,300,-0.5353976488113403
6,2,42,300,-0.8624706268310547
6,3,43,300,-1.02075731754303
6,4,44,300,-0.5722692012786865
6,5,45,300,0.6407096982002258
6,6,46,301,1688800.25
6,7,47,300,0.4116720259189606
6,8,48,300,0.01341905351728201
7,1,49,300,-0.4477216601371765
7,2,50,300,-0.7089197039604187
7,3,51,300,-1.053766131401062
7,4,52,300,-0.6953586935997009
7,5,53,300,-0.06595046073198318
7,6,54,300,0.4116720259189606
7,7,55,301,1469704.875
7,8,56,300,0.5297282934188843
8,1,57,300,-0.6888593435287476
8,2,58,300,-0.4478344321250916
8,3,59,300,-0.6178542375564575
8,4,60,300,-0.8002751469612122
8,5,61,300,0.2981520593166351
8,6,62,300,0.01341905351728201
8,7,63,300,0.5297282934188843
8,8,64,301,1628604.625
