step,input_kind,input_index,delta_m,output_index,output_label,copen_m,cpress_pa,cnormf_x_n,cnormf_y_n,cnormf_z_n
S7_MINUS,secondary,7,-1e-06,1,7,-0.01464843749999994,125579.6484526205,-7848.728028288783,0,0
S7_MINUS,secondary,7,-1e-06,2,11,-0.01123046874999997,110626.1621547199,-13828.27026934,0,0
S7_MINUS,secondary,7,-1e-06,3,15,-0.0126953125,110931.3867338647,-6933.211670866543,0,0
S7_MINUS,secondary,7,-1e-06,4,23,-0.00878896875000329,92619.73641150034,-11577.46707328228,0.003344109730415732,-0.00697438071280628
S7_MINUS,secondary,7,-1e-06,5,25,-0.009033187524183559,89873.91629028536,-22468.47913616073,0.003522185961455944,-0.003573048545341955
S7_MINUS,secondary,7,-1e-06,6,27,-0.006835937500000023,77972.35361020009,-9746.544201275012,0,0
S7_MINUS,secondary,7,-1e-06,7,33,-0.006835375000015877,76137.83240059132,-4758.614560950875,0.006173119391816879,-0.006223981966314159
S7_MINUS,secondary,7,-1e-06,8,35,-0.008300687657538603,79497.17871598594,-9937.147451992887,0.006720067810798003,-0.003293247155656227
S7_MINUS,secondary,7,-1e-06,9,37,-0.004882812499999989,61492.7346854996,-3843.295917843724,0,0
S8_PLUS,secondary,8,1e-06,1,7,-0.01464843749999994,125579.9512044861,-7848.746950280381,0,0
S8_PLUS,secondary,8,1e-06,2,11,-0.01123046874999997,110626.4161134548,-13828.30201418186,0,0
S8_PLUS,secondary,8,1e-06,3,15,-0.0126953125,110931.5137044857,-6933.219606530354,0,0
S8_PLUS,secondary,8,1e-06,4,23,-0.008789093750000834,92621.55292852124,-11577.69413790461,0.003344286336431362,0.003573158422054308
S8_PLUS,secondary,8,1e-06,5,25,-0.009033296927175829,89875.44004653901,-22468.86017057803,0.0002034504912713058,0.01443259399827
S8_PLUS,secondary,8,1e-06,6,27,-0.006835968750000452,77973.11546435812,-9746.639460626158,-0.002733934783449874,0.003166257395897315
S8_PLUS,secondary,8,1e-06,7,33,-0.006836125000009074,76143.58472090229,-4758.974080917262,0.006173661825400844,0.003293479119182158
S8_PLUS,secondary,8,1e-06,8,35,-0.008301344094073413,79502.00411156274,-9937.75079483075,0.0004069009535497521,0.01369544436089946
S8_PLUS,secondary,8,1e-06,9,37,-0.004883000000006531,61495.14741601231,-3843.446756977534,-0.004952958729569291,0.002886578107382902
S8_MINUS,secondary,8,-1e-06,1,7,-0.01464843749999994,125579.7167642891,-7848.732297768067,0,0
S8_MINUS,secondary,8,-1e-06,2,11,-0.01123046874999997,110626.0252928314,-13828.25316160393,0,0
S8_MINUS,secondary,8,-1e-06,3,15,-0.0126953125,110931.279264284,-6933.204954017751,0,0
S8_MINUS,secondary,8,-1e-06,4,23,-0.008789031250007141,92620.14629042114,-11577.51826440302,-0.003344149536335123,-0.003573041121943061
S8_MINUS,secondary,8,-1e-06,5,25,-0.009033109322841668,89873.09510989313,-22468.27361849539,-0.0002034505510224241,-0.0144319486435191
S8_MINUS,secondary,8,-1e-06,6,27,-0.0068359062500043,77971.7087545454,-9746.463566706059,0.002733797963752289,-0.003166140064724252
S8_MINUS,secondary,8,-1e-06,7,33,-0.006835750000009129,76139.13012318437,-4758.695596669832,-0.006173241657335401,-0.00329323149246715
S8_MINUS,secondary,8,-1e-06,8,35,-0.008300218405951177,79494.5779198986,-9936.821958745148,-0.0004069011302372433,-0.01369408200437125
S8_MINUS,secondary,8,-1e-06,9,37,-0.004882625000006463,61490.69242799611,-3843.168233186573,0.004952538502899066,-0.002886330420919877
S9_PLUS,secondary,9,1e-06,1,7,-0.01464843749999994,125579.8437325097,-7848.740233281858,0,0
S9_PLUS,secondary,9,1e-06,2,11,-0.01123046874999997,110626.2792444066,-13828.28490555083,0,0
S9_PLUS,secondary,9,1e-06,3,15,-0.0126953125,110931.5820137706,-6933.223875860663,0,0
S9_PLUS,secondary,9,1e-06,4,23,-0.008789062500000038,92620.90809235573,-11577.61351154447,0,0
S9_PLUS,secondary,9,1e-06,5,25,-0.009033218722016042,89874.61882193151,-22468.65461009307,0.003318837766660898,0.003166249939412865
S9_PLUS,secondary,9,1e-06,6,27,-0.006836031250005684,77973.5252553547,-9746.690629301456,0.002733974568097957,0.005550541969207417
S9_PLUS,secondary,9,1e-06,7,33,-0.006835937500000012,76141.54260146309,-4758.846412591443,0,0
S9_PLUS,secondary,9,1e-06,8,35,-0.008300874813441552,79499.40311994829,-9937.425221206813,0.006313481075172623,0.002886562379833426
S9_PLUS,secondary,9,1e-06,9,37,-0.004883375000011326,61496.44469167636,-3843.527749605767,0.00495308093112636,0.004800493118425248
S9_MINUS,secondary,9,-1e-06,1,7,-0.01464843749999994,125579.8242362393,-7848.739014764958,0,0
S9_MINUS,secondary,9,-1e-06,2,11,-0.01123046874999997,110626.1621618442,-13828.27027023053,0,0
S9_MINUS,secondary,9,-1e-06,3,15,-0.0126953125,110931.2109549931,-6933.200684687072,0,0
S9_MINUS,secondary,9,-1e-06,4,23,-0.008789062500000038,92620.79112639239,-11577.59889079905,0,0
S9_MINUS,secondary,9,-1e-06,5,25,-0.009033187527983388,89873.91633432444,-22468.47917896534,-0.003318735475907702,-0.003166147521328909
S9_MINUS,secondary,9,-1e-06,6,27,-0.006835843750001924,77971.29896352343,-9746.412398025135,-0.002733758179630876,-0.005550227073186383
S9_MINUS,secondary,9,-1e-06,7,33,-0.006835937500000012,76141.17224227998,-4758.823265142499,0,0
S9_MINUS,secondary,9,-1e-06,8,35,-0.008300687686554783,79497.17891136617,-9937.147532663232,-0.00631316687387679,-0.002886346148619197
S9_MINUS,secondary,9,-1e-06,9,37,-0.00488225000001137,61489.39515254489,-3843.087240540673,-0.004952416301728676,-0.004799828332791179
