step,id,x,y,z,ux,uy,uz,rfx,rfy,rfz
1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,99999.99999999997,-2999.999999999997,-3999.999999999997
1,2,1,4,0,0,0,0,99999.99999999996,-2999.999999999996,-3999.999999999997
1,3,0,4,0,0,0,0,0,0,0
1,4,0,0,1,0,0,0,0,0,0
1,5,1,0,1,0,0,0,99999.99999999997,-3000,-3999.999999999998
1,6,1,4,1,0,0,0,99999.99999999997,-2999.999999999996,-3999.999999999998
1,7,0,4,1,0,0,0,0,0,0
1,8,1,0,0,-0.0002,1.5e-06,2e-06,-99999.99999999997,2999.999999999998,3999.999999999998
1,9,2,0,0,-0.0002,1.5e-06,2e-06,0,0,0
1,10,2,4,0,-0.0002,1.5e-06,2e-06,0,0,0
1,11,1,4,0,-0.0002,1.5e-06,2e-06,-99999.99999999996,2999.999999999996,3999.999999999998
1,12,1,0,1,-0.0002,1.5e-06,2e-06,-99999.99999999997,3000,3999.999999999998
1,13,2,0,1,-0.0002,1.5e-06,2e-06,0,0,0
1,14,2,4,1,-0.0002,1.5e-06,2e-06,0,0,0
1,15,1,4,1,-0.0002,1.5e-06,2e-06,-99999.99999999997,2999.999999999996,3999.999999999998
2,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0,99999.99999999997,-8999.999999999991,-11999.99999999999
2,2,1,4,0,0,0,0,99999.99999999997,-8999.999999999991,-11999.99999999999
2,3,0,4,0,0,0,0,0,0,0
2,4,0,0,1,0,0,0,0,0,0
2,5,1,0,1,0,0,0,99999.99999999999,-8999.999999999996,-12000
2,6,1,4,1,0,0,0,99999.99999999997,-8999.999999999995,-11999.99999999999
2,7,0,4,1,0,0,0,0,0,0
2,8,1,0,0,-0.0002,4.5e-06,6e-06,-99999.99999999997,8999.999999999993,11999.99999999999
2,9,2,0,0,-0.0002,4.5e-06,6e-06,0,0,0
2,10,2,4,0,-0.0002,4.5e-06,6e-06,0,0,0
2,11,1,4,0,-0.0002,4.5e-06,6e-06,-99999.99999999997,8999.999999999991,11999.99999999999
2,12,1,0,1,-0.0002,4.5e-06,6e-06,-99999.99999999999,8999.999999999996,12000
2,13,2,0,1,-0.0002,4.5e-06,6e-06,0,0,0
2,14,2,4,1,-0.0002,4.5e-06,6e-06,0,0,0
2,15,1,4,1,-0.0002,4.5e-06,6e-06,-99999.99999999997,8999.999999999995,11999.99999999999
3,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,0,0,99999.99999999997,-12000,-16000
3,2,1,4,0,0,0,0,99999.99999999997,-12000,-16000
3,3,0,4,0,0,0,0,0,0,0
3,4,0,0,1,0,0,0,0,0,0
3,5,1,0,1,0,0,0,99999.99999999999,-12000,-16000
3,6,1,4,1,0,0,0,99999.99999999997,-12000,-16000
3,7,0,4,1,0,0,0,0,0,0
3,8,1,0,0,-0.0002,9e-06,1.2e-05,-99999.99999999997,12000,16000
3,9,2,0,0,-0.0002,9e-06,1.2e-05,0,0,0
3,10,2,4,0,-0.0002,9e-06,1.2e-05,0,0,0
3,11,1,4,0,-0.0002,9e-06,1.2e-05,-99999.99999999997,12000,16000
3,12,1,0,1,-0.0002,9e-06,1.2e-05,-99999.99999999999,12000,16000
3,13,2,0,1,-0.0002,9e-06,1.2e-05,0,0,0
3,14,2,4,1,-0.0002,9e-06,1.2e-05,0,0,0
3,15,1,4,1,-0.0002,9e-06,1.2e-05,-99999.99999999997,12000,16000
