contact_pressure,contact_opening,shear_1,shear_2,normal_force_x,normal_force_y,normal_force_z,shear_force_x,shear_force_y,shear_force_z,heat_flow,id,x,y,z,current_x,current_y,current_z,generated,slip_1,slip_2,tangent_1_x,tangent_1_y,tangent_1_z,tangent_2_x,tangent_2_y,tangent_2_z
46149.09325777954,-4.476898434307547e-06,5.064055301204832e-06,79.39524323807095,0.01038238519900077,8.185921558656606e-13,-1.330866214490019e-05,5.144551880033936e-08,-1.474674530135397e-08,2.117103222444517e-05,114197.1022809062,25,0.0041200000000000004,0,0,0.0041200000000000004,-5.3971174786412806e-37,0.00059679554544883769,0,4.850368242950974e-12,0.0003758790244483385,1.357532194587348e-15,-1,-4.29118844019326e-16,0.002036151991890561,-1.441716584059524e-15,0.9999979270403845
46149.08402827661,-4.476897535488552e-06,6.627172259668037e-06,92.29816805655297,0.009592070911906669,0.0039731651747072,-1.330864185572065e-05,5.317280884476231e-08,6.063302335757246e-09,2.117102666213668e-05,114196.7068899917,26,0.0038063836739465019,0.00157665574134417,0,0.0038063836739465019,0.00157665574134417,0.00059679555155740815,0,3.86189847049728e-12,0.0003758790304646087,0.3826834330057671,-0.9238795322459095,-5.365287955612764e-09,0.001881150717239147,0.0007791923741055376,0.999997927063463
46149.07499688474,-4.476896758923311e-06,7.164261793211059e-06,92.2981499937692,0.007341451116084055,0.007341451114915129,-1.33086167570177e-05,4.680510508781209e-08,2.595006715303131e-08,2.117102106714584e-05,114196.2523339384,27,0.0029132799384885763,0.0029132799384885759,0,0.0029132799384885763,0.0029132799384885759,0.00059679555732711611,0,4.840721996170371e-12,0.0003758790357931853,0.7071067811865486,-0.7071067811865466,3.606018643346288e-16,0.001439762271415959,0.00143976227141514,0.9999979270824534
46149.08400319095,-4.476897532327781e-06,7.704305931332403e-06,92.29816800638153,0.00397316517230528,0.00959207090612468,-1.330864184920444e-05,3.331172272205457e-08,4.188612689953381e-08,2.117102664957319e-05,114196.7068899648,28,0.0015766557413441702,0.0038063836739465019,0,0.0015766557413441702,0.0038063836739465019,0.00059679555155740707,0,5.821945813077199e-12,0.0003758790304232967,0.9238795322459102,-0.3826834330057655,5.365287831736425e-09,0.000779192374108879,0.001881150717242114,0.999997927063463
46149.09325747892,-4.476898434265281e-06,7.16803389707618e-06,92.29818651495754,-8.184899698109038e-13,0.01038238519900256,-1.330866214491058e-05,1.474674531829578e-08,5.144551885087581e-08,2.117103222444883e-05,114197.1022809476,29,2.522772406243548e-19,0.0041200000000000004,0,2.522772406243548e-19,0.0041200000000000004,0.00059679554544883769,0,4.847816573686601e-12,0.0003758790243826652,1,1.577706554228485e-15,-2.304323715197291e-16,1.250129110729945e-15,0.002036151991890531,0.9999979270403843
46149.08402807301,-4.476897535458892e-06,6.631839764681541e-06,92.29816805614576,-0.003973165174708033,0.009592070911906492,-1.330864185572385e-05,-6.063302311051975e-09,5.317280887407418e-08,2.117102666213701e-05,114196.7068900153,48,-0.0015766557413441698,0.0038063836739465019,0,-0.0015766557413441698,0.0038063836739465019,0.00059679555155740815,0,3.874332697162979e-12,0.000375879030426494,0.9238795322459096,0.3826834330057673,-5.365287909415469e-09,-0.0007791923741056705,0.001881150717239265,0.999997927063463
46149.07499680534,-4.476896758912768e-06,7.169617912496556e-06,92.29814999361039,-0.007341451114917822,0.007341451116084956,-1.33086167570224e-05,-2.59500671068239e-08,4.680510513077631e-08,2.117102106715102e-05,114196.2523339507,49,-0.0029132799384885759,0.0029132799384885763,0,-0.0029132799384885759,0.0029132799384885763,0.00059679555732711611,0,4.855071972696885e-12,0.0003758790357927945,0.7071067811865466,0.7071067811865483,3.699973629021184e-16,-0.00143976227141507,0.001439762271415857,0.9999979270824534
46149.08400341789,-4.476897532358307e-06,7.706870333938161e-06,92.29816800683543,-0.009592070906122104,0.003973165172303047,-1.330864184919419e-05,-4.188612684669842e-08,3.331172281976562e-08,2.117102664956658e-05,114196.7068899271,50,-0.0038063836739465019,0.0015766557413441705,0,-0.0038063836739465019,0.0015766557413441705,0.00059679555155740707,0,5.836052362070236e-12,0.0003758790304679763,0.382683433005765,0.9238795322459104,5.365287976863513e-09,-0.001881150717242098,0.000779192374108715,0.999997927063463
46149.09325777735,-4.476898434307234e-06,5.243283060394505e-06,79.39524323284006,-0.01038238519900026,-8.185717999698722e-13,-1.330866214489929e-05,-5.144551880032525e-08,1.474674530146287e-08,2.117103222444412e-05,114197.1022809057,51,-0.0041200000000000004,5.0455448124870961e-19,0,-0.0041200000000000004,5.0455448124870961e-19,0.00059679554544883769,0,4.850368370163098e-12,0.0003758790244483383,-1.517315872726917e-15,0.9999999999999999,-2.815860505894785e-16,-0.002036151991890494,1.303512542614744e-15,0.9999979270403843
46149.08402827656,-4.476897535488236e-06,-7.294643017846644e-06,-102.3941208711262,-0.009592070911906508,-0.003973165174707255,-1.330864185571963e-05,-5.317280884480629e-08,-6.063302335662195e-09,2.117102666213642e-05,114196.7068899908,70,-0.0038063836739465019,-0.0015766557413441696,0,-0.0038063836739465019,-0.0015766557413441696,0.00059679555155740815,0,-3.861898675287921e-12,-0.0003758790304646085,0.3826834330057668,-0.9238795322459097,5.365287965973986e-09,0.001881150717239129,0.0007791923741055223,-0.999997927063463
