stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,0.001,1,1,0.5006,0.5,0.4997028280332249,600,227109024.6133536,75270887.05276729,1.937150955200195e-06,-6.776661375499202e-26,-6.778675807921174e-26,-1.086644393022985e-34,0.001199280575482187,0,-0.0005945206259200135,0,0,0,0.001022638792487614,3.569089834380313e-05,-0.0004535698674991717,-8.809659788148965e-37,-8.812278550297528e-37,-1.41263771092988e-45,0.0001765655665242557,-3.567552765288343e-05,-0.0001408900388713724,-1.89449903471057e-37,-1.895062194069943e-37,-3.037848048743689e-46,0.0001867228706015412,7.607272908561579e-08,-1.537069091980269e-08,-6.070203816581313e-08,-8.162390587108011e-41,-8.16481694181697e-41,-1.308847450635842e-49,8.044897218058761e-08,1.00060494285373
2,0.002,1,1,0.5012,0.5,0.499135436794069,600,233599951.3038964,99650736.69559911,0.00044994056224823,-1.800711949811208e-24,-1.801913278477632e-24,5.726041731899771e-36,0.002397124599721451,0,-0.001730623076466533,0,0,0,0.001018523651475408,0.0001478537565214761,-0.0004998760319969933,-2.34092553475457e-35,-2.342487262020921e-35,7.443854251469708e-47,0.001378448835198569,-0.0001478313167771789,-0.001230617518421391,-3.550705226777911e-35,-3.552456344914366e-35,-1.916084655537165e-46,0.001514530158887956,1.518260811518676e-07,-2.24397442973178e-08,-1.293863368545499e-07,-2.303131303168515e-39,-2.302006463377127e-39,-1.238763242660798e-49,1.641391737229078e-07,1.00066672368475
3,0.003,1,1,0.5018,0.5,0.4985536702662904,600,237388884.0110232,110953145.9360196,0.0004027187824249268,-5.733910725320214e-25,-5.736311656746349e-25,6.971785211566323e-36,0.003593535510130218,0,-0.002896851292449544,0,0,0,0.001020514701150484,0.0001986824036629587,-0.0005225130449185511,-7.454083942916277e-36,-7.457205153770253e-36,9.063320775036219e-47,0.002572791558763166,-0.0001986566874120537,-0.002374134871351112,-4.680794505896033e-35,-4.683526432197421e-35,-5.445533216784178e-47,0.002865250879116794,2.288205383899533e-07,-2.571625090530156e-08,-2.031042874846519e-07,-3.032008197784187e-39,-3.03169013210794e-39,-1.150403211653484e-49,2.512146895546337e-07,1.000696926958498
4,0.004,1,1,0.5024,0.5,0.4979672215286686,600,240654895.7368909,116681494.4347614,0.0003738701343536377,-1.353199316805438e-25,-1.351563747001347e-25,5.002043200246351e-09,0.004788516731797094,0,-0.004073843787341768,0,0,0,0.001028252237031751,0.0002224251285679103,-0.0005360045852556094,-1.759159111847069e-36,-1.757032871101752e-36,6.502656160320257e-20,0.003759955887986228,-0.0002223978281729485,-0.00353755805981328,-4.945987303549009e-35,-4.949069342873825e-35,9.806833117658761e-20,0.004222570861482963,3.080349003011847e-07,-2.730039496196285e-08,-2.807345053392219e-07,-3.209172502857586e-39,-3.209187555162646e-39,6.548918513721286e-24,3.417828052449575e-07,1.000714928384012
5,0.005,1,1,0.503,0.5,0.4973797132951291,600,243820039.4696882,120039025.4749618,0.0003605931997299194,-8.980323513298607e-27,-8.736600965789894e-27,3.335486601204315e-10,0.005982071677547469,0,-0.005254353378950586,0,0,0,0.001039041659135457,0.000234465068169736,-0.0005457885974151722,-1.167442056728818e-37,-1.135758125552685e-37,4.336132581565603e-21,0.004942639313911847,-0.0002344369335048071,-0.004708202380407041,-4.963908247474654e-35,-4.967012230942878e-35,1.04327375635881e-19,0.005581318606370335,3.89990929063029e-07,-2.813466492906962e-08,-3.618562641339595e-07,-3.221678410931175e-39,-3.221744091971669e-39,6.981364457057635e-24,4.359395058623922e-07,1.0007279831498
6,0.006,1,1,0.5036,0.5,0.4967925739340157,600,246963304.6206147,122380626.8363789,0.0003547221422195435,1.702930601521414e-26,1.723308689184276e-26,-1.557238569597492e-09,0.007174203748000453,0,-0.00643551571251715,0,0,0,0.001051245582847973,0.0002414581772504405,-0.0005540158971837167,2.213809781977837e-37,2.240301295939557e-37,-2.024410140476739e-20,0.006122482338786119,-0.0002414295389283712,-0.005881052799857749,-4.931805658103978e-35,-4.934821803586231e-35,7.441481709794525e-20,0.006939664798443815,4.7497160911363e-07,-2.863832206963145e-08,-4.463332870439987e-07,-3.198585842164294e-39,-3.19859609552009e-39,4.826226564511375e-24,5.337772526752359e-07,1.000738960932681
7,0.007,1,1,0.5042,0.5,0.4962063887697409,600,250099412.3460397,124282737.9556194,0.000352129340171814,1.648636676203706e-26,1.662918978892914e-26,-6.366022763325601e-10,0.008364916331627672,0,-0.007616151854913662,0,0,0,0.001064072954796242,0.000246264571258509,-0.0005615732254507283,2.143227679064817e-37,2.161794672560789e-37,-8.275829592323281e-21,0.007300279233260411,-0.0002462355731295963,-0.007054043660130816,-4.901006135270536e-35,-4.903927312257877e-35,6.244744123079695e-20,0.008296901250671203,5.631481315813552e-07,-2.899812891299567e-08,-5.341500026683596e-07,-3.175535817836736e-39,-3.175473650946706e-39,3.930281268696752e-24,6.353876331112118e-07,1.000749044870813
8,0.008,1,1,0.5048,0.5,0.4956214022082294,600,253231132.1495395,125992600.4534196,0.0003505349159240723,1.162162712075674e-26,1.171632562140585e-26,1.457368498049551e-09,0.009554212804811711,0,-0.008795765160098858,0,0,0,0.001077166760067043,0.000250116304042263,-0.0005688355989026864,1.510811525698376e-37,1.523122330782761e-37,1.894579047464416e-20,0.008476390267754094,-0.0002500870062987025,-0.008226303261455393,-4.879566258100702e-35,-4.88241738286039e-35,8.984667201925403e-20,0.009652739139676354,6.546413700691619e-07,-2.929774356086995e-08,-6.253436265082921e-07,-3.158857862658969e-39,-3.15873744859701e-39,6.060425057304337e-24,7.408623678015094e-07,1.000758735338857
9,0.009000000000000001,1,1,0.5054,0.5,0.4950377163535773,600,256358997.069097,127617126.2278447,0.0003498941659927368,7.841448100760757e-27,7.906710036106053e-27,6.052596406868217e-10,0.01074209653190203,0,-0.009974144102475118,0,0,0,0.001090369296003193,0.0002535471355350534,-0.0005759641849436638,1.019388253098899e-37,1.027872304693787e-37,7.868375328928683e-21,0.009650976410601841,-0.0002535175605966768,-0.009397458850005166,-4.865298480960087e-35,-4.868106995809129e-35,1.009231921626762e-19,0.01100705810463355,7.495499946082921e-07,-2.957493837694207e-08,-7.199750562313504e-07,-3.147327247969329e-39,-3.147167766615865e-39,6.955427350574569e-24,8.502937202263843e-07,1.000768247380392
10,0.01,1,1,0.506,0.5,0.4944553727669262,600,259483116.7211531,129202914.2888279,0.0003491789102554321,5.742561108242538e-27,1.748204704645829e-09,3.746811039470297e-09,0.01192857086527381,0,-0.01115119861713182,0,0,0,0.001103611212172,0.000256789896361886,-0.0005830290465132254,7.465329440715302e-38,2.272666116039578e-20,4.870854351311386e-20,0.01082411027551316,-0.0002567600494141459,-0.01056735022609902,-4.85528156347329e-35,3.260374885473248e-20,1.695788888299652e-19,0.01235980824431056,8.47963100756907e-07,-2.984694774068455e-08,-8.181161530162228e-07,-3.138878924150178e-39,2.728135865916901e-24,1.270657643971086e-23,9.637746681987207e-07,1.000777674480259
