side,id,x,y,z,force_x,force_y,force_z,gap,pressure
secondary,16,0.9899999999999999,3.202885362855357e-33,0,11953.33210032739,3202.885683143737,0,-0.00965925826289084,96592.58262890823
secondary,19,0.8573651497465943,0.4949999999999998,3.643980012372597e-33,20703.77851751097,11953.33210032734,0,-0.009659258262890788,96592.58262890788
secondary,20,0.9899999999999999,3.202885362855357e-33,1,11953.33210032737,3202.885683143733,0,-0.009659258262890815,96592.5826289081
secondary,23,0.8573651497465943,0.4949999999999998,1,20703.77851751096,11953.33210032733,0,-0.009659258262890774,96592.58262890782
secondary,25,0.4950000000000001,0.8573651497465942,3.64398001237261e-33,11953.33210032732,20703.77851751094,0,-0.009659258262890756,96592.58262890772
secondary,27,0.4950000000000001,0.8573651497465942,1,11953.33210032734,20703.77851751096,0,-0.009659258262890776,96592.5826289078
secondary,29,6.062001655779399e-17,0.9899999999999999,6.842277657836021e-49,3202.885683143734,11953.33210032737,0,-0.009659258262890821,96592.58262890809
secondary,31,6.062001655779399e-17,0.9899999999999999,1,3202.885683143737,11953.33210032738,0,-0.009659258262890831,96592.58262890815
primary,1,1,-3.202885362855201e-33,-4.688235889945792e-62,11953.33210032739,3202.885683143736,0,0,0
primary,2,0.8660254037844387,0.4999999999999999,1.059111534920231e-61,20703.77851751097,11953.33210032734,0,0,0
primary,5,1,-3.202885362855197e-33,1,11953.33210032737,3202.885683143733,0,0,0
primary,6,0.8660254037844387,0.4999999999999999,1,20703.77851751096,11953.33210032734,0,0,0
primary,8,0.5000000000000001,0.8660254037844386,1.059111534920247e-61,11953.33210032732,20703.77851751093,0,0,0
primary,10,0.5000000000000001,0.8660254037844386,1,11953.33210032733,20703.77851751095,0,0,0
primary,12,6.123233995736766e-17,1,-4.688235889942375e-62,3202.885683143735,11953.33210032738,0,0,0
primary,14,6.123233995736766e-17,1,1,3202.885683143737,11953.33210032738,0,0,0
