time_s,node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
1,1,300,1.875952864881811e-31,3.976994165362435e-32,3.976990288781812e-32,-250000.3337205235,-4187826.68210447,-1191525.852733014,-1191525.651265589
1,2,300.3332277702738,0.0001420940108573077,-4.102713068459521e-30,-4.102712792971569e-30,0,0,1924628.161948792,1924627.990035919
1,3,360,0.0005705212840976494,1.811955120976596e-30,1.811954939824537e-30,48350064.16626135,0,479875.0470502966,479875.0174890968
1,4,300,5.062139067054691e-34,-8.138587437456001e-05,9.120631593223729e-32,-249900.3337656542,-17920.72689349127,0,-2232277.185621146
1,5,300.3330923370282,-1.928803416802307e-05,0.0001641485791758817,-3.824211674802296e-30,0,0,0,717230.8954428649
1,6,360,0.0003825847540796835,0.0005331929776925997,1.825152975510215e-30,48350464.16620699,0,0,302069.9980148132
1,7,300,5.061255157741719e-34,9.120634825240304e-32,-8.138587758652264e-05,-250500.3334985671,-17921.21021836392,-2232277.396252822,0
1,8,300.3338938426,-1.928803340249478e-05,-3.82421144720527e-30,0.0001641485802636103,0,0,717231.0645065196,0
1,9,360,0.0003825847783660677,1.825153150365477e-30,0.000533192985429477,48349564.16652881,0,302070.0395608195,0
1,10,300,-1.895519373326147e-31,-9.661222624724668e-05,-9.661223040313459e-05,-250400.3335436991,4223668.511951635,0,0
1,11,300.3337584051587,-0.0001851570719476426,0.0001562928452133449,0.0001562928480469551,0,0,0,0
1,12,360,0.0001905157476127367,0.0005337614164489227,0.0005337614103908013,48349964.16647442,0,0,0
2,1,300,-6.071982915466802e-38,1.28466783004698e-37,1.281328528088405e-37,-500001.0017170402,-8751931.129640738,-2459587.881464146,-2459586.518347617
2,2,300.9990980781909,0.0003005453232076345,-8.745029083896555e-30,-8.745026860959849e-30,0,0,3982472.82238626,3982471.664588084
2,3,420,0.001201116600655572,2.423377611101572e-36,2.423255035671327e-36,51700136.99814273,0,1029404.524038851,1029404.318720555
2,4,300,-2.577637014293712e-37,-0.0001685589455691734,1.818838231105e-37,-499901.001808621,-37308.71912639961,0,-4645236.566224052
2,5,300.9988230834128,-3.840834615021957e-05,0.0003450190871346358,-8.254538647518667e-30,0,0,0,1437934.650429186
2,6,420,0.000804573371565609,0.001123164228002688,2.424002505087779e-36,51700836.99801356,0,0,655012.4416193699
2,7,300,-2.578995313297999e-37,1.82414021254797e-37,-0.0001685589667241005,-501251.0009416012,-37312.00581993517,-4645238.002558867,0
2,8,301.0014265250967,-3.840834043227712e-05,-8.254537220289197e-30,0.0003450190940414174,0,0,1437935.804839035,0
2,9,420,0.0008045735411044882,2.423798666607965e-36,0.001123164283236069,51698886.99923624,0,655012.7235446605,0
2,10,300,-4.770442762262501e-37,-0.0002005051517851683,-0.0002005051801726464,-501151.0010331885,8826551.855637634,0,0
2,11,301.0011515116786,-0.0003867460578407689,0.0003284374142309029,0.0003284374334580055,0,0,0,0
2,12,420,0.0003993477896476591,0.001124265957107434,0.001124265914473818,51699586.99910706,0,0,0
3,1,300,2.245266047116707e-37,-2.329773787636729e-37,-4.08487550674541e-38,-1.002825898563245,-8751940.456873572,-2459590.917148425,-2459588.609363835
3,2,300.9991886252267,0.0003005507770117515,-8.745039320974967e-30,-8.745035806111653e-30,0,0,3982477.594115024,3982475.633939232
3,3,420,0.001201128328123957,-3.767584440026299e-36,-3.674926111613237e-36,136.996929716019,0,1029405.374402931,1029405.026794074
3,4,300,5.37789598135213e-37,-0.0001685540236822369,-8.745290846981979e-38,98.99703596200332,-37307.39976138342,0,-4645241.230412565
3,5,300.9987738257723,-3.840331989563123e-05,0.0003450246509276386,-8.254547523260595e-30,0,0,0,1437936.188998614
3,6,420,0.0008045845856964894,0.001123170759923821,-3.671020286625241e-36,836.9967349131292,0,0,655012.9900788245
3,7,300,6.295751650445875e-37,-3.903184907970597e-37,-0.0001685540594979547,-1251.001496157955,-37312.9642050235,-4645243.662156573,0
3,8,301.0031815031456,-3.840331021491421e-05,-8.25454496771539e-30,0.0003450246626209451,0,0,1437938.143437464,0
3,9,420,0.0008045848727293147,-3.577413347426956e-36,0.001123170853435125,-1113.001195106903,0,655013.4673836719,0
3,10,300,9.458214911158256e-37,-0.0002005002653807236,-0.0002005003134413137,-1151.001634312705,8826560.82083476,0,0
3,11,301.0027666601307,-0.0003867414727671683,0.0003284429437658896,0.0003284429763177847,0,0,0,0
3,12,420,0.0003993585878064101,0.001124272536290242,0.001124272464110628,-413.0013899294656,0,0,0
4,1,300,3.645416007667089e-31,6.374071589741118e-32,6.374065124408955e-32,-1.002751968344824,-2049558.537129905,-586673.9610261086,-586673.4005082193
4,2,300.9992080169797,7.437193459489111e-05,-1.865492038547417e-30,-1.865491223438114e-30,0,0,946470.5684196125,946470.0890084701
4,3,330,0.0002887319729061641,3.656239278899714e-30,3.656239308590374e-30,-70199969.87781073,0,231768.9339362505,231768.8528295012
4,4,300,1.3043201098731e-33,-3.476768867168007e-05,1.681445295822534e-31,98.99706333382915,-8785.524763030771,0,-1094819.484346679
4,5,300.998653413904,-4.427592529465817e-06,8.53597844874119e-05,-1.65445579636371e-30,0,0,0,358171.6099909749
4,6,330,0.0001971716859508744,0.0002652134340561692,3.687753925335073e-30,-70199719.87801433,0,0,145082.3170817299
4,7,300,1.304611314441624e-33,1.68144619340156e-31,-3.476769772189437e-05,-1.001422230527405,-8786.865738457225,-1094820.068203052,0
4,8,301.0032008859181,-4.427590528597108e-06,-1.654455408923585e-30,8.535978760485223e-05,0,0,358172.0783529391,0
4,9,330,0.0001971717524972892,3.687753935905223e-30,0.0002652134550136516,-70199969.87634455,0,145082.4325761478,0
4,10,300,-3.6715122742965e-31,-4.220595939819445e-05,-4.220597091054361e-05,98.99839304744772,2067130.928772538,0,0
4,11,301.0026462134423,-8.542243538639321e-05,8.153325395183076e-05,8.153326182969346e-05,0,0,0,0
4,12,330,0.0001035940837376101,0.0002655011613768173,0.0002655011448455003,-70199719.87654825,0,0,0
