increment,time_s,allie_j,allse_j,allpd_j,allcd_j,allfd_j,allwk_j,boundary_heat_rate_w
1,0.01999999955296516,2.801363229751587,2.801352262496948,0,1.079511912394082e-05,0,2.741931200027466,8713.065021283941
2,0.03999999910593033,11.30285453796387,11.30258178710938,0,0.0002731357235461473,0,11.11734008789062,9090.78746526449
3,0.05999999865889549,25.71000099182129,25.70822525024414,0,0.001774571137502789,0,25.39938354492188,9466.620602013025
4,0.07999999821186066,46.24937438964844,46.24251937866211,0,0.00685407966375351,0,45.79717254638672,9840.679138734244
5,0.1000000014901161,73.135986328125,73.11611938476562,0,0.01986500434577465,0,72.47455596923828,10213.07278258455
6,0.119999997317791,106.5635147094727,106.515625,0,0.04788874089717865,0,105.5632095336914,10583.90647166389
7,0.1400000005960464,146.7035522460938,146.6020660400391,0,0.1014905273914337,0,145.1719970703125,10953.28060136079
8,0.1599999964237213,193.7082824707031,193.5127716064453,0,0.1955099254846573,0,191.3938598632812,11321.29124343865
9,0.1800000071525574,249.4805755615234,246.883056640625,2.249099731445312,0.3484241664409637,0.2496384233236313,246.0017242431641,11688.11600211645
10,0.2000000029802322,345.9382019042969,303.26220703125,42.1035041809082,0.5724883675575256,0.2496384233236313,337.8509216308594,12054.54769512921
