increment	attempt	severe_discontinuity_iterations	equilibrium_iterations	total_iterations	time_s	increment_s
1	1	0	2	2	0.0200	0.02000
2	1	0	2	2	0.0400	0.02000
3	1	0	2	2	0.0600	0.02000
4	1	0	2	2	0.0800	0.02000
5	1	0	2	2	0.100	0.02000
6	1	0	2	2	0.120	0.02000
7	1	0	2	2	0.140	0.02000
8	1	0	2	2	0.160	0.02000
9	1	0	2	2	0.180	0.02000
10	1	0	2	2	0.200	0.02000
11	1	0	3	3	0.220	0.02000
12	1	0	4	4	0.240	0.02000
13	1	0	3	3	0.260	0.02000
14	1	0	3	3	0.280	0.02000
15	1	0	3	3	0.300	0.02000
16	1	0	3	3	0.320	0.02000
17	1	0	3	3	0.340	0.02000
18	1	0	4	4	0.360	0.02000
19	1	0	3	3	0.380	0.02000
20	1	0	3	3	0.400	0.02000
