node,x_current_m,y_current_m,z_current_m,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w
1,0,2.869859254937225e-42,0,300,0,2.869859254937225e-42,0,-66.66666412353516
2,1.5,0,0,400,0.5,0,0,66.66666412353516
3,1.5,1.25,0,400,0.5,0.25,0,66.66666412353516
4,0,1.25,0,300,0,0.25,0,-66.66666412353516
5,0,0,0.800000011920929,300,0,0,-0.2000000029802322,-66.66666412353516
6,1.5,0,0.800000011920929,400,0.5,0,-0.2000000029802322,66.66666412353516
7,1.5,1.25,0.800000011920929,400,0.5,0.25,-0.2000000029802322,66.66666412353516
8,0,1.25,0.800000011920929,300,0,0.25,-0.2000000029802322,-66.66666412353516
