step,input_local_node,input_label,side,output_local_node,output_label,closure_delta_m,copen_m,cnormf_x_n,coord_y_m,coord_z_m
BASE,0,0,secondary,1,532,0,-9.999999999977796e-05,-833.3333333323479,0,0
BASE,0,0,secondary,2,535,0,-0.0001,-833.3333333322369,1,-3.15575946446117e-32
BASE,0,0,secondary,3,536,0,-0.0001,-833.3333333322369,0,1
BASE,0,0,secondary,4,539,0,-9.999999999977795e-05,-833.33333333281,1,1
BASE,0,0,secondary,5,543,0,-0.0001,3333.333333331039,0.5,3.283449595434355e-33
BASE,0,0,secondary,6,547,0,-9.999999999977796e-05,3333.333333328224,0.5,1
BASE,0,0,secondary,7,548,0,-9.999999999999999e-05,3333.333333331039,9.588049160531571e-34,0.5
BASE,0,0,secondary,8,551,0,-9.999999999977793e-05,3333.333333328224,1,0.5
BASE,0,0,primary,1,2,0,,-5.144032921799265,0,0
BASE,0,0,primary,2,3,0,,-21.70418842384879,0.125,0
BASE,0,0,primary,3,6,0,,-21.70418842384877,0,0.125
BASE,0,0,primary,4,7,0,,-18.66053780365937,0.125,0.125
BASE,0,0,primary,5,10,0,,39.86625514394436,0.0625,0
BASE,0,0,primary,6,14,0,,99.26895873538251,0.0625,0.125
BASE,0,0,primary,7,18,0,,39.86625514394436,0,0.0625
BASE,0,0,primary,8,19,0,,99.26895873538257,0.125,0.0625
BASE,0,0,primary,9,22,0,,-3.489970198398947,0,0.25
BASE,0,0,primary,10,23,0,,-39.76225401139403,0.125,0.25
BASE,0,0,primary,11,26,0,,71.15429829312613,0.0625,0.25
BASE,0,0,primary,12,30,0,,67.41110169756956,0,0.1875
BASE,0,0,primary,13,31,0,,96.57090705563159,0.125,0.1875
BASE,0,0,primary,14,34,0,,6.713246972515803,0,0.375
BASE,0,0,primary,15,35,0,,-43.54061467203174,0.125,0.375
BASE,0,0,primary,16,38,0,,150.3250727111215,0.0625,0.375
BASE,0,0,primary,17,42,0,,-7.145065869809307e-27,0,0.3125
BASE,0,0,primary,18,43,0,,40.45341477640179,0.125,0.3125
BASE,0,0,primary,19,46,0,,-63.78543050928561,0,0.5
BASE,0,0,primary,20,47,0,,158.2445117516956,0.125,0.5
BASE,0,0,primary,21,50,0,,192.559987582897,0.0625,0.5
BASE,0,0,primary,22,54,0,,35.09557667422392,0,0.4375
BASE,0,0,primary,23,55,0,,21.32741189235324,0.125,0.4375
BASE,0,0,primary,24,58,0,,6.713246972515785,0,0.625
BASE,0,0,primary,25,59,0,,-43.54061467203164,0.125,0.625
BASE,0,0,primary,26,62,0,,150.3250727111215,0.0625,0.625
BASE,0,0,primary,27,66,0,,35.09557667422396,0,0.5625
BASE,0,0,primary,28,67,0,,21.3274118923532,0.125,0.5625
BASE,0,0,primary,29,70,0,,-3.489970198398813,0,0.75
BASE,0,0,primary,30,71,0,,-39.76225401139401,0.125,0.75
BASE,0,0,primary,31,74,0,,71.15429829312633,0.0625,0.75
BASE,0,0,primary,32,78,0,,-7.145065869809276e-27,0,0.6875
BASE,0,0,primary,33,79,0,,40.45341477640157,0.125,0.6875
BASE,0,0,primary,34,82,0,,-21.70418842383994,0,0.875
BASE,0,0,primary,35,83,0,,-18.66053780367266,0.125,0.875
BASE,0,0,primary,36,86,0,,99.26895873553389,0.0625,0.875
BASE,0,0,primary,37,90,0,,67.41110169756931,0,0.8125
BASE,0,0,primary,38,91,0,,96.57090705563147,0.125,0.8125
BASE,0,0,primary,39,94,0,,-5.144032921810586,0,1
BASE,0,0,primary,40,95,0,,-21.70418842378339,0.125,1
BASE,0,0,primary,41,98,0,,39.8662551440328,0.0625,1
BASE,0,0,primary,42,102,0,,39.86625514403266,0,0.9375
BASE,0,0,primary,43,103,0,,99.26895873546476,0.125,0.9375
BASE,0,0,primary,44,105,0,,-3.489970198398938,0.25,0
BASE,0,0,primary,45,107,0,,-39.76225401139401,0.25,0.125
BASE,0,0,primary,46,109,0,,67.41110169756953,0.1875,0
BASE,0,0,primary,47,112,0,,96.57090705563158,0.1875,0.125
BASE,0,0,primary,48,115,0,,71.1542982931263,0.25,0.0625
BASE,0,0,primary,49,117,0,,-113.3570229240344,0.25,0.25
BASE,0,0,primary,50,119,0,,121.3602443292054,0.1875,0.25
BASE,0,0,primary,51,122,0,,121.3602443292055,0.25,0.1875
BASE,0,0,primary,52,124,0,,166.8716397332007,0.25,0.375
BASE,0,0,primary,53,126,0,,19.24857942920677,0.1875,0.375
BASE,0,0,primary,54,129,0,,191.6515822736518,0.25,0.3125
BASE,0,0,primary,55,131,0,,-1.264070092842622e-25,0.25,0.5
BASE,0,0,primary,56,133,0,,6.424960481914734e-26,0.1875,0.5
BASE,0,0,primary,57,136,0,,7.111656749471484e-26,0.25,0.4375
BASE,0,0,primary,58,138,0,,166.8716397332002,0.25,0.625
BASE,0,0,primary,59,140,0,,19.24857942920666,0.1875,0.625
BASE,0,0,primary,60,143,0,,7.111656749471478e-26,0.25,0.5625
BASE,0,0,primary,61,145,0,,-113.3570229239087,0.25,0.75
BASE,0,0,primary,62,147,0,,121.3602443292055,0.1875,0.75
BASE,0,0,primary,63,150,0,,191.6515822736523,0.25,0.6875
BASE,0,0,primary,64,152,0,,-39.76225401130553,0.25,0.875
BASE,0,0,primary,65,154,0,,96.57090705541709,0.1875,0.875
BASE,0,0,primary,66,157,0,,121.3602443289359,0.25,0.8125
BASE,0,0,primary,67,159,0,,-3.489970198391394,0.25,1
BASE,0,0,primary,68,161,0,,67.41110169742022,0.1875,1
BASE,0,0,primary,69,164,0,,71.15429829296805,0.25,0.9375
BASE,0,0,primary,70,166,0,,6.713246972515848,0.375,0
BASE,0,0,primary,71,168,0,,-43.54061467203173,0.375,0.125
BASE,0,0,primary,72,170,0,,-7.145065869809293e-27,0.3125,0
BASE,0,0,primary,73,173,0,,40.45341477640162,0.3125,0.125
BASE,0,0,primary,74,176,0,,150.3250727111214,0.375,0.0625
BASE,0,0,primary,75,178,0,,166.8716397332007,0.375,0.25
BASE,0,0,primary,76,180,0,,191.6515822736516,0.3125,0.25
BASE,0,0,primary,77,183,0,,19.24857942920691,0.375,0.1875
BASE,0,0,primary,78,185,0,,-8.456051667460675e-26,0.375,0.375
BASE,0,0,primary,79,187,0,,5.693220071019437e-26,0.3125,0.375
BASE,0,0,primary,80,190,0,,5.693220071019441e-26,0.375,0.3125
BASE,0,0,primary,81,192,0,,182.4259056287206,0.375,0.5
BASE,0,0,primary,82,194,0,,7.971411327238364e-26,0.3125,0.5
BASE,0,0,primary,83,197,0,,6.266127829348615e-26,0.375,0.4375
BASE,0,0,primary,84,199,0,,-8.456051667450289e-26,0.375,0.625
BASE,0,0,primary,85,201,0,,5.693220071020563e-26,0.3125,0.625
BASE,0,0,primary,86,204,0,,6.266127829348448e-26,0.375,0.5625
BASE,0,0,primary,87,206,0,,166.8716397328299,0.375,0.75
BASE,0,0,primary,88,208,0,,191.6515822732269,0.3125,0.75
BASE,0,0,primary,89,211,0,,5.693220071005613e-26,0.375,0.6875
BASE,0,0,primary,90,213,0,,-43.54061467193516,0.375,0.875
BASE,0,0,primary,91,215,0,,40.45341477631181,0.3125,0.875
BASE,0,0,primary,92,218,0,,19.24857942916395,0.375,0.8125
BASE,0,0,primary,93,220,0,,6.713246972501112,0.375,1
BASE,0,0,primary,94,222,0,,-7.14506586979342e-27,0.3125,1
BASE,0,0,primary,95,225,0,,150.3250727107882,0.375,0.9375
BASE,0,0,primary,96,227,0,,-63.78543050928565,0.5,0
BASE,0,0,primary,97,229,0,,158.2445117516955,0.5,0.125
BASE,0,0,primary,98,231,0,,35.09557667422394,0.4375,0
BASE,0,0,primary,99,234,0,,21.32741189235318,0.4375,0.125
BASE,0,0,primary,100,237,0,,192.5599875828973,0.5,0.0625
BASE,0,0,primary,101,239,0,,-1.264070092842621e-25,0.5,0.25
BASE,0,0,primary,102,241,0,,7.11165674947149e-26,0.4375,0.25
BASE,0,0,primary,103,244,0,,6.424960481914719e-26,0.5,0.1875
BASE,0,0,primary,104,246,0,,182.4259056287208,0.5,0.375
BASE,0,0,primary,105,248,0,,6.266127829348627e-26,0.4375,0.375
BASE,0,0,primary,106,251,0,,7.971411327238357e-26,0.5,0.3125
BASE,0,0,primary,107,253,0,,-133.5450315368406,0.5,0.5
BASE,0,0,primary,108,255,0,,163.4603522555266,0.4375,0.5
BASE,0,0,primary,109,258,0,,163.4603522555264,0.5,0.4375
BASE,0,0,primary,110,260,0,,182.4259056283146,0.5,0.625
BASE,0,0,primary,111,262,0,,6.266127829333096e-26,0.4375,0.625
BASE,0,0,primary,112,265,0,,163.4603522551636,0.5,0.5625
BASE,0,0,primary,113,267,0,,-1.26407009283981e-25,0.5,0.75
BASE,0,0,primary,114,269,0,,7.111656749455673e-26,0.4375,0.75
BASE,0,0,primary,115,272,0,,7.971411327220634e-26,0.5,0.6875
BASE,0,0,primary,116,274,0,,158.2445117513428,0.5,0.875
BASE,0,0,primary,117,276,0,,21.32741189230656,0.4375,0.875
BASE,0,0,primary,118,279,0,,6.424960481900414e-26,0.5,0.8125
BASE,0,0,primary,119,281,0,,-63.78543050914404,0.5,1
BASE,0,0,primary,120,283,0,,35.09557667414548,0.4375,1
BASE,0,0,primary,121,286,0,,192.5599875824701,0.5,0.9375
BASE,0,0,primary,122,288,0,,6.713246972515871,0.625,0
BASE,0,0,primary,123,290,0,,-43.54061467203194,0.625,0.125
BASE,0,0,primary,124,292,0,,35.09557667422396,0.5625,0
BASE,0,0,primary,125,295,0,,21.32741189235317,0.5625,0.125
BASE,0,0,primary,126,298,0,,150.3250727111214,0.625,0.0625
BASE,0,0,primary,127,300,0,,166.8716397331999,0.625,0.25
BASE,0,0,primary,128,302,0,,7.11165674947147e-26,0.5625,0.25
BASE,0,0,primary,129,305,0,,19.24857942920715,0.625,0.1875
BASE,0,0,primary,130,307,0,,-8.456051667450291e-26,0.625,0.375
BASE,0,0,primary,131,309,0,,6.266127829348453e-26,0.5625,0.375
