step,element,integration_point,temperature_k,integration_volume_m3
BODY,1,1,300,1.312208333333333
BODY,2,1,300,1.312208333333333
BODY,3,1,300,1.312208333333333
SURFACE,1,1,300,1.312208333333333
SURFACE,2,1,300,1.312208333333333
SURFACE,3,1,300,1.312208333333333
FILM_BASE,1,1,352.0807269340277,1.312208333333333
FILM_BASE,2,1,352.0807269340277,1.312208333333333
FILM_BASE,3,1,352.0807269340277,1.312208333333333
FILM_ACTIVE,1,1,352.0807269340277,1.312208333333333
FILM_ACTIVE,2,1,352.0807269340277,1.312208333333333
FILM_ACTIVE,3,1,352.0807269340277,1.312208333333333
