step,id,normal_x,normal_y,normal_z,tangent_x,tangent_y,tangent_z,slip1,slip2,gap,pressure
1,8,99999.99999999994,0,0,0,-2999.999999999998,-3999.999999999997,1.999999999999999e-06,-1.499999999999999e-06,-0.0002,99999.99999999997
1,11,99999.99999999994,0,0,0,-2999.999999999996,-3999.999999999997,1.999999999999999e-06,-1.499999999999999e-06,-0.0002,99999.99999999997
1,12,99999.99999999997,0,0,0,-3000,-3999.999999999998,1.999999999999999e-06,-1.500000000000003e-06,-0.0002,99999.99999999997
1,15,99999.99999999996,0,0,0,-2999.999999999996,-3999.999999999998,1.999999999999999e-06,-1.499999999999997e-06,-0.0002,99999.99999999996
2,8,99999.99999999994,0,0,0,-8999.999999999993,-11999.99999999999,5.999999999999999e-06,-4.499999999999998e-06,-0.0002,99999.99999999997
2,11,99999.99999999996,0,0,0,-8999.999999999991,-11999.99999999999,5.999999999999999e-06,-4.499999999999998e-06,-0.0002,99999.99999999999
2,12,99999.99999999997,0,0,0,-8999.999999999996,-12000,6e-06,-4.500000000000002e-06,-0.0002,99999.99999999997
2,15,99999.99999999997,0,0,0,-8999.999999999993,-11999.99999999999,5.999999999999999e-06,-4.499999999999997e-06,-0.0002,99999.99999999997
3,8,99999.99999999994,0,0,0,-12000,-16000,1.2e-05,-8.999999999999999e-06,-0.0002,99999.99999999997
3,11,99999.99999999996,0,0,0,-12000,-15999.99999999999,1.2e-05,-8.999999999999999e-06,-0.0002,99999.99999999999
3,12,99999.99999999997,0,0,0,-12000,-16000,1.2e-05,-9.000000000000002e-06,-0.0002,99999.99999999997
3,15,99999.99999999997,0,0,0,-12000,-16000,1.2e-05,-8.999999999999995e-06,-0.0002,99999.99999999997
