integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ivol_m3
1,0.2159891848867976,0.214087261098151,0.2178570614570705,600,11466519221.40572,10747313151.62017,11105051895.56466,-403026908.0639075,255565455.3582283,-395172351.7478488,0.03002828512576122,0.02552152087109213,0.02775312414043505,-0.005029640231681236,0.003195786030107253,-0.004939038191019627,0.1358588755833334
2,0.8089454309723001,0.2144620463158117,0.2184482290210359,600,11630966992.93735,10915037860.31823,10772879415.33497,693402502.6866139,89711215.08640839,166446555.8666191,0.03106328755229632,0.0265628077713966,0.02567683481359618,0.008655377249841412,0.001099672735577506,0.002074902754579392,0.1358588755833333
3,0.2126319192968894,0.8043832531458091,0.2177815623543693,600,12962009492.71665,10069597917.60522,10287276858.26868,-401116886.0900323,-515431251.7764791,-306189634.2909609,0.03937298826668666,0.0212822834833935,0.022647658387208,-0.004954942813403529,-0.006461647794655171,-0.003837426492013005,0.1358588755833334
4,0.813701414036444,0.80475803836347,0.2151903947904038,600,12435031906.08353,9543850551.238693,11340001811.26832,691654877.3681208,93225241.59910432,256847460.7131829,0.03609328641735166,0.0179958589794585,0.02921378474047846,0.008592734237552071,0.001108032241559694,0.003267160010730924,0.1358588755833334
5,0.2172985859635562,0.2112419616365302,0.8094762718762629,600,11190484983.44565,10980466778.77701,11147932506.36788,242796337.9719564,5552319.707118995,-466890814.5370873,0.02827620934003768,0.02700395491350876,0.02802276588374269,0.003043829611903509,0.0001055840554461222,-0.005841303602215746,0.1358588755833334
6,0.8090347473697772,0.2189500801875243,0.8082184376456307,600,11351504168.7249,11138128390.78759,10829251709.07806,2122248689.873336,-165884583.9273059,1140982305.222871,0.02930234835243833,0.02796745599313922,0.02603312579171077,0.02653960718947774,-0.002081140001918485,0.014248395227264,0.1358588755833333
7,0.2113879023610331,0.802204620350855,0.8088851043122974,600,13710449376.27119,9789899786.090099,9818535106.229248,240994360.2034203,268206438.0529494,-371545254.3979403,0.04402370358982689,0.01955866149365919,0.01972056505380267,0.00329840993015989,0.003474105785368148,-0.004620172907219024,0.1358588755833333
8,0.8170108151132025,0.8099127389018491,0.8121429385429296,600,13179250177.00118,9257372226.921995,10882261864.66737,2093357938.304964,865341571.7089688,1216857055.102936,0.04073195629913253,0.0162136858744571,0.02635728796369858,0.02617711203643491,0.01081088240661096,0.01522416658721016,0.1358588755833333
