diagnostic_only,time=0.05000000074505806
node,abaqus_gap,fixed_normal,point_normal,area_fixed_normal,area_point_normal,primary_normal,fixed_projection_current_normal,fixed_projection_reference_normal
57,-6.862274215062e-06,-6.867416525097e-06,-6.867416559501e-06,-6.867438959938e-06,-6.867438994343e-06,-6.867416703386e-06,-6.865990085879e-06,-6.864798035623e-06
60,-5.788456879995e-06,-5.789834252451e-06,-5.789834253428e-06,-5.789835339403e-06,-5.789835340380e-06,-5.789834256571e-06,-5.789956179951e-06,-5.789983366913e-06
61,-6.788234111304e-06,-6.793253341205e-06,-6.793253375516e-06,-6.793279068201e-06,-6.793279102512e-06,-6.793253519283e-06,-6.791876980009e-06,-6.790677132941e-06
64,-5.811985690269e-06,-5.813459758990e-06,-5.813459759967e-06,-5.813461626668e-06,-5.813461627645e-06,-5.813459763079e-06,-5.813582858123e-06,-5.813610749908e-06
68,-4.344645460402e-06,-4.359452225963e-06,-4.359452244694e-06,-4.359444892090e-06,-4.359444910821e-06,-4.359452253487e-06,-4.358935548130e-06,-4.359617115194e-06
69,-5.629971942810e-06,-5.642227940339e-06,-5.642228015429e-06,-5.642245979993e-06,-5.642246055083e-06,-5.642228115403e-06,-5.640762091526e-06,-5.640482938427e-06
72,-5.361284116773e-06,-5.363464096221e-06,-5.363464093529e-06,-5.363463489238e-06,-5.363463486546e-06,-5.363464096891e-06,-5.363511362269e-06,-5.363694245693e-06
76,-4.326250508515e-06,-4.340952302168e-06,-4.340952320716e-06,-4.340934749884e-06,-4.340934768432e-06,-4.340952329471e-06,-4.340439134052e-06,-4.341118883864e-06
78,-8.535831471720e-06,-8.535828086487e-06,-8.535828085731e-06,-8.535831430399e-06,-8.535831429643e-06,-8.535828106786e-06,-8.535417333414e-06,-8.535471827258e-06
80,-8.518761626599e-06,-8.518757498538e-06,-8.518757497776e-06,-8.518761584951e-06,-8.518761584190e-06,-8.518757518974e-06,-8.518360205859e-06,-8.518410995442e-06
83,-3.430163524269e-06,-3.430159501221e-06,-3.430159501133e-06,-3.430163515920e-06,-3.430163515831e-06,-3.430159505264e-06,-3.430046257240e-06,-3.430115593772e-06
85,-7.120929778339e-06,-7.120918924261e-06,-7.120918924953e-06,-7.120929735008e-06,-7.120929735701e-06,-7.120918946182e-06,-7.120526916344e-06,-7.120614509683e-06
88,-3.428183203619e-06,-3.428178900999e-06,-3.428178900897e-06,-3.428183195309e-06,-3.428183195207e-06,-3.428178905044e-06,-3.428069143746e-06,-3.428137909512e-06
