quantity	role	relative_l2_percent	relative_absolute_peak_percent	maximum_pointwise_relative_percent	relative_total_difference_percent	note
secondary_nodal_normal_force	acceptance	0.0204250	0.0190661	0.0351833	0.000026644	Fuelsim sign is reversed to the Abaqus secondary-side action convention before comparison
recovered_nodal_contact_pressure	diagnostic	6.03528	5.98775	6.08243	-	The solvers expose different quadratic-face nodal pressure recovery operators; this row is not a mechanical-equilibrium gate
