time,node,gap,pressure,nx,ny,nz,tx,ty,tz,slipx,slipy,slipz,heat_rate_w
0.10000000149011612,57,-6.259272319258515e-33,4.521923015259194e-22,9.3017369460324905e-24,5.0329582587334424e-39,3.1695722421466745e-39,0.0,0.0,0.0,7.510117930888659e-33,-1.8083717349659337e-17,-2.1362628078571766e-17,0.300000000000017
0.10000000149011612,60,5.7777898331617076e-33,0.0,-6.2715973622979556e-24,-2.702657878788898e-40,-2.2046747507014697e-40,0.0,0.0,0.0,-1.6425858903083056e-33,2.4760223397165626e-17,1.3116045181421781e-17,0.29999999999999993
0.10000000149011612,61,-9.629649721936176e-34,1.0833355937178233e-23,-3.7368575910320934e-24,-3.9748253967624804e-40,-9.1476578952304536e-40,0.0,0.0,0.0,1.7708166838748306e-32,-2.0078722834994298e-17,1.0319314805565307e-16,0.3
0.10000000149011612,64,2.407412430484045e-34,2.2067947279437068e-23,-4.7361517169009757e-24,-8.7652382524251341e-41,-3.3955585159048389e-41,0.0,0.0,0.0,-2.2647782407680062e-33,-2.9339921476872805e-17,-2.1871158445181083e-17,0.2999999999999999
0.10000000149011612,68,1.0977800683007244e-32,1.9299422984380413e-22,2.0440413360014057e-23,8.4224892245817208e-40,7.5180030465772171e-40,0.0,0.0,0.0,-1.2760400006639551e-34,-2.939753039482417e-17,-9.4255096327936897e-18,0.0
0.10000000149011612,69,-7.703719777548945e-34,2.315128287315488e-22,2.6622884278389806e-23,3.1615756128755213e-39,6.8114476770499228e-40,0.0,0.0,0.0,1.2303814573635019e-33,-4.1787891485691049e-17,2.0508218531492536e-17,0.0
0.10000000149011612,72,-3.8518598887744726e-34,0.0,1.1297298008675553e-23,1.3807645764488335e-40,1.388661700224184e-40,0.0,0.0,0.0,2.0548160418159519e-35,-1.3356490330898406e-16,-1.3733920855441139e-17,0.0
0.10000000149011612,76,6.018531076210115e-33,1.645065160830765e-23,1.2082409700188304e-23,1.527090792847908e-40,6.1047104346375318e-41,0.0,0.0,0.0,1.5707899831560004e-33,-5.6569880689613745e-17,-2.2042916746888531e-17,0.0
0.20000000298023224,57,-6.259272319258515e-33,4.521923015259196e-22,9.3017369460324934e-24,5.032958258733443e-39,3.1695722421466752e-39,0.0,0.0,0.0,1.1265176896332987e-32,-2.7125576024489006e-17,-3.204394211785765e-17,0.13250601183952423
0.20000000298023224,60,5.7777898331617076e-33,0.0,-6.2715973622979563e-24,-2.7026578787888984e-40,-2.2046747507014701e-40,0.0,0.0,0.0,-1.6425858903083056e-33,2.4760223397165626e-17,1.3116045181421781e-17,0.24333132938683089
