time,node,temperature,ux,uy,uz,reaction_heat
1.0,1,301.0,-3.9999999999998839e-33,-1.3333333333332935e-33,-1.3333333333332942e-33,-16.726446280991812
1.0,2,302.0,0.20000000000000001,-1.3333333333332957e-33,-1.3333333333332947e-33,-12.973553719008407
1.0,3,303.0,0.20000000000000001,1.3333333333332949e-33,-1.3333333333332957e-33,-4.1264462809918205
1.0,4,304.0,-3.999999999999888e-33,1.3333333333332952e-33,-1.3333333333332969e-33,-0.37355371900819034
1.0,5,305.0,-3.9999999999998784e-33,-1.333333333333295e-33,1.3333333333332954e-33,8.473553719008223
1.0,6,306.0,0.20000000000000001,-1.3333333333332957e-33,1.3333333333332969e-33,12.226446280991814
1.0,7,307.0,0.20000000000000001,1.3333333333332945e-33,1.3333333333332945e-33,21.073553719008366
1.0,8,308.0,-3.9999999999998819e-33,1.3333333333332955e-33,1.3333333333332935e-33,24.826446280991817
2.0,1,301.0,0.0,-1.7105694144590052e-49,-1.7105694144590052e-49,-19.69444444444447
2.0,2,302.0,0.20000000000000001,0.0,0.0,-16.305555555555646
2.0,3,303.0,0.20000000000000001,1.7105694144590052e-49,0.0,-7.694444444444425
2.0,4,304.0,0.0,0.0,-1.7105694144590052e-49,-4.305555555555467
2.0,5,305.0,0.0,0.0,0.0,4.305555555555526
2.0,6,306.0,0.20000000000000001,0.0,1.7105694144590052e-49,7.694444444444462
2.0,7,307.0,0.20000000000000001,0.0,0.0,16.305555555555536
2.0,8,308.0,0.0,1.7105694144590052e-49,1.7105694144590052e-49,19.694444444444475
3.0,1,301.0,-6.2202524162142851e-82,0.0,0.0,-21.194444444444475
3.0,2,302.0,0.20000000000000001,-7.0093029541972244e-81,-2.6551262628468054e-81,-17.80555555555565
3.0,3,303.0,0.20000000000000001,0.0,-1.3339369703191849e-80,-9.194444444444427
3.0,4,304.0,6.9805054893076147e-81,-2.5641262737952542e-81,0.0,-5.805555555555467
3.0,5,305.0,4.1122779862752733e-81,-2.4179503420140797e-80,-2.269624199521758e-81,2.8055555555555243
3.0,6,306.0,0.20000000000000001,-1.9970465951835625e-80,0.0,6.194444444444462
3.0,7,307.0,0.20000000000000001,3.5351767898818052e-81,1.7095327057229583e-80,14.805555555555532
3.0,8,308.0,9.6068342872648033e-81,0.0,0.0,18.19444444444447
