diagnostic_only,time=0.07500000111758709
node,abaqus_gap,fixed_normal,point_normal,area_fixed_normal,area_point_normal,primary_normal,fixed_projection_current_normal,fixed_projection_reference_normal
57,-1.715073103755e-06,-1.716363194108e-06,-1.716363194645e-06,-1.716364593693e-06,-1.716364594230e-06,-1.716363196892e-06,-1.716274018587e-06,-1.716199508879e-06
60,-1.447139584587e-06,-1.447484213353e-06,-1.447484213368e-06,-1.447484281280e-06,-1.447484281295e-06,-1.447484213417e-06,-1.447491833532e-06,-1.447493532696e-06
61,-1.696570388798e-06,-1.697830326051e-06,-1.697830326587e-06,-1.697831931397e-06,-1.697831931933e-06,-1.697830328832e-06,-1.697744280135e-06,-1.697669283280e-06
64,-1.453021959037e-06,-1.453390973554e-06,-1.453390973569e-06,-1.453391090278e-06,-1.453391090294e-06,-1.453390973618e-06,-1.453398666993e-06,-1.453400410204e-06
68,-1.086195199778e-06,-1.089893975111e-06,-1.089893975404e-06,-1.089893517878e-06,-1.089893518171e-06,-1.089893975541e-06,-1.089861681936e-06,-1.089904278824e-06
69,-1.407164274780e-06,-1.410229819168e-06,-1.410229820341e-06,-1.410230944137e-06,-1.410230945310e-06,-1.410229821902e-06,-1.410138185209e-06,-1.410120734683e-06
72,-1.340359825496e-06,-1.340904845593e-06,-1.340904845551e-06,-1.340904807840e-06,-1.340904807797e-06,-1.340904845604e-06,-1.340907799676e-06,-1.340919229730e-06
76,-1.081598680165e-06,-1.085269311482e-06,-1.085269311771e-06,-1.085268215579e-06,-1.085268215869e-06,-1.085269311908e-06,-1.085237237649e-06,-1.085279720944e-06
78,-2.133890433509e-06,-2.133890223904e-06,-2.133890223892e-06,-2.133890432886e-06,-2.133890432874e-06,-2.133890224221e-06,-2.133864551082e-06,-2.133867956902e-06
80,-2.129624662273e-06,-2.129624406088e-06,-2.129624406076e-06,-2.129624661473e-06,-2.129624661461e-06,-2.129624406407e-06,-2.129599574586e-06,-2.129602748870e-06
83,-8.575318938341e-07,-8.575316428168e-07,-8.575316428154e-07,-8.575318937268e-07,-8.575318937255e-07,-8.575316428799e-07,-8.575245650301e-07,-8.575288985080e-07
85,-1.780173330701e-06,-1.780172654432e-06,-1.780172654443e-06,-1.780173330075e-06,-1.780173330086e-06,-1.780172654775e-06,-1.780148152907e-06,-1.780153627414e-06
88,-8.570373079752e-07,-8.570370394686e-07,-8.570370394671e-07,-8.570373078508e-07,-8.570373078492e-07,-8.570370395318e-07,-8.570301795911e-07,-8.570344773952e-07
