time,node,t1x,t1y,t1z,t2x,t2y,t2z,slip1,slip2
0.02500000037252903,57,-9.9851022967480158e-06,-4.0548179946126644e-06,0.99999999994192812,0.00010107491406194818,-0.99999999488371416,-4.0537904470461047e-06,4.425315859123822e-07,2.9948175115211207e-06
0.02500000037252903,60,4.0696955060791965e-06,7.6743078903465597e-07,0.9999999999914243,1.7599327491896595e-06,-0.99999999999815703,7.6743517610065893e-07,-8.30771471032381e-08,-3.90006718463367e-06
0.02500000037252903,61,1.0361976042303556e-05,5.4712012573740354e-06,0.99999999993134769,0.00010087798472442748,-0.99999999489685498,5.4701385468985285e-06,4.703992313311135e-08,2.970814097169904e-06
0.02500000037252903,64,-4.1211827189838565e-06,-6.0233661826193434e-07,0.99999999999132649,1.9765397462551488e-06,-0.99999999999786515,-6.0234106016871405e-07,-9.185365408277873e-08,-3.874414138770789e-06
0.02500000037252903,68,-1.9724774305646006e-06,-1.0149276680360214e-06,0.99999999999753963,4.9212764111103393e-05,-0.99999999878853707,-1.0147515266226954e-06,1.165261974996168e-07,-3.5124901068403026e-06
0.02500000037252903,69,2.0125734252922156e-07,6.3116282985229931e-07,0.99999999999978062,8.1957400767637394e-05,-0.99999999664129302,6.3114668522850326e-07,1.098675923403191e-08,8.552220461442833e-07
0.02500000037252903,72,2.7367634874848215e-08,1.2393217184879442e-07,0.99999999999999212,1.1372679241155348e-05,-0.99999999993532351,1.2393035226326637e-07,-7.552944722607647e-09,-3.956478131057197e-06
0.02500000037252903,76,2.3239449029025809e-06,1.9333714039287349e-06,0.99999999999543066,4.9314716365905136e-05,-0.99999999878216073,1.9331750607294183e-06,-1.2054364142931525e-07,-3.4945986623382105e-06
0.02500000037252903,78,-4.2103608055633425e-06,5.1008289084552256e-07,0.99999999999100631,2.8805874823039714e-06,-0.99999999999572109,5.1009374049364884e-07,5.054538086121924e-07,-3.726902019694536e-06
0.02500000037252903,80,4.2013789854088997e-06,-1.1764941382322607e-06,0.99999999999048206,2.9247087001455346e-06,-0.99999999999503086,-1.176505195148689e-06,-2.607942576404868e-07,-3.712116875788731e-06
0.02500000037252903,83,1.2758965609922556e-07,4.9020397092961695e-07,0.99999999999987166,4.9989465537911799e-06,-0.9999999999873852,4.9020250492613562e-07,-4.212744338723176e-07,-3.0750148104020526e-06
0.02500000037252903,85,-5.1073501194549056e-09,-2.8843301103931616e-07,0.99999999999995826,5.2932872118129959e-06,-0.99999999998594902,-2.8843300096939286e-07,3.2935715580123517e-09,-3.5148673448390074e-06
0.02500000037252903,88,-1.6529146342474764e-07,-8.7289168498503648e-07,0.99999999999960532,4.942807468037039e-06,-0.99999999998740352,-8.7289014292267327e-07,3.7117458604749475e-07,-3.0802688636912193e-06
0.05000000074505806,57,-2.0055114154568811e-05,-7.437703096436926e-06,0.99999999977123644,0.00020016973573554591,-0.99999997993840894,-7.4336163016542279e-06,6.102729895684862e-07,3.5948318240693048e-06
0.05000000074505806,60,8.0791307927566793e-06,1.4098315960926439e-06,0.9999999999663699,5.1169064235082454e-06,-0.99999999998591482,1.4098363842457011e-06,-9.012607218106682e-08,-3.73000129902626e-06
0.05000000074505806,61,2.0682710934231525e-05,1.0348317163002592e-05,0.9999999997325687,0.00019960396966169186,-0.99999998002562707,1.0344121448595993e-05,6.344518716899764e-08,3.5805243693896856e-06
0.05000000074505806,64,-8.131874462336405e-06,-9.8874177947900115e-07,0.99999999996644762,5.559038797932898e-06,-0.99999999998405964,-9.8874695892726479e-07,-1.574080269236218e-07,-3.7046770992564773e-06
