node,temperature_k,reaction_heat_flux_w,u1_m,u2_m,u3_m,rf1_n,rf2_n,rf3_n
1,300,0,-0,-0,-0,0,0,0
2,300,-1237.5,-1.208415098674623e-32,-2.714657633772205e-33,0,12084.15234375,2714.657958984375,0
3,300,-2475,-2.074796606090484e-32,-1.178841130175872e-32,0,20747.96875,11788.412109375,0
4,300,0,-0,-0,0,0,0,0
5,300,0,-0,-0,0,0,0,0
6,300,-1237.5,-1.208415098674623e-32,-2.714657633772205e-33,0,12084.15234375,2714.657958984375,0
7,300,-2475,-2.074796606090484e-32,-1.178841130175872e-32,-0,20747.96875,11788.412109375,0
8,300,0,-0,-0,-0,0,0,0
9,300,-2475,-1.178841130175872e-32,-2.074796606090484e-32,0,11788.412109375,20747.96875,0
10,300,0,-0,-0,0,0,0,0
11,300,-2475,-1.178841130175872e-32,-2.074796606090484e-32,-0,11788.412109375,20747.96875,0
12,300,0,-0,-0,-0,0,0,0
13,300,-1237.5,-2.714657633772205e-33,-1.208415098674623e-32,0,2714.657958984375,12084.15234375,0
14,300,0,-0,-0,-0,0,0,0
15,300,-1237.5,-2.714657633772205e-33,-1.208415098674623e-32,-0,2714.657958984375,12084.15234375,0
16,300,0,-0,-0,0,0,0,0
17,400,1237.5,-0.01499999966472387,2.709726067628521e-33,-0,-207043.109375,724886.5625,-3643.97998046875
18,400,0,-0.01499999966472387,0,0,-143545.796875,535765,3639.616455078125
19,400,0,-0.0129903806373477,-0.007499999832361937,-3.639616302209846e-33,-248628.625,-143545.796875,7279.23291015625
20,400,2475,-0.0129903806373477,-0.007499999832361937,3.643979957645289e-33,-358459.21875,-206764.171875,-7287.9599609375
21,400,1237.5,-0.01499999966472387,2.709726067628521e-33,-0,-207043.109375,724886.5625,3643.97998046875
22,400,0,-0.01499999966472387,0,0,-143545.796875,535765,-3639.616455078125
23,400,0,-0.0129903806373477,-0.007499999832361937,3.639616302209846e-33,-248628.625,-143545.796875,-7279.23291015625
24,400,2475,-0.0129903806373477,-0.007499999832361937,-3.643979957645289e-33,-358459.21875,-206764.171875,7287.9599609375
25,400,0,-0.007499999832361937,-0.0129903806373477,-3.639616302209846e-33,-143545.796875,-248628.625,7279.23291015625
26,400,2475,-0.007499999832361937,-0.0129903806373477,3.643979957645289e-33,-206764.171875,-358459.21875,-7287.9599609375
27,400,0,-0.007499999832361937,-0.0129903806373477,3.639616302209846e-33,-143545.796875,-248628.625,-7279.23291015625
28,400,2475,-0.007499999832361937,-0.0129903806373477,-3.643979957645289e-33,-206764.171875,-358459.21875,7287.9599609375
29,400,0,-9.184851187593606e-19,-0.01499999966472387,0,535765,-143545.796875,3639.616455078125
30,400,1237.5,-9.184851187593606e-19,-0.01499999966472387,-0,724886.5625,-207043.109375,-3643.97998046875
31,400,0,-9.184851187593606e-19,-0.01499999966472387,0,535765,-143545.796875,-3639.616455078125
32,400,1237.5,-9.184851187593606e-19,-0.01499999966472387,0,724886.5625,-207043.109375,3643.97998046875
