case,step,side,local_node,node_label,cnormf_x_n,cnormf_y_n,cnormf_z_n,copen_m,cpress_pa,coord_x_m,coord_y_m,coord_z_m
finite_sliding,BASE,primary,1,2,1649.659863945157,-1.975514511848052e-14,1.17457213877774e-14,,5596.413687313858,1,-0.2,-0.2
finite_sliding,BASE,primary,2,3,1649.659863945164,-8.478964083258823e-15,-3.46583881570047e-15,,5596.413687313751,1,1.2,-0.2
finite_sliding,BASE,primary,3,7,1649.659863945138,6.205149990177481e-15,-3.134421047269304e-15,,5596.413687314155,1,1.2,1.2
finite_sliding,BASE,primary,4,6,1649.659863945135,1.370177537362601e-14,2.761924199921013e-14,,5596.41368731422,1,-0.2,1.2
finite_sliding,BASE,primary,5,10,-4149.659863944466,2.942393530642647e-14,-8.364609550945487e-14,,5596.413687313805,1,0.5,-0.2
finite_sliding,BASE,primary,6,15,-4149.659863944521,-3.646950841876301e-14,-7.759134882728456e-15,,5596.413687313953,1,1.2,0.5
finite_sliding,BASE,primary,7,18,-4149.659863944578,3.425971762357651e-14,5.200181238124692e-14,,5596.413687314187,1,0.5,1.2
finite_sliding,BASE,primary,8,14,-4149.659863944543,-2.485664439293875e-14,-1.534468132603531e-14,,5596.413687314039,1,-0.2,0.5
finite_sliding,BASE,secondary,1,21,-833.3333333331118,5.032924420752799e-14,-2.357861475947308e-14,-9.999999999997603e-05,9999.999999997222,1,-1.872947575750582e-33,-8.717011673231217e-34
finite_sliding,BASE,secondary,2,24,-833.3333333331307,2.674634356299844e-14,2.425441075332681e-14,-9.999999999996568e-05,9999.9999999965,1,1,1.7506312186963e-33
finite_sliding,BASE,secondary,3,28,-833.3333333330606,-2.09058055706295e-14,1.725249608229508e-14,-0.0001000000000000042,9999.999999999107,1,1,1
finite_sliding,BASE,secondary,4,25,-833.3333333330497,-3.411760550669359e-14,-6.10430510027879e-14,-0.0001000000000000111,9999.999999999483,1,-1.919356562534534e-33,1
finite_sliding,BASE,secondary,5,32,3333.333333332412,-9.424115566286721e-14,1.045231844076486e-13,-9.999999999997019e-05,9999.99999999686,1,0.5,5.879577246071858e-35
finite_sliding,BASE,secondary,6,36,3333.333333332468,6.790304778611156e-14,-2.41088026399155e-14,-9.999999999997512e-05,9999.999999997803,1,1,0.5
finite_sliding,BASE,secondary,7,40,3333.333333332504,-3.63097004507877e-14,-6.360444945679681e-14,-9.999999999996967e-05,9999.999999999294,1,0.5,1
finite_sliding,BASE,secondary,8,33,3333.333333332484,4.656531535397464e-14,4.828822242865672e-14,-9.999999999997431e-05,9999.999999998352,1,5.493387167186975e-34,0.5
finite_sliding,SLIDE,primary,1,2,0,0,0,,4718.745126313021,1,-0.2,-0.2
finite_sliding,SLIDE,primary,2,3,1537.900874635236,-7.913331238932877e-15,-1.136731462538519e-14,,6968.784115797956,1,1.2,-0.2
finite_sliding,SLIDE,primary,3,7,1537.900874635103,8.413591458999081e-15,-8.600465471415058e-16,,6968.784115800333,1,1.2,1.2
finite_sliding,SLIDE,primary,4,6,0,0,0,,4718.745126312941,1,-0.2,1.2
finite_sliding,SLIDE,primary,5,10,-4047.619047617839,2.846264477557561e-14,-7.860974573825862e-14,,5843.764621055489,1,0.5,-0.2
finite_sliding,SLIDE,primary,6,15,-4742.468415936672,-4.084994790532013e-14,-9.409407469050169e-15,,6968.784115799144,1,1.2,0.5
finite_sliding,SLIDE,primary,7,18,-4047.619047618241,3.758092654128086e-14,5.837972528573517e-14,,5843.764621056636,1,0.5,1.2
finite_sliding,SLIDE,primary,8,14,-3556.85131195246,-2.04762049063872e-14,-1.369440873967981e-14,,4718.745126312981,1,-0.2,0.5
finite_sliding,SLIDE,secondary,1,21,-833.3333333330515,5.032924420753908e-14,-2.357861475946699e-14,-0.0001000000000000235,9999.999999999302,1,-1.872947575750582e-33,-8.717011673231217e-34
finite_sliding,SLIDE,secondary,2,24,-833.3333333331744,2.674634356300079e-14,2.425441075332056e-14,-9.999999999994996e-05,9999.999999994212,1,1,1.7506312186963e-33
finite_sliding,SLIDE,secondary,3,28,-833.333333332984,-2.090580557063638e-14,1.725249608230169e-14,-0.0001000000000000227,10000.00000000164,1,1,1
finite_sliding,SLIDE,secondary,4,25,-833.3333333330081,-3.411760550669652e-14,-6.104305100279403e-14,-0.0001000000000000321,10000.00000000031,1,-1.919356562534534e-33,1
finite_sliding,SLIDE,secondary,5,32,3333.333333332201,-9.424115566286028e-14,1.045231844076211e-13,-9.999999999994288e-05,9999.999999996757,1,0.5,5.879577246071858e-35
finite_sliding,SLIDE,secondary,6,36,3333.333333332543,6.790304778611924e-14,-2.41088026399203e-14,-9.999999999998834e-05,9999.999999997928,1,1,0.5
finite_sliding,SLIDE,secondary,7,40,3333.333333332692,-3.630970045078376e-14,-6.36044494568151e-14,-9.999999999998813e-05,10000.00000000098,1,0.5,1
finite_sliding,SLIDE,secondary,8,33,3333.333333332425,4.656531535396541e-14,4.828822242865002e-14,-9.999999999996177e-05,9999.999999999807,1,5.493387167186975e-34,0.5
