field	count	relative_l2_percent	relative_absolute_peak_percent	maximum_pointwise_relative_percent	zero_reference_count	maximum_zero_reference_absolute_difference	maximum_absolute_difference	maximum_pointwise_actual	maximum_pointwise_reference	fuelsim_maximum	abaqus_maximum
temperature_corner	1617	0.008442656837111285	0.04364388233760992	0.04697349119589986	0	0.0	0.28352009235538844	603.2911453992652	603.5746654916206	649.6361628818803	649.6216128579063
temperature_interpolated	4352	0.0066339214520418615	0.0436438673413999	0.04697347438852498	0	0.0	0.28351999412120676	603.2911523330063	603.5746723271275	649.6361495235419	649.6216109892354
displacement_x	5969	0.004069510362161098	0.006273661925760963	361085.6792595206	0	0.0	7.15453249871853e-10	-1.4802337700175853e-19	4.100533220746999e-23	1.1404227504153728e-05	1.140407720942139e-05
displacement_y	5969	0.004069510361250391	0.006273661926408965	12949.395453177167	0	0.0	7.154532499457566e-10	5.310320697856353e-19	4.069399779407741e-21	1.1404227504153516e-05	1.140407720942147e-05
displacement_z	5969	6.188513410997763e-05	0.00015422025427897526	100.0	0	0.0	9.253215256738515e-10	0.0	-4.118140329974329e-36	0.0006	0.0006
radial_displacement	5969	0.004069502454177683	0.006319788176934398	361085.67925952066	0	0.0	7.207146208605573e-10	1.4802337700175855e-19	-4.1005332207469994e-23	1.1404244871862587e-05	1.1404094578533193e-05
tangential_displacement	5969	6.358025028859089	2.228789973226755	196531.9189164282	0	0.0	1.1268500252573214e-12	5.4774027077998607e-14	-2.788448403912511e-17	5.053496907068238e-11	5.055882513801477e-11
contact_pressure	416	0.003382475499662335	0.004952851804107583	0.0049998853259023875	0	0.0	4.663343842650647	93273.67930490371	93269.01596106106	94158.62747188803	94154.7219075516
contact_gap	416	0.0034809572613009802	0.006280741772919781	0.0063555328143106715	0	0.0	5.934949831629501e-10	-9.33883468581747e-06	-9.338241190834307e-06	9.449841501801914e-06	9.449440919890694e-06
contact_constraint_pressure	416	0.0034809572613004125	0.006280741772919926	0.006355532814310818	0	0.0	5.934949831629638	93388.3468581747	93382.41190834307	94498.41501801914	94494.40919890694
secondary_nodal_normal_force_vector	1248	0.0037458110544938876	0.005334168544488598	51.7835751408382	0	0.0	3.3021218881490455e-06	1.2422796081754117e-12	8.184545706099722e-13	0.06190717855471447	0.06190509093607258
secondary_nodal_normal_force_magnitude	416	0.0035723596363073477	0.0052356861692407506	0.008601960976843044	0	0.0	3.3032204872149307e-06	0.010381500639397398	0.010382393728854416	0.06309322184946708	0.06309049817808207
secondary_nodal_tangential_force_vector	1248	0.504191323878928	1.4255122199320263	1138.1547809988317	0	0.0	1.7994995545089956e-06	-1.4410275916286442e-08	-1.163850928610196e-09	0.00012623982986536606	0.0001262352948889349
secondary_nodal_tangential_force_magnitude	416	0.006945358857250928	0.020066692312547426	0.04087913457164656	0	0.0	2.5331248885228472e-08	6.194087510715153e-05	6.196620635603676e-05	0.00012623983041849113	0.00012623529822794558
secondary_nodal_axial_tangential_force	416	0.003653653447481345	0.0055055197636800215	0.006032527339456723	0	0.0	6.949909108850067e-09	2.1169755076141844e-05	2.117103222444883e-05	0.00012623982986536606	0.0001262352948889349
tangential_slip_vector	1248	0.0037649619284927313	0.004530538968348554	9120.732330116693	0	0.0	2.41097156608713e-08	-1.3423135058384636e-10	1.4880316328165559e-12	0.0005321829675605136	0.0005321599886748051
tangential_slip_magnitude	416	0.0036399292901101907	0.004531272933552517	0.00492009920015283	0	0.0	2.4113624332651636e-08	0.0004152471392671226	0.0004152267097010998	0.0005321830299421646	0.0005321600505257263
axial_tangential_slip	416	0.0036393559282620292	0.004530538968348554	0.004914386394451505	0	0.0	2.41097156608713e-08	0.0004152466604883002	0.0004152262546657347	0.0005321829675605136	0.0005321599886748051
complete_tangential_resultant_vector	3	0.0022502979675855642	0.0022502979675855642	409.7428795245054	0	0.0	5.029224876308691e-07	9.572948950613972e-18	-3.0906114662941284e-18	0.02234965378496097	0.022349150862473337
contact_constraint_force_vs_abaqus_native_resultant	1	0.6458390078451794	0.6458390078451796	0.6458390078451796	0	0.0	0.07170828059004108	11.17482836453997	11.103120083949928	11.17482836453997	11.103120083949928
contact_constraint_tangential_force_vs_abaqus_native_resultant	1	0.002263471259822433	0.002263471259822433	0.002263471259822433	0	0.0	5.058666065864414e-07	0.022349656729079924	0.022349150862473337	0.022349656729079924	0.022349150862473337
recovered_contact_pressure_integral	1	0.0023604884394167144	0.0023604884394167144	0.0023604884394167144	0	0.0	0.0002630626411228576	11.144678630626764	11.144415567985641	11.144678630626764	11.144415567985641
recovered_contact_shear_integral	1	7.337734081783477	7.337734081783477	7.337734081783477	0	0.0	0.0015278488902344296	0.022349656729079924	0.020821807838845494	0.022349656729079924	0.020821807838845494
recovered_contact_heat_integral	1	0.20721666934204647	0.20721666934204647	0.20721666934204647	0	0.0	0.0297210829148149	14.313277001739843	14.342998084654658	14.313277001739843	14.342998084654658
equivalent_stress	13824	0.006874143042796763	0.021082905596318795	0.028260019163633923	0	0.0	15957.385247349739	56450335.70164594	56466293.08689329	75688932.77873336	75688738.32141997
equivalent_plastic_strain	13824	0.007006750501580355	0.021365182497241036	0.02876951813285844	0	0.0	7.978692623629088e-07	0.002772516785082302	0.002773314654344665	0.003734446638936664	0.003734436916070998
equivalent_creep_strain	13824	0.010851143288917406	0.019433674405250487	0.037924123784043966	0	0.0	2.0580860383700723e-08	4.6556917941468625e-05	4.657458094319742e-05	0.00010590370707193425	0.0001059030832488389
