normal_force,id,x,y,z
-48.88340960157367,51,1,0,0
-117.4365608133829,54,1,0.28,0
-116.1967006735953,55,1,0,0.43
-277.4861853081974,58,1,0.28,0.43
200.7729533197952,62,1,0.14,0
200.6457929325518,63,1,0,0.215
469.7222566511759,66,1,0.28,0.215
458.2283495375634,70,1,0.14,0.43
-126.2617182858917,72,1,0.67,0
-298.2248248936023,74,1,0.67,0.43
273.688557190866,77,1,0.475,0
504.4954298784547,79,1,0.67,0.215
626.3257669828021,82,1,0.475,0.43
-57.57023538537879,84,1,1,0
-136.8223562119862,86,1,1,0.43
236.1358036329176,89,1,0.835,0
235.8078877193724,91,1,1,0.215
539.0832032909829,94,1,0.835,0.43
-64.72762636311458,95,1,0,1
-155.5778549293492,98,1,0.28,1
265.1371801933699,99,1,0,0.715
620.9019223071538,102,1,0.28,0.715
265.0312737994963,106,1,0.14,1
-167.2658850040802,108,1,0.67,1
666.8924617712762,110,1,0.67,0.715
361.3927688844836,113,1,0.475,1
-76.2371257116949,115,1,1,1
311.6032682392529,117,1,1,0.715
311.7107545045813,120,1,0.835,1
