case,step,side,local_node,node_label,cnormf_x_n,cnormf_y_n,cnormf_z_n,copen_m,cpress_pa,coord_x_m,coord_y_m,coord_z_m
tilted_normal,TILTED,primary,1,2,805256.3229728502,-40262.81614864252,-9.858581969982983e-11,,3040051.885888443,1,-0.2,-0.2
tilted_normal,TILTED,primary,2,3,837340.9745953559,-41867.04872976804,-8.72539026053414e-11,,2538597.861116058,1,1.2,-0.2
tilted_normal,TILTED,primary,3,7,837340.9745953562,-41867.04872976797,-7.776172610582354e-11,,2538597.861116056,1,1.2,1.2
tilted_normal,TILTED,primary,4,6,805256.3229728499,-40262.81614864276,-1.021028142017859e-10,,3040051.885888452,1,-0.2,1.2
tilted_normal,TILTED,primary,5,10,-2066175.298431578,103308.7649215794,1.962602238825349e-10,,2789324.873502251,1,0.5,-0.2
tilted_normal,TILTED,primary,6,15,-1930666.042924644,96533.30214623176,3.037368799930818e-10,,2538597.861116057,1,1.2,0.5
tilted_normal,TILTED,primary,7,18,-2066175.298431577,103308.764921579,1.966993163296795e-10,,2789324.873502254,1,0.5,1.2
tilted_normal,TILTED,primary,8,14,-2203455.245501869,110172.7622750942,1.093467403876018e-10,,3040051.885888448,1,-0.2,0.5
tilted_normal,TILTED,secondary,1,21,-369125.7184218573,18456.28592109276,9.123011463578058e-11,-0.06858619577137681,6650025.989694979,1.025,0,0
tilted_normal,TILTED,secondary,2,24,-461087.1632703527,23054.35816351803,5.983468974325474e-11,-0.03103935003168797,3312528.590611518,1.075,1,0
tilted_normal,TILTED,secondary,3,28,-461087.1632703531,23054.35816351798,4.052167833201751e-11,-0.03103935003168778,3312528.590611501,1.075,1,1
tilted_normal,TILTED,secondary,4,25,-369125.7184218568,18456.2859210933,9.413914814137618e-11,-0.06858619577137703,6650025.989695,1.025,0,1
tilted_normal,TILTED,secondary,5,32,1660425.763384419,-83021.2881692216,-1.732849843151861e-10,-0.04981277290153247,4981277.290153248,1.05,0.5,0
tilted_normal,TILTED,secondary,6,36,1504682.323144687,-75234.11615723377,-2.867827426902475e-10,-0.03729715765496952,3312528.59061151,1.075,1,0.5
tilted_normal,TILTED,secondary,7,40,1660425.763384418,-83021.28816922125,-1.658609906321331e-10,-0.04981277290153253,4981277.29015325,1.05,0.5,1
tilted_normal,TILTED,secondary,8,33,1816169.203624151,-90808.46018120849,-1.001358111949796e-10,-0.06232838814809582,6650025.989694989,1.025,0,0.5
