normal_force,id,x,y,z
-168.0319670688195,89,1,0,0
-337.5148641150145,92,0.9238795325112867,0.3826834323650898,0
-336.1275479789097,93,1,0,0.5
-675.1840097009955,96,0.9238795325112867,0.3826834323650898,0.5
695.2037997923451,100,0.9807852804032304,0.1950903220161282,0
684.17717175456,101,1,0,0.25
1367.471213381001,104,0.9238795325112867,0.3826834323650898,0.25
1390.589118801611,108,0.9807852804032304,0.1950903220161282,0.5
-333.0865572836656,110,0.7071067811865476,0.7071067811865475,0
-666.2383647979382,112,0.7071067811865476,0.7071067811865475,0.5
688.4122823965499,115,0.8314696123025452,0.5555702330196022,0
1367.54597446269,117,0.7071067811865476,0.7071067811865475,0.25
1376.839743003107,120,0.8314696123025452,0.5555702330196022,0.5
-337.5148627790369,122,0.3826834323650898,0.9238795325112867,0
-675.1840057746349,124,0.3826834323650898,0.9238795325112867,0.5
688.4122837737857,127,0.5555702330196023,0.8314696123025452,0
1367.471212498659,129,0.3826834323650898,0.9238795325112867,0.25
1376.83974581443,132,0.5555702330196023,0.8314696123025452,0.5
-168.0319700446109,134,6.123233995736766e-17,1,0
-336.1275521311593,136,6.123233995736766e-17,1,0.5
695.2037918426743,139,0.1950903220161283,0.9807852804032304,0
684.1771901574472,141,6.123233995736766e-17,1,0.25
1390.589101226798,144,0.1950903220161283,0.9807852804032304,0.5
-168.1894368183514,145,1,0,1
-337.7494347886145,148,0.9238795325112867,0.3826834323650898,1
684.2750851570866,149,1,0,0.75
1367.787927996786,152,0.9238795325112867,0.3826834323650898,0.75
695.0937102714369,156,0.9807852804032304,0.1950903220161282,1
-333.1278581815508,158,0.7071067811865476,0.7071067811865475,1
1367.817818213538,160,0.7071067811865476,0.7071067811865475,0.75
688.4842625146515,163,0.8314696123025452,0.5555702330196022,1
-337.7494324583244,165,0.3826834323650898,0.9238795325112867,1
1367.787924867705,167,0.3826834323650898,0.9238795325112867,0.75
688.4842635496185,170,0.5555702330196023,0.8314696123025452,1
-168.1894362965493,172,6.123233995736766e-17,1,1
684.275098418747,174,6.123233995736766e-17,1,0.75
695.0937039137881,177,0.1950903220161283,0.9807852804032304,1
