input_local_node,output_local_node,node,temperature_k,reaction_heat_flux_w
1,1,1,301,750001.3333333333
1,2,2,300,-1.387778780781446e-17
1,3,3,300,-0.3333333333333333
1,4,4,300,1.387778780781446e-17
1,5,5,300,1.387778780781446e-17
1,6,6,300,-0.3333333333333333
1,7,7,300,-0.3333333333333334
1,8,8,300,-0.3333333333333333
2,1,9,300,-1.387778780781446e-17
2,2,10,301,750001.3333333333
2,3,11,300,1.387778780781446e-17
2,4,12,300,-0.3333333333333333
2,5,13,300,-0.3333333333333333
2,6,14,300,1.387778780781446e-17
2,7,15,300,-0.3333333333333333
2,8,16,300,-0.3333333333333334
3,1,17,300,-0.3333333333333333
3,2,18,300,1.387778780781446e-17
3,3,19,301,750001.3333333333
3,4,20,300,-1.387778780781446e-17
3,5,21,300,-0.3333333333333334
3,6,22,300,-0.3333333333333333
3,7,23,300,1.387778780781446e-17
3,8,24,300,-0.3333333333333333
4,1,25,300,1.387778780781446e-17
4,2,26,300,-0.3333333333333333
4,3,27,300,-1.387778780781446e-17
4,4,28,301,750001.3333333333
4,5,29,300,-0.3333333333333333
4,6,30,300,-0.3333333333333334
4,7,31,300,-0.3333333333333333
4,8,32,300,1.387778780781446e-17
5,1,33,300,1.387778780781446e-17
5,2,34,300,-0.3333333333333333
5,3,35,300,-0.3333333333333334
5,4,36,300,-0.3333333333333333
5,5,37,301,750001.3333333333
5,6,38,300,-1.387778780781446e-17
5,7,39,300,-0.3333333333333333
5,8,40,300,1.387778780781446e-17
6,1,41,300,-0.3333333333333333
6,2,42,300,1.387778780781446e-17
6,3,43,300,-0.3333333333333333
6,4,44,300,-0.3333333333333334
6,5,45,300,-1.387778780781446e-17
6,6,46,301,750001.3333333333
6,7,47,300,1.387778780781446e-17
6,8,48,300,-0.3333333333333333
7,1,49,300,-0.3333333333333334
7,2,50,300,-0.3333333333333333
7,3,51,300,1.387778780781446e-17
7,4,52,300,-0.3333333333333333
7,5,53,300,-0.3333333333333333
7,6,54,300,1.387778780781446e-17
7,7,55,301,750001.3333333333
7,8,56,300,-1.387778780781446e-17
8,1,57,300,-0.3333333333333333
8,2,58,300,-0.3333333333333334
8,3,59,300,-0.3333333333333333
8,4,60,300,1.387778780781446e-17
8,5,61,300,1.387778780781446e-17
8,6,62,300,-0.3333333333333333
8,7,63,300,-1.387778780781446e-17
8,8,64,301,750001.3333333333
