time,node,temperature,ur,uz,rf_r,rf_z,reaction_heat,temperature_active
0.20000000298023224,1,620.0,-1.310174533320012e-49,3.7168134249719586e-50,1.5397090991511056e-13,-5.0217061528112234e-15,0.0,1
0.20000000298023224,2,620.0,2.6033843997196364e-06,8.1715559561325064e-37,0.0,421.06286569198613,0.0,1
0.20000000298023224,3,620.0,2.6033843997196368e-06,-8.1715559561316511e-37,0.0,-421.06286569198562,0.0,1
0.20000000298023224,4,620.0,-1.2806802948291009e-49,5.0145044114016923e-50,1.7322311696725132e-13,2.3194908807567168e-13,0.0,1
0.20000000298023224,5,620.0,1.3016921998598182e-06,1.6343111912266723e-36,0.0,842.12573138397931,0.0,1
0.20000000298023224,6,620.0,2.6033843997196368e-06,-1.65022532204329e-22,0.0,0.0,0.0,1
0.20000000298023224,7,620.0,1.3016921998598182e-06,-1.6343111912265013e-36,0.0,-842.12573138397931,0.0,1
0.20000000298023224,8,620.0,2.8353189724427399e-49,2.7858844642368502e-22,-1.14661196874337e-13,0.0,0.0,1
0.4000000059604645,1,640.0,-5.1297647115267157e-49,-1.875909170567971e-49,-1.195903746285709e-13,-2.6985872909332916e-13,0.0,1
0.4000000059604645,2,640.0,5.2135464097720708e-06,-1.3780151413010912e-41,0.0,846.5161929673817,0.0,1
0.4000000059604645,3,640.0000000000001,5.2135464097720759e-06,1.3780150471362495e-41,0.0,-846.51619296738227,0.0,1
0.4000000059604645,4,640.0,-4.6287623358298263e-49,-1.1789282232541942e-49,-1.1524632580612854e-13,-1.7395558085197835e-14,0.0,1
0.4000000059604645,5,640.0,2.6067732048860358e-06,-2.7560301893561036e-41,0.0,1693.0323859347782,0.0,1
0.4000000059604645,6,640.0,5.2135464097720742e-06,-1.8933197077869003e-21,0.0,0.0,0.0,1
0.4000000059604645,7,640.0,2.6067732048860371e-06,2.7560302614873412e-41,0.0,-1693.0323859347784,0.0,1
0.4000000059604645,8,640.0,9.7585230197143954e-49,3.9095485875504621e-22,3.9329950003062781e-13,0.0,0.0,1
0.6000000238418579,1,660.0,-2.6168302988026431e-50,1.5078054337790589e-49,-2.6239691759553456e-13,-2.6745486039770716e-13,0.0,1
0.6000000238418579,2,660.0000000000001,7.8305036748821258e-06,-1.3803638795289142e-41,0.0,1276.394316639072,0.0,1
0.6000000238418579,3,660.0,7.8305036748821241e-06,1.3803640247101523e-41,0.0,-1276.3943166390732,0.0,1
0.6000000238418579,4,660.0,-6.7628457378407434e-50,-2.9437949371865931e-49,2.0955965709526767e-15,-4.4809140257376426e-14,0.0,1
0.6000000238418579,5,660.0,3.9152518374410629e-06,-2.7607278199634542e-41,0.0,2552.7886332781673,0.0,1
0.6000000238418579,6,660.0,7.8305036748821258e-06,7.2294396092661727e-22,0.0,0.0,0.0,1
0.6000000238418579,7,660.0,3.915251837441062e-06,2.7607277432216975e-41,0.0,-2552.7886332781663,0.0,1
0.6000000238418579,8,660.0,9.3796353661776911e-50,-1.1358019510532496e-22,3.6357560199302205e-13,0.0,0.0,1
0.800000011920929,1,680.0,-3.6179850649577137e-49,1.1421243333661471e-49,8.086518483342033e-13,3.6211061986481789e-13,0.0,1
0.800000011920929,2,680.0,1.0454273885710894e-05,-1.3826997349640154e-41,0.0,1710.7318101947274,0.0,1
0.800000011920929,3,680.0,1.04542738857109e-05,1.3826997247908048e-41,0.0,-1710.7318101947264,0.0,1
0.800000011920929,4,680.0,-4.0099580552823469e-49,1.5282606882733664e-49,9.7874540442788228e-13,6.5881415281944918e-14,0.0,1
0.800000011920929,5,680.0,5.2271369428554481e-06,-2.765399506043764e-41,0.0,3421.4636203894847,0.0,1
0.800000011920929,6,680.0,1.0454273885710898e-05,-1.8756717107789138e-21,0.0,0.0,0.0,1
0.800000011920929,7,680.0,5.2271369428554498e-06,2.7653994894392132e-41,0.0,-3421.4636203894861,0.0,1
0.800000011920929,8,680.0,7.6279390829936637e-49,5.7900025780576906e-22,-1.7037272428095561e-12,0.0,0.0,1
1.0,1,700.0,-1.8794431598853779e-49,4.0687636072584163e-50,1.3632154571563794e-13,4.6039750527044974e-13,0.0,1
1.0,2,700.0,1.3084874778974985e-05,-1.3850223811281856e-41,0.0,2149.56348735232,0.0,1
1.0,3,700.0,1.3084874778974991e-05,1.3850224082734522e-41,0.0,-2149.5634873523177,0.0,1
1.0,4,700.0,-1.7389240282649151e-49,1.2659102679128098e-50,3.562911739722334e-13,-1.0060244211436574e-14,0.0,1
1.0,5,700.0,6.542437389487494e-06,-2.7700447671007572e-41,0.0,4299.1269747046754,0.0,1
1.0,6,700.0,1.308487477897499e-05,-2.4073089410051795e-21,0.0,0.0,0.0,1
1.0,7,700.0,6.5424373894874957e-06,2.7700447914563256e-41,0.0,-4299.1269747046763,0.0,1
1.0,8,700.0,3.6183630963021119e-49,1.9403248043993989e-22,-3.9766400768981538e-13,0.0,0.0,1
