step,time,id,x,y,z,disp_x,disp_y,disp_z
1,1,0,0,0,0,0,0,0
1,1,1,1,0,0,-4.142029235697298e-06,1.453125293094297e-06,0
1,1,2,1,0.5,0,-4.786459002233783e-06,1.267915915795532e-06,0
1,1,3,0,0.5,0,0,0,0
1,1,4,0,0,1,0,0,0
1,1,5,1,0,1,-4.139302003670186e-06,1.453287398930648e-06,0
1,1,6,1,0.5,1,-4.784652390169343e-06,1.268220311378587e-06,0
1,1,7,0,0.5,1,0,0,0
1,1,8,0.5,0,0,-1.898121710224969e-06,5.032085843203611e-07,0
1,1,9,1,0.25,0,-4.585100723410596e-06,1.369448273908278e-06,0
1,1,10,0.5,0.5,0,-2.356957057685874e-06,5.394482638725254e-07,0
1,1,11,0,0.25,0,0,0,0
1,1,12,0,0,0.5,0,0,0
1,1,13,1,0,0.5,-4.13400308809137e-06,1.45417658100724e-06,0
1,1,14,1,0.5,0.5,-4.771568932304848e-06,1.267351628588416e-06,0
1,1,15,0,0.5,0.5,0,0,0
1,1,16,0.5,0,1,-1.897412852148113e-06,5.032335051091239e-07,0
1,1,17,1,0.25,1,-4.582766619597401e-06,1.369668931718037e-06,0
1,1,18,0.5,0.5,1,-2.356467772738751e-06,5.394714916505577e-07,0
1,1,19,0,0.25,1,0,0,0
1,1,20,1,1,0,-4.994209812838163e-06,1.144185812043933e-06,0
1,1,21,0,1,0,0,0,0
1,1,22,1,1,1,-4.993987359351419e-06,1.144760320732524e-06,0
1,1,23,0,1,1,0,0,0
1,1,24,1,0.75,0,-4.942748889964749e-06,1.198508185196531e-06,0
1,1,25,0.5,1,0,-2.491997646103477e-06,5.584758563465255e-07,0
1,1,26,0,0.75,0,0,0,0
1,1,27,1,1,0.5,-4.987499888210314e-06,1.143012902443206e-06,0
1,1,28,0,1,0.5,0,0,0
1,1,29,1,0.75,1,-4.941615715597966e-06,1.198943536857165e-06,0
1,1,30,0.5,1,1,-2.491930394730192e-06,5.58505844059015e-07,0
1,1,31,0,0.75,1,0,0,0
1,1,32,1,1.5,0,-5.13931913072085e-06,1.249833155916842e-06,0
1,1,33,0,1.5,0,0,0,0
1,1,34,1,1.5,1,-5.140617299851635e-06,1.250354019911261e-06,0
1,1,35,0,1.5,1,0,0,0
1,1,36,1,1.25,0,-5.036272467952296e-06,1.188445836902955e-06,0
1,1,37,0.5,1.5,0,-2.614549177724519e-06,5.396281743758593e-07,0
