case,node,temperature_k,ux_m,uy_m,uz_m,rfl_w,rf_x_n,rf_y_n,rf_z_n
BASE,1,360,4.986668050104441e-27,6.754496808268046e-27,5.673083331541935e-27,-148.5830822589203,-5303216005.047447,-7243920329.67914,-6099994579.014922
BASE,2,410,0.048,-0.008,0.012,-85.11862070779424,6589997288.910847,-5532237125.748177,-6049635629.617133
BASE,3,445,0.068,0.036,-0.016,14.34897828494331,6363182878.471874,7496710420.895948,-6226981933.838977
BASE,4,385,-0.016,0.04399999999999999,0.008,-87.78188141888214,-4976630205.724482,5129159608.851562,-6167712053.452453
BASE,5,470,0.012,-0.02,0.056,54.8638643438567,-6796813974.91539,-6889388551.195937,6058361011.338435
BASE,6,430,0.04,0.016,0.04,8.635321596719107,5787008811.119962,-5305354754.637147,6172151602.753321
BASE,7,515,0.09200000000000001,0.064,0.07199999999999999,152.5731453086042,5195640801.887171,7292444984.555069,6178725757.984917
BASE,8,455,-0.032,0.028,0.04399999999999999,91.06227485147329,-6859169594.702535,5052585746.957822,6135085823.84681
D00_PLUS,1,360.001,4.986667927717707e-27,6.75449661701576e-27,5.673083166313709e-27,-148.5816034669095,-5303215872.423647,-7243920121.125196,-6099994398.724497
D00_PLUS,2,410,0.048,-0.008,0.012,-85.11849890075871,6589997094.765969,-5532236943.906536,-6049635451.899172
D00_PLUS,3,445,0.068,0.036,-0.016,14.34862057676346,6363182719.212859,7496710201.827462,-6226981746.087292
D00_PLUS,4,385,-0.016,0.04399999999999999,0.008,-87.78201765451553,-4976630055.18703,5129159438.074222,-6167711866.08624
D00_PLUS,5,470,0.012,-0.02,0.056,54.86387363770012,-6796813802.159623,-6889388352.431421,6058360828.667989
D00_PLUS,6,430,0.04,0.016,0.04,8.635070520337205,5787008637.417507,-5305354576.338935,6172151414.852696
D00_PLUS,7,515,0.09200000000000001,0.064,0.07199999999999999,152.5727762016383,5195640672.73883,7292444774.726254,6178725575.571193
D00_PLUS,8,455,-0.032,0.028,0.04399999999999999,91.06177908574466,-6859169394.364865,5052585579.174148,6135085643.705327
D00_MINUS,1,359.999,4.986668172491174e-27,6.754496999520336e-27,5.673083496770157e-27,-148.584561050931,-5303216137.671247,-7243920538.23309,-6099994759.305348
D00_MINUS,2,410,0.048,-0.008,0.012,-85.11874251482992,6589997483.055732,-5532237307.589808,-6049635807.335103
D00_MINUS,3,445,0.068,0.036,-0.016,14.34933599312315,6363183037.730893,7496710639.964437,-6226982121.590665
D00_MINUS,4,385,-0.016,0.04399999999999999,0.008,-87.78174518324897,-4976630356.261935,5129159779.628899,-6167712240.818657
D00_MINUS,5,470,0.012,-0.02,0.056,54.86385505001368,-6796814147.67116,-6889388749.960457,6058361194.008889
D00_MINUS,6,430,0.04,0.016,0.04,8.635572673101121,5787008984.822414,-5305354932.935359,6172151790.653949
D00_MINUS,7,515,0.09200000000000001,0.064,0.07199999999999999,152.5735144155701,5195640931.035511,7292445194.383888,6178725940.398638
D00_MINUS,8,455,-0.032,0.028,0.04399999999999999,91.06277061720185,-6859169795.04021,5052585914.74149,6135086003.988298
D01_PLUS,1,360,4.986667918650576e-27,6.75449660284666e-27,5.673083154072617e-27,-148.5829604518843,-5303215863.391357,-7243920106.92171,-6099994386.445878
D01_PLUS,2,410.001,0.048,-0.008,0.012,-85.11716631929178,6589997081.543818,-5532236931.522288,-6049635439.795774
D01_PLUS,3,445,0.068,0.036,-0.016,14.34883581994923,6363182708.366592,7496710186.907888,-6226981733.30055
D01_PLUS,4,385,-0.016,0.04399999999999999,0.008,-87.78221240157204,-4976630044.93474,5129159426.443505,-6167711853.325737
D01_PLUS,5,470,0.012,-0.02,0.056,54.86354176476397,-6796813790.394168,-6889388338.894647,6058360816.227301
D01_PLUS,6,430,0.04,0.016,0.04,8.635405050833231,5787008625.587574,-5305354564.196009,6172151402.055785
D01_PLUS,7,515,0.09200000000000001,0.064,0.07199999999999999,152.5727158441255,5195640663.943235,7292444760.435948,6178725563.147973
D01_PLUS,8,455,-0.032,0.028,0.04399999999999999,91.06184069307616,-6859169380.720957,5052585567.747309,6135085631.436874
D01_MINUS,1,360,4.986668181558301e-27,6.754497013689426e-27,5.673083509011235e-27,-148.5832040659556,-5303216146.703534,-7243920552.436561,-6099994771.583946
D01_MINUS,2,409.999,0.048,-0.008,0.012,-85.12007509629632,6589997496.27789,-5532237319.974056,-6049635819.438502
D01_MINUS,3,445,0.068,0.036,-0.016,14.34912074993724,6363183048.577163,7496710654.883996,-6226982134.377404
D01_MINUS,4,385,-0.016,0.04399999999999999,0.008,-87.78155043619243,-4976630366.514228,5129159791.259616,-6167712253.579161
D01_MINUS,5,470,0.012,-0.02,0.056,54.86418692294964,-6796814159.436621,-6889388763.497234,6058361206.449575
D01_MINUS,6,430,0.04,0.016,0.04,8.635238142604956,5787008996.652349,-5305354945.078277,6172151803.450837
D01_MINUS,7,515,0.09200000000000001,0.064,0.07199999999999999,152.5735747730826,5195640939.831104,7292445208.674193,6178725952.821853
D01_MINUS,8,455,-0.032,0.028,0.04399999999999999,91.06270900987003,-6859169808.684127,5052585926.168321,6135086016.256748
D02_PLUS,1,360,4.986667927266593e-27,6.754496616310809e-27,5.673083165704674e-27,-148.5834399670997,-5303215868.88343,-7243920115.558112,-6099994393.911879
D02_PLUS,2,410,0.048,-0.008,0.012,-85.11876317278812,6589997089.583535,-5532236939.052527,-6049635447.155224
D02_PLUS,3,445.001,0.068,0.036,-0.016,14.35056599842395,6363182714.961655,7496710195.979709,-6226981741.075511
D02_PLUS,4,385,-0.016,0.04399999999999999,0.008,-87.78165849418545,-4976630051.168632,5129159433.515559,-6167711861.084761
